,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Tiger Woods,55,-0.057999999999999996
1,2,2,Robert Allenby,79,-0.055999999999999994
2,3,3,Chris DiMarco,83,-0.046
3,4,4,John Senden,96,-0.015
4,5,5,Stephen Ames,63,-0.013999999999999999
5,6,6,Vijay Singh,103,-0.012
6,7,7,Bob Estes,85,-0.006999999999999999
7,8,8,Daniel Chopra,110,0.011000000000000001
8,9,9,Retief Goosen,68,0.013999999999999999
9,10,10,Bo Van Pelt,102,0.017
10,11,11,Jonathan Byrd,66,0.021
11,12,12,Duffy Waldorf,96,0.023
12,13,13,Charles Warren,93,0.027000000000000003
13,14,14,Matt Hansen,68,0.028999999999999998
14,15,15,Phil Mickelson,74,0.032
15,16,16,Billy Mayfair,94,0.034
16,17,17,Padraig Harrington,54,0.036000000000000004
17,18,18,Fred Funk,106,0.037000000000000005
18,T19,T19,Fred Couples,52,0.039
19,T19,T19,Kenny Perry,73,0.039
20,T21,T21,Robert Damron,91,0.04
21,T21,T21,Jeff Gove,91,0.04
22,23,23,Trevor Immelman,86,0.043
23,24,24,Kris Cox,83,0.05
24,25,25,Shaun Micheel,96,0.051
25,26,26,Jeff Brehaut,100,0.053
26,T27,T27,Steve Elkington,52,0.057
27,T27,T27,Vaughn Taylor,88,0.057
28,29,29,Joe Ogilvie,95,0.062
29,30,30,Robert Garrigus,85,0.063
30,31,31,Patrick Sheehan,104,0.067
31,32,32,Bob May,65,0.068
32,33,33,J.J. Henry,96,0.07
33,34,34,Briny Baird,81,0.07400000000000001
34,T35,T35,K.J. Choi,93,0.075
35,T35,T35,Nathan Green,108,0.075
36,T35,T35,Charley Hoffman,100,0.075
37,T35,T35,Charles Howell III,96,0.075
38,T35,T35,Mark O'Meara,52,0.075
39,40,40,Davis Love III,85,0.076
40,T41,T41,Jesper Parnevik,84,0.079
41,T41,T41,Vance Veazey,59,0.079
42,43,43,Henrik Bjornstad,97,0.081
43,44,44,Brett Quigley,109,0.083
44,45,45,Ian Poulter,53,0.086
45,46,46,Mark Calcavecchia,94,0.087
46,47,47,Jonathan Kaye,95,0.08800000000000001
47,48,48,Brian Gay,107,0.091
48,49,49,Carlos Franco,86,0.092
49,50,50,Arron Oberholser,82,0.09300000000000001
50,T51,T51,Ben Crane,85,0.094
51,T51,T51,Jason Gore,86,0.094
52,T53,T53,J.P. Hayes,55,0.095
53,T53,T53,Tom Lehman,70,0.095
54,T55,T55,Stuart Appleby,83,0.096
55,T55,T55,Jimmy Walker,60,0.096
56,T55,T55,Bubba Watson,83,0.096
57,58,58,Sergio Garcia,59,0.09699999999999999
58,T59,T59,Len Mattiace,59,0.098
59,T59,T59,Mike Weir,88,0.098
60,T61,T61,Ernie Els,69,0.099
61,T61,T61,Mark Wilson,79,0.099
62,T63,T63,Chris Couch,75,0.1
63,T63,T63,Sean O'Hair,100,0.1
64,65,65,Pat Perez,50,0.102
65,66,66,Brent Geiberger,99,0.10300000000000001
66,T67,T67,Lucas Glover,105,0.10400000000000001
67,T67,T67,Tim Petrovic,95,0.10400000000000001
68,T67,T67,Steve Stricker,64,0.10400000000000001
69,T70,T70,Steve Jones,83,0.105
70,T70,T70,Bernhard Langer,77,0.105
71,72,72,Stewart Cink,93,0.106
72,T73,T73,Aaron Baddeley,78,0.11
73,T73,T73,José María Olazábal,62,0.11
74,75,75,Shigeki Maruyama,94,0.11199999999999999
75,76,76,David McKenzie,82,0.113
76,77,77,Will MacKenzie,91,0.114
77,78,78,Justin Rose,98,0.115
78,79,79,Todd Fischer,101,0.11800000000000001
79,80,80,Mathias Grönberg,92,0.11900000000000001
80,T81,T81,Eric Axley,91,0.12
81,T81,T81,Danny Ellis,68,0.12
82,T83,T83,Billy Andrade,78,0.121
83,T83,T83,Steve Lowery,99,0.121
84,85,85,Jim Furyk,89,0.122
85,86,86,John Rollins,93,0.12300000000000001
86,T87,T87,Chad Campbell,91,0.124
87,T87,T87,Jeff Overton,95,0.124
88,89,89,Dean Wilson,115,0.125
89,90,90,Jeff Sluman,101,0.126
90,91,91,J.L. Lewis,57,0.129
91,T92,T92,Dudley Hart,83,0.133
92,T92,T92,Ryan Moore,68,0.133
93,T92,T92,Adam Scott,70,0.133
94,95,95,Heath Slocum,96,0.134
95,T96,T96,Stephen Leaney,84,0.135
96,T96,T96,David Toms,76,0.135
97,T96,T96,Scott Verplank,88,0.135
98,99,99,Ted Purdy,103,0.136
99,T100,T100,Marco Dawson,87,0.13699999999999998
100,T100,T100,Rory Sabbatini,84,0.13699999999999998
101,T102,T102,Kent Jones,103,0.14
102,T102,T102,Brett Wetterich,82,0.14
103,104,104,Frank Lickliter II,99,0.141
104,105,105,Troy Matteson,101,0.142
105,106,106,Nick Watney,97,0.145
106,T107,T107,Paul Azinger,87,0.147
107,T107,T107,Jason Schultz,77,0.147
108,T109,T109,Arjun Atwal,97,0.14800000000000002
109,T109,T109,Steve Flesch,119,0.14800000000000002
110,111,111,Michael Allen,84,0.149
111,T112,T112,Brian Bateman,69,0.15
112,T112,T112,Mark Brooks,90,0.15
113,T112,T112,Tag Ridings,103,0.15
114,115,115,James Driscoll,80,0.151
115,T116,T116,Ryuji Imada,105,0.154
116,T116,T116,Ryan Palmer,101,0.154
117,118,118,Alex Cejka,93,0.155
118,119,119,Greg Owen,79,0.156
119,120,120,Brad Faxon,78,0.16
120,121,121,Joe Durant,101,0.162
121,122,122,Camilo Villegas,95,0.163
122,123,123,Carl Pettersson,95,0.16399999999999998
123,T124,T124,Craig Barlow,77,0.16699999999999998
124,T124,T124,Freddie Jacobson,56,0.16699999999999998
125,T124,T124,Daisuke Maruyama,83,0.16699999999999998
126,T124,T124,Tjaart van der Walt,60,0.16699999999999998
127,T128,T128,Harrison Frazar,95,0.16899999999999998
128,T128,T128,Bill Haas,99,0.16899999999999998
129,T130,T130,Rod Pampling,89,0.17
130,T130,T130,Paul Stankowski,70,0.17
131,T132,T132,Tim Herron,82,0.172
132,T132,T132,Greg Kraft,79,0.172
133,T132,T132,Tom Pernice Jr.,108,0.172
134,T135,T135,Brian Davis,92,0.17600000000000002
135,T135,T135,Nicholas Thompson,96,0.17600000000000002
136,T135,T135,D.J. Trahan,92,0.17600000000000002
137,138,138,Zach Johnson,98,0.17800000000000002
138,139,139,Hunter Mahan,98,0.179
139,140,140,Tommy Armour III,65,0.18
140,141,141,Bart Bryant,87,0.182
141,142,142,Lee Janzen,79,0.183
142,T143,T143,Olin Browne,108,0.184
143,T143,T143,Peter Lonard,77,0.184
144,T145,T145,Luke Donald,66,0.18600000000000003
145,T145,T145,Justin Leonard,83,0.18600000000000003
146,T147,T147,Roger Tambellini,64,0.187
147,T147,T147,Bob Tway,81,0.187
148,149,149,Woody Austin,107,0.188
149,T150,T150,Jerry Smith,94,0.18899999999999997
150,T150,T150,Hidemichi Tanaka,74,0.18899999999999997
151,152,152,Skip Kendall,72,0.192
152,T153,T153,Michael Connell,51,0.198
153,T153,T153,J.B. Holmes,81,0.198
154,T153,T153,Kevin Sutherland,100,0.198
155,156,156,Chris Smith,67,0.2
156,157,157,John Huston,74,0.20199999999999999
157,158,158,Ryan Hietala,61,0.203
158,159,159,Scott Gutschewski,53,0.20600000000000002
159,160,160,Alex Aragon,63,0.207
160,161,161,Jason Bohn,104,0.20800000000000002
161,162,162,Greg Chalmers,71,0.209
162,163,163,Richard Johnson,94,0.212
163,164,164,Ben Curtis,86,0.214
164,165,165,Ian Leggatt,80,0.217
165,T166,T166,Shane Bertsch,104,0.221
166,T166,T166,Tim Clark,80,0.221
167,168,168,Joey Sindelar,90,0.22399999999999998
168,169,169,David Branshaw,98,0.22699999999999998
169,170,170,Jon Mills,68,0.233
170,171,171,David Duval,71,0.23399999999999999
171,172,172,Chris Riley,86,0.24
172,173,173,Mike Sposa,68,0.244
173,174,174,Jerry Kelly,100,0.24600000000000002
