,Approaches_from_50-75_yards_Rgh_RANK THIS WEEK,Approaches_from_50-75_yards_Rgh_RANK LAST WEEK,Approaches_from_50-75_yards_Rgh_PLAYER NAME,Approaches_from_50-75_yards_Rgh_ROUNDS,Approaches_from_50-75_yards_Rgh_AVG,Approaches_from_50-75_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_50-75_yards_Rgh_# OF ATTEMPTS,Approaches_from_50-75_yards_Rgh_RELATIVE TO PAR
88,89,89,Sean O'Hair,100,"22' 10""",434.167,19,-1
89,90,90,Carlos Franco,86,"22' 11""",411.833,18,+5
90,91,91,John Senden,96,"23' 0""",253.417,11,+3
91,T92,T92,Shane Bertsch,104,"23' 1""",207.75,9,+1
92,T92,T92,"John Engler, Jr.",69,"23' 1""",277.25,12,+2
93,94,94,Tommy Armour III,65,"23' 4""",186.333,8,+1
94,95,95,Rory Sabbatini,84,"23' 6""",375.667,16,+5
95,96,96,Bill Haas,99,"23' 7""",259.0,11,+6
96,97,97,Henrik Bjornstad,97,"23' 8""",615.25,26,+7
97,T98,T98,Ryan Hietala,61,"23' 9""",380.083,16,+3
98,T98,T98,J.L. Lewis,57,"23' 9""",261.16700000000003,11,+4
99,T98,T98,Shigeki Maruyama,94,"23' 9""",379.417,16,+2
100,101,101,Justin Leonard,83,"23' 10""",285.58299999999997,12,+7
101,102,102,Eric Axley,91,"23' 11""",262.91700000000003,11,E
102,103,103,Todd Hamilton,72,"24' 0""",288.41700000000003,12,+8
103,104,104,Bob Estes,85,"24' 3""",242.583,10,+1
104,T105,T105,Matt Hansen,68,"24' 5""",341.833,14,E
105,T105,T105,Paul Stankowski,70,"24' 5""",195.167,8,E
106,107,107,Lucas Glover,105,"24' 6""",269.5,11,+5
107,T108,T108,Robert Garrigus,85,"24' 7""",295.41700000000003,12,+5
108,T108,T108,Thomas Levet,53,"24' 7""",123.083,5,+6
109,110,110,Mark Wilson,79,"24' 8""",247.0,10,+2
110,T111,T111,"Wes Short, Jr.",96,"24' 10""",372.25,15,+10
111,T111,T111,David Toms,76,"24' 10""",297.75,12,+1
112,113,113,Joe Ogilvie,95,"24' 11""",398.083,16,+4
113,T114,T114,Daisuke Maruyama,83,"25' 0""",249.75,10,+1
114,T114,T114,Roger Tambellini,64,"25' 0""",274.66700000000003,11,+2
115,116,116,Vijay Singh,103,"25' 4""",710.1669999999999,28,+7
116,T117,T117,Brian Davis,92,"25' 5""",431.667,17,+5
117,T117,T117,Carl Pettersson,95,"25' 5""",330.833,13,+4
118,T119,T119,Scott Verplank,88,"25' 8""",282.41700000000003,11,+1
119,T119,T119,Brett Wetterich,82,"25' 8""",513.25,20,-1
120,121,121,Charles Howell III,96,"25' 9""",515.4169999999999,20,+5
121,T122,T122,Michael Allen,84,"25' 10""",516.4169999999999,20,+8
122,T122,T122,Fred Couples,52,"25' 10""",309.66700000000003,12,+2
123,T122,T122,Danny Ellis,68,"25' 10""",335.583,13,+6
124,T125,T125,Alex Aragon,63,"25' 11""",415.083,16,+9
125,T125,T125,David Branshaw,98,"25' 11""",337.333,13,E
126,T125,T125,Chris Couch,75,"25' 11""",285.5,11,+2
127,T128,T128,Aaron Baddeley,78,"26' 1""",416.833,16,+1
128,T128,T128,Tim Petrovic,95,"26' 1""",495.417,19,+2
129,130,130,Tom Lehman,70,"26' 2""",209.25,8,+3
130,131,131,Vaughn Taylor,88,"26' 5""",211.333,8,+1
131,132,132,David McKenzie,82,"26' 7""",345.917,13,+5
132,T133,T133,John Daly,51,"26' 8""",266.66700000000003,10,+7
133,T133,T133,Luke Donald,66,"26' 8""",239.667,9,+5
134,T133,T133,Rod Pampling,89,"26' 8""",559.5,21,+8
135,T133,T133,Dean Wilson,115,"26' 8""",213.333,8,+3
136,137,137,Camilo Villegas,95,"26' 9""",374.667,14,+4
137,138,138,Charles Warren,93,"27' 0""",297.41700000000003,11,+3
138,T139,T139,David Duval,71,"27' 1""",162.25,6,+2
139,T139,T139,Harrison Frazar,95,"27' 1""",460.167,17,+6
140,T139,T139,Bob May,65,"27' 1""",271.16700000000003,10,+4
141,T142,T142,Lee Janzen,79,"27' 2""",271.66700000000003,10,+6
142,T142,T142,Tag Ridings,103,"27' 2""",542.75,20,+4
143,T144,T144,John Huston,74,"27' 3""",272.83299999999997,10,+3
144,T144,T144,Jeff Maggert,81,"27' 3""",408.25,15,+9
145,T146,T146,Bart Bryant,87,"27' 6""",522.0,19,E
146,T146,T146,Brett Quigley,109,"27' 6""",604.4169999999999,22,+4
147,T148,T148,Billy Mayfair,94,"27' 7""",359.083,13,+5
148,T148,T148,Bob Tway,81,"27' 7""",331.417,12,+3
149,150,150,Charley Hoffman,100,"27' 9""",554.25,20,+5
150,151,151,Kent Jones,103,"28' 0""",252.167,9,+1
151,T152,T152,Joe Durant,101,"28' 1""",421.25,15,+2
152,T152,T152,Geoff Ogilvy,76,"28' 1""",308.5,11,+6
153,154,154,Nicholas Thompson,96,"28' 2""",479.333,17,+3
154,T155,T155,Greg Chalmers,71,"28' 8""",430.5,15,+3
155,T155,T155,Phil Mickelson,74,"28' 8""",401.583,14,+6
156,T157,T157,Billy Andrade,78,"28' 10""",346.333,12,+6
157,T157,T157,Jon Mills,68,"28' 10""",519.0,18,+2
158,T157,T157,Mike Weir,88,"28' 10""",259.33299999999997,9,+3
159,T160,T160,Jeff Gove,91,"28' 11""",347.083,12,+2
160,T160,T160,Kenny Perry,73,"28' 11""",231.333,8,+3
161,162,162,Jason Gore,86,"29' 1""",406.917,14,+8
162,163,163,J.J. Henry,96,"29' 6""",295.33299999999997,10,+4
