,GIR_Percentage_-__125_yards_RANK THIS WEEK,GIR_Percentage_-__125_yards_RANK LAST WEEK,GIR_Percentage_-__125_yards_PLAYER NAME,GIR_Percentage_-__125_yards_ROUNDS,GIR_Percentage_-__125_yards_%,GIR_Percentage_-__125_yards_GREENS HIT,GIR_Percentage_-__125_yards_TOTAL HOLES,GIR_Percentage_-__125_yards_RELATIVE TO PAR
0,T1,T1,Jeremy Anderson,69,100.0,9,9,-0.56
1,T1,T1,Rich Beem,91,100.0,4,4,-0.25
2,T1,T1,Kent Jones,74,100.0,8,8,E
3,T1,T1,Sean Murphy,70,100.0,6,6,-0.50
4,T1,T1,Mark Wiebe,62,100.0,3,3,E
5,6,6,Bradley Hughes,96,90.0,36,40,-0.31
6,7,7,Bill Glasson,69,89.74,35,39,-0.31
7,8,8,David Toms,100,89.29,50,56,-0.34
8,9,9,David Peoples,96,89.23,58,65,-0.21
9,10,10,Keith Clearwater,62,88.89,8,9,E
10,T11,T11,Steve Allan,88,87.5,7,8,-0.29
11,T11,T11,Ben Ferguson,76,87.5,7,8,-0.43
12,T11,T11,Bob May,86,87.5,14,16,-0.21
13,14,14,Jerry Smith,95,85.71,30,35,-0.33
14,T15,T15,Fred Funk,118,84.62,44,52,-0.20
15,T15,T15,Paul Gow,79,84.62,11,13,-0.18
16,T15,T15,Brandt Jobe,96,84.62,22,26,-0.14
17,18,18,John Huston,64,84.21,16,19,E
18,19,19,Bob Tway,109,83.87,52,62,-0.31
19,20,20,Jim Furyk,88,83.02,44,53,-0.36
20,21,21,Geoff Ogilvy,60,82.61,19,23,-0.21
21,22,22,Glen Hnatiuk,104,82.35,28,34,-0.11
22,23,23,Len Mattiace,98,82.14,23,28,-0.13
23,24,24,Charles Howell III,89,82.09,55,67,-0.27
24,25,25,Ian Leggatt,84,81.82,27,33,-0.22
25,26,26,Gary Nicklaus,96,81.48,22,27,-0.18
26,27,27,Kirk Triplett,88,80.77,21,26,-0.24
27,28,28,Tom Lehman,82,80.7,46,57,-0.26
28,T29,T29,Rocco Mediate,69,80.65,25,31,-0.32
29,T29,T29,Craig Perks,78,80.65,25,31,-0.16
30,31,31,David Duval,78,80.33,49,61,-0.41
31,T32,T32,Woody Austin,99,80.0,24,30,-0.21
32,T32,T32,Briny Baird,106,80.0,44,55,-0.18
33,T32,T32,"David Berganio, Jr.",76,80.0,28,35,-0.36
34,T32,T32,Greg Chalmers,92,80.0,8,10,-0.75
35,T32,T32,K.J. Choi,95,80.0,12,15,E
36,T32,T32,Fred Couples,68,80.0,24,30,-0.33
37,T32,T32,Marco Dawson,57,80.0,16,20,-0.25
38,T32,T32,Ernie Els,70,80.0,36,45,-0.22
39,T32,T32,Steve Flesch,112,80.0,48,60,-0.35
40,T32,T32,Kelly Grunewald,66,80.0,8,10,-0.25
41,T32,T32,Jeff Hart,87,80.0,24,30,-0.21
42,T32,T32,J.J. Henry,86,80.0,32,40,-0.06
43,T32,T32,Jerry Kelly,104,80.0,16,20,-0.19
44,45,45,Stuart Appleby,105,79.69,51,64,-0.24
45,46,46,Joel Edwards,99,79.59,39,49,-0.28
46,47,47,Brent Geiberger,84,79.41,27,34,-0.26
47,48,48,Billy Mayfair,102,79.22,61,77,-0.20
48,49,49,Olin Browne,99,79.07,34,43,-0.32
49,T50,T50,Blaine McCallister,80,78.95,45,57,-0.24
50,T50,T50,Esteban Toledo,116,78.95,30,38,-0.13
51,52,52,Nick Price,74,78.85,41,52,-0.37
52,T53,T53,José Coceres,60,78.57,44,56,-0.23
53,T53,T53,Danny Ellis,76,78.57,44,56,-0.18
54,T53,T53,Davis Love III,75,78.57,77,98,-0.34
55,T53,T53,Andrew McLardy,75,78.57,11,14,E
56,57,57,Kenny Perry,94,78.48,62,79,-0.21
57,T58,T58,Russ Cochran,76,78.26,36,46,-0.36
58,T58,T58,John Cook,91,78.26,36,46,-0.28
59,60,60,Larry Mize,76,78.05,32,41,-0.13
60,61,61,Mathew Goggin,96,78.0,39,50,-0.28
61,T62,T62,Billy Andrade,82,77.78,14,18,-0.07
62,T62,T62,Greg Kraft,105,77.78,49,63,-0.27
63,T62,T62,Chris Tidland,83,77.78,7,9,-0.43
64,T62,T62,Tommy Tolles,89,77.78,7,9,-0.14
65,T62,T62,Rocky Walcher,59,77.78,14,18,-0.07
66,67,67,Paul Azinger,79,77.55,38,49,-0.32
67,T68,T68,Scott Dunlap,80,77.27,17,22,-0.24
68,T68,T68,Scott McCarron,98,77.27,51,66,-0.20
69,70,70,Cameron Beckman,103,77.08,37,48,-0.30
70,71,71,Tiger Woods,76,76.92,40,52,-0.18
71,72,72,John Riegger,86,76.79,43,56,-0.35
72,73,73,Neal Lancaster,107,76.74,33,43,-0.39
73,T74,T74,Ted Tryba,110,76.6,36,47,-0.19
74,T74,T74,Mike Weir,86,76.6,36,47,-0.25
75,76,76,Glen Day,89,76.56,49,64,-0.22
76,T77,T77,Shaun Micheel,103,76.47,39,51,-0.21
77,T77,T77,Jay Williamson,92,76.47,26,34,-0.15
78,79,79,Skip Kendall,111,76.27,45,59,-0.33
79,80,80,Chris DiMarco,108,76.14,67,88,-0.34
80,T81,T81,John Daly,84,76.0,19,25,-0.21
81,T81,T81,Hal Sutton,96,76.0,38,50,-0.13
82,T83,T83,Stewart Cink,102,75.86,66,87,-0.29
83,T83,T83,Scott Verplank,99,75.86,44,58,-0.18
84,T83,T83,Brian Wilson,88,75.86,22,29,-0.23
85,86,86,Brian Henninger,81,75.81,47,62,-0.32
86,T87,T87,Bob Burns,92,75.0,33,44,-0.15
87,T87,T87,Robert Damron,91,75.0,27,36,-0.15
88,T87,T87,David Morland IV,88,75.0,21,28,E
89,T87,T87,Craig Parry,68,75.0,12,16,-0.33
90,T87,T87,Scott Simpson,73,75.0,21,28,-0.14
91,T87,T87,Kevin Sutherland,101,75.0,36,48,-0.33
92,93,93,Robert Allenby,108,74.58,44,59,-0.30
93,94,94,Jonathan Kaye,116,74.42,32,43,-0.38
94,T95,T95,Scott Hoch,84,74.36,29,39,-0.14
95,T95,T95,Spike McRoy,95,74.36,29,39,-0.28
96,97,97,Joe Ogilvie,110,74.19,23,31,-0.30
97,98,98,Steve Jones,75,73.68,14,19,-0.14
98,T99,T99,Tripp Isenhour,92,73.33,11,15,-0.64
99,T99,T99,Lee Janzen,96,73.33,44,60,-0.41
100,101,101,Mark O'Meara,69,73.17,30,41,-0.27
101,102,102,Frank Lickliter II,102,72.86,51,70,-0.16
102,T103,T103,Chris Riley,104,72.73,32,44,-0.34
103,T103,T103,Garrett Willis,88,72.73,24,33,-0.08
104,105,105,Tom Byrum,85,72.5,29,40,-0.31
105,106,106,J.L. Lewis,108,72.34,34,47,-0.18
106,107,107,Vijay Singh,98,71.76,61,85,-0.28
107,T108,T108,Michael Clark II,87,71.43,25,35,-0.20
108,T108,T108,Kevin Johnson,93,71.43,5,7,-0.40
109,T108,T108,Jeff Maggert,84,71.43,30,42,-0.30
110,111,111,Kaname Yokoo,81,71.11,32,45,-0.44
111,112,112,Jeff Sluman,106,71.05,54,76,-0.13
112,T113,T113,Mark Brooks,88,70.97,22,31,-0.14
113,T113,T113,Jesper Parnevik,91,70.97,44,62,-0.32
114,T115,T115,Bob Estes,91,70.83,51,72,-0.29
115,T115,T115,Robin Freeman,105,70.83,17,24,-0.35
116,T115,T115,Dicky Pride,78,70.83,17,24,-0.29
117,118,118,Brian Gay,114,70.59,24,34,-0.33
118,119,119,Matt Gogel,83,70.37,19,27,-0.26
119,120,120,Michael Muehr,94,70.21,33,47,-0.21
120,121,121,Sergio Garcia,64,69.77,30,43,-0.37
121,T122,T122,Doug Dunakey,83,69.57,16,23,-0.13
122,T122,T122,Chris Smith,101,69.57,16,23,-0.31
123,124,124,Jim Carter,103,69.49,41,59,-0.29
124,125,125,Bernhard Langer,62,69.39,34,49,-0.35
125,T126,T126,Corey Pavin,72,69.23,9,13,-0.11
126,T126,T126,Paul Stankowski,91,69.23,18,26,-0.22
127,128,128,Tom Pernice Jr.,106,68.89,31,45,-0.03
128,T129,T129,Carlos Franco,87,68.75,22,32,-0.59
129,T129,T129,Pete Jordan,105,68.75,22,32,-0.18
130,131,131,Rory Sabbatini,73,68.66,46,67,-0.30
131,132,132,Joe Durant,80,68.63,35,51,-0.29
132,133,133,Steve Pate,89,68.42,13,19,-0.23
133,134,134,Jay Don Blake,100,68.25,43,63,-0.21
134,135,135,Lee Porter,93,68.18,15,22,-0.40
135,T136,T136,Fulton Allem,56,67.86,19,28,-0.21
136,T136,T136,Stephen Ames,88,67.86,19,28,-0.16
137,T136,T136,Mike Sposa,96,67.86,38,56,-0.29
138,139,139,Tommy Armour III,93,67.31,35,52,-0.29
139,140,140,Brad Faxon,95,67.19,43,64,-0.12
140,T141,T141,Steve Elkington,64,66.67,22,33,-0.36
141,T141,T141,Robert Gamez,59,66.67,2,3,E
142,T141,T141,Cliff Kresge,84,66.67,6,9,-0.17
143,T141,T141,Steve Lowery,100,66.67,56,84,-0.18
144,T141,T141,Jim McGovern,66,66.67,2,3,+0.50
145,T141,T141,Dennis Paulson,75,66.67,2,3,E
146,T141,T141,Carl Paulson,93,66.67,28,42,-0.39
147,T141,T141,Steve Stricker,73,66.67,22,33,-0.23
148,149,149,Grant Waite,78,65.96,31,47,-0.32
149,150,150,Frank Nobilo,91,65.79,25,38,-0.28
150,151,151,Justin Leonard,106,65.33,49,75,-0.24
151,152,152,Shigeki Maruyama,98,65.12,28,43,-0.36
152,153,153,Jason Gore,82,64.71,11,17,-0.18
153,154,154,David Frost,87,64.1,25,39,-0.36
154,155,155,Tom Scherrer,69,62.96,17,27,-0.24
155,T156,T156,Brandel Chamblee,77,62.5,5,8,+0.20
156,T156,T156,Craig Kanada,80,62.5,10,16,-0.20
157,158,158,Brad Elder,111,62.16,23,37,-0.35
158,T159,T159,Doug Barron,62,61.9,13,21,-0.23
159,T159,T159,Per-Ulrik Johansson,82,61.9,26,42,-0.46
160,161,161,Mark Calcavecchia,81,61.76,21,34,-0.24
161,162,162,Andrew Magee,97,61.7,29,47,-0.21
162,163,163,Harrison Frazar,88,61.29,19,31,-0.26
163,164,164,Jimmy Green,94,60.98,25,41,-0.28
164,165,165,Gabriel Hjertstedt,76,60.87,14,23,E
165,166,166,Paul Goydos,86,60.61,20,33,-0.30
166,T167,T167,Edward Fryatt,93,60.0,12,20,-0.08
167,T167,T167,Mark Hensby,71,60.0,3,5,-0.67
168,169,169,Loren Roberts,84,58.97,23,39,-0.22
169,170,170,Duffy Waldorf,77,57.14,8,14,-0.25
170,T171,T171,Richie Coughlan,66,55.56,5,9,-0.20
171,T171,T171,Hunter Haas,78,55.56,5,9,-0.20
172,173,173,Tim Herron,97,50.0,1,2,-1.00
173,174,174,Chris Perry,80,42.86,3,7,E
