,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Tim Herron,97,100.0,2.0,2
1,2,2,Greg Chalmers,92,70.0,7.0,10
2,T3,T3,Jeremy Anderson,69,66.67,6.0,9
3,T3,T3,Mark Hensby,71,66.67,2.0,3
4,T3,T3,Tripp Isenhour,92,66.67,6.0,9
5,6,6,Carlos Franco,87,55.56,10.0,18
6,T7,T7,Robert Gamez,59,50.0,1.0,2
7,T7,T7,Kevin Johnson,93,50.0,3.0,6
8,T7,T7,Sean Murphy,70,50.0,2.0,4
9,10,10,Kaname Yokoo,81,48.0,12.0,25
10,11,11,Steve Pate,89,45.45,5.0,11
11,12,12,Jerry Smith,95,44.0,11.0,25
12,T13,T13,Jonathan Kaye,116,40.0,8.0,20
13,T13,T13,Craig Parry,68,40.0,4.0,10
14,T13,T13,Kevin Sutherland,101,40.0,10.0,25
15,T16,T16,Robin Freeman,105,37.5,6.0,16
16,T16,T16,David Frost,87,37.5,9.0,24
17,T16,T16,Paul Goydos,86,37.5,6.0,16
18,19,19,John Riegger,86,37.14,13.0,35
19,20,20,Lee Janzen,96,35.9,14.0,39
20,21,21,Davis Love III,75,35.71,20.0,56
21,T22,T22,Jimmy Green,94,35.29,6.0,17
22,T22,T22,Per-Ulrik Johansson,82,35.29,6.0,17
23,24,24,Tom Byrum,85,34.78,8.0,23
24,25,25,Russ Cochran,76,34.62,9.0,26
25,T26,T26,Michael Clark II,87,33.33,5.0,15
26,T26,T26,Ben Ferguson,76,33.33,2.0,6
27,T26,T26,Bradley Hughes,96,33.33,9.0,27
28,T26,T26,Duffy Waldorf,77,33.33,3.0,9
29,T30,T30,Joel Edwards,99,32.26,10.0,31
30,T30,T30,Bernhard Langer,62,32.26,10.0,31
31,T30,T30,Nick Price,74,32.26,10.0,31
32,33,33,Jeff Maggert,84,32.14,9.0,28
