,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Tommy Tolles,89,0.3,9.0,1
1,2,2,Richie Coughlan,66,0.7,26.0,1
2,T3,T3,Keith Clearwater,62,1.0,36.0,1
3,T3,T3,Cliff Kresge,84,1.0,35.0,1
4,T5,T5,Jerry Kelly,104,1.1,120.0,3
5,T5,T5,Corey Pavin,72,1.1,38.0,1
6,7,7,Billy Andrade,82,1.2,86.0,2
7,8,8,Stephen Ames,88,1.5,159.0,3
8,T9,T9,Edward Fryatt,93,2.0,147.0,2
9,T9,T9,Tom Scherrer,69,2.0,292.0,4
10,T11,T11,K.J. Choi,95,2.2,79.0,1
11,T11,T11,Brent Geiberger,84,2.2,711.0,9
12,T11,T11,Chris Tidland,83,2.2,236.0,3
13,14,14,John Cook,91,2.4,879.0,10
14,T15,T15,Sean Murphy,70,2.5,272.0,3
15,T15,T15,Steve Stricker,73,2.5,455.0,5
16,T17,T17,David Morland IV,88,2.6,278.0,3
17,T17,T17,Mark O'Meara,69,2.6,948.0,10
18,T17,T17,Craig Perks,78,2.6,466.0,5
19,T20,T20,"David Berganio, Jr.",76,2.7,868.0,9
20,T20,T20,Rory Sabbatini,73,2.7,1460.0,15
21,T22,T22,Hunter Haas,78,2.8,101.0,1
22,T22,T22,Ian Leggatt,84,2.8,606.0,6
23,T22,T22,Lee Porter,93,2.8,595.0,6
24,T22,T22,Jay Williamson,92,2.8,404.0,4
25,26,26,Shaun Micheel,103,3.0,1173.0,11
26,T27,T27,Kelly Grunewald,66,3.1,226.0,2
27,T27,T27,Kaname Yokoo,81,3.1,1540.0,14
28,T29,T29,Loren Roberts,84,3.2,583.0,5
29,T29,T29,Vijay Singh,98,3.2,2555.0,22
30,T31,T31,Scott Dunlap,80,3.3,593.0,5
