,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
127,T128,T128,Brandel Chamblee,77,"6' 0""",35.75,6,159
128,T128,T128,Ben Ferguson,76,"6' 0""",24.083000000000002,4,181
129,T130,T130,Keith Clearwater,62,"6' 1""",54.583,9,182
130,T130,T130,Brad Elder,111,"6' 1""",109.833,18,169
131,T132,T132,Chris DiMarco,108,"6' 2""",277.66700000000003,45,15
132,T132,T132,Frank Nobilo,91,"6' 2""",104.167,17,58
133,134,134,Justin Leonard,106,"6' 4""",291.91700000000003,46,81
134,135,135,Greg Kraft,105,"6' 6""",259.58299999999997,40,94
135,136,136,Pete Jordan,105,"6' 10""",102.333,15,135
136,137,137,Joe Durant,80,"7' 0""",168.083,24,4
137,T138,T138,Tom Byrum,85,"7' 2""",143.5,20,100
138,T138,T138,Mike Sposa,96,"7' 2""",208.083,29,92
139,140,140,Dicky Pride,78,"7' 3""",79.833,11,174
140,T141,T141,Jeff Hart,87,"7' 5""",125.583,17,56
141,T141,T141,Len Mattiace,98,"7' 5""",163.167,22,168
142,143,143,Charles Howell III,89,"7' 6""",285.16700000000003,38,2
143,144,144,Robert Allenby,108,"7' 8""",283.25,37,33
144,T145,T145,Michael Muehr,94,"7' 10""",202.583,26,96
145,T145,T145,Rocky Walcher,59,"7' 10""",94.417,12,194
146,T147,T147,José Coceres,60,"8' 2""",244.25,30,61
147,T147,T147,Skip Kendall,111,"8' 2""",220.417,27,77
148,149,149,Chris Riley,104,"8' 8""",165.417,19,134
149,150,150,Billy Mayfair,102,"9' 0""",397.417,44,27
150,151,151,Jim Carter,103,"9' 1""",253.583,28,119
151,152,152,Chris Smith,101,"9' 7""",105.167,11,16
152,153,153,Geoff Ogilvy,60,"9' 10""",127.667,13,155
153,154,154,Jay Don Blake,100,"9' 11""",326.83299999999997,33,114
154,155,155,Mark Brooks,88,"10' 1""",150.75,15,163
155,156,156,Ian Leggatt,84,"11' 0""",263.83299999999997,24,79
156,157,157,Greg Chalmers,92,"13' 11""",41.833,3,103
157,158,158,David Toms,100,"14' 9""",398.333,27,7
158,159,159,Brian Henninger,81,"15' 11""",542.3330000000001,34,167
159,160,160,Jay Williamson,92,"16' 2""",338.667,21,109
160,161,161,Robert Gamez,59,"16' 7""",16.583,1,131
161,162,162,Steve Lowery,100,"16' 11""",812.5,48,51
162,163,163,Blaine McCallister,80,"17' 1""",545.6669999999999,32,133
163,164,164,Tiger Woods,76,"22' 11""",617.6669999999999,27,5
164,165,165,Mark Calcavecchia,81,"23' 7""",447.5,19,63
165,166,166,Glen Hnatiuk,104,"24' 1""",433.917,18,11
166,167,167,Nick Price,74,"24' 2""",603.3330000000001,25,68
167,168,168,Stuart Appleby,105,"24' 5""",782.0830000000001,32,143
168,T169,T169,Chris Tidland,83,"28' 5""",113.667,4,147
169,T169,T169,Mike Weir,86,"28' 5""",596.0,21,60
170,171,171,Kent Jones,74,"33' 2""",199.0,6,120
171,172,172,Michael Clark II,87,"35' 11""",538.25,15,98
172,173,173,Tom Scherrer,69,"45' 8""",502.333,11,176
173,174,174,Kevin Johnson,93,"115' 6""",462.0,4,152
