,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,T1,T1,Bob Burns,92,100.0,1.0,1
1,T1,T1,Greg Chalmers,92,100.0,1.0,1
2,T1,T1,Sean Murphy,70,100.0,1.0,1
3,4,4,David Duval,78,60.0,3.0,5
4,T5,T5,Carlos Franco,87,50.0,3.0,6
5,T5,T5,Scott Hoch,84,50.0,1.0,2
6,T5,T5,Frank Lickliter II,102,50.0,2.0,4
7,T5,T5,Dicky Pride,78,50.0,1.0,2
8,T5,T5,Scott Simpson,73,50.0,2.0,4
9,T5,T5,David Toms,100,50.0,2.0,4
10,11,11,Shaun Micheel,103,40.0,2.0,5
11,T12,T12,Danny Ellis,76,37.5,3.0,8
12,T12,T12,Jim Furyk,88,37.5,3.0,8
13,T14,T14,Bill Glasson,69,33.33,1.0,3
14,T14,T14,Bradley Hughes,96,33.33,2.0,6
15,T14,T14,Brandt Jobe,96,33.33,1.0,3
16,T14,T14,Bernhard Langer,62,33.33,1.0,3
17,T14,T14,Len Mattiace,98,33.33,1.0,3
18,T14,T14,Gary Nicklaus,96,33.33,1.0,3
19,T14,T14,Kirk Triplett,88,33.33,1.0,3
20,T14,T14,Mike Weir,86,33.33,1.0,3
21,22,22,Chris DiMarco,108,30.77,4.0,13
22,23,23,Davis Love III,75,30.0,3.0,10
23,T24,T24,Stuart Appleby,105,28.57,2.0,7
24,T24,T24,Michael Clark II,87,28.57,2.0,7
25,T24,T24,José Coceres,60,28.57,2.0,7
26,T24,T24,Brent Geiberger,84,28.57,2.0,7
27,T24,T24,Lee Janzen,96,28.57,2.0,7
28,T24,T24,Greg Kraft,105,28.57,2.0,7
29,T24,T24,Billy Mayfair,102,28.57,2.0,7
30,T24,T24,Mark O'Meara,69,28.57,2.0,7
31,32,32,Stewart Cink,102,27.27,3.0,11
32,T33,T33,"David Berganio, Jr.",76,25.0,1.0,4
