,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Bob May,86,93.75,15,16,-1.00
1,2,2,Kent Jones,74,87.5,7,8,+1.00
2,3,3,Brandt Jobe,96,80.77,21,26,-1.00
3,4,4,Robert Damron,91,80.56,29,36,+1.00
4,T5,T5,Paul Gow,79,78.57,11,14,E
5,T5,T5,Andrew McLardy,75,78.57,11,14,+1.00
6,7,7,Cliff Kresge,84,77.78,7,9,+1.00
7,8,8,Scott Verplank,99,77.59,45,58,E
8,T9,T9,Scott McCarron,98,75.76,50,66,-1.00
9,T9,T9,Garrett Willis,88,75.76,25,33,+2.00
10,11,11,J.J. Henry,86,75.61,31,41,+2.00
11,12,12,David Peoples,96,75.38,49,65,+1.00
12,T13,T13,Steve Allan,88,75.0,6,8,-1.00
13,T13,T13,Rich Beem,91,75.0,3,4,E
14,T13,T13,Kevin Johnson,93,75.0,6,8,E
15,T13,T13,Craig Perks,78,75.0,24,32,-2.00
16,T13,T13,Brian Wilson,88,75.0,21,28,E
17,18,18,Rocky Walcher,59,73.68,14,19,E
18,19,19,K.J. Choi,95,73.33,11,15,E
19,20,20,Steve Stricker,73,71.88,23,32,+1.00
20,21,21,Mark Brooks,88,70.97,22,31,+3.00
21,22,22,Jeff Sluman,106,70.13,54,77,+8.00
22,T23,T23,Keith Clearwater,62,70.0,7,10,+1.00
23,T23,T23,Kelly Grunewald,66,70.0,7,10,E
24,25,25,Frank Lickliter II,102,69.57,48,69,+3.00
25,26,26,Corey Pavin,72,69.23,9,13,-1.00
26,27,27,Jay Williamson,92,68.57,24,35,E
27,28,28,John Huston,64,68.42,13,19,+1.00
28,29,29,Greg Kraft,105,68.25,43,63,+1.00
29,30,30,Brad Faxon,95,68.18,45,66,+2.00
30,31,31,Paul Stankowski,91,68.0,17,25,E
31,32,32,Len Mattiace,98,67.86,19,28,+1.00
32,33,33,Brent Geiberger,84,67.65,23,34,E
33,34,34,Justin Leonard,106,67.53,52,77,E
34,35,35,Tom Pernice Jr.,106,67.39,31,46,+3.00
35,T36,T36,Billy Andrade,82,66.67,12,18,+1.00
36,T36,T36,Jim McGovern,66,66.67,2,3,+1.00
37,T36,T36,Dennis Paulson,75,66.67,2,3,E
38,T36,T36,Mark Wiebe,62,66.67,2,3,E
39,T40,T40,Fred Funk,118,66.04,35,53,+2.00
40,T40,T40,Tiger Woods,76,66.04,35,53,+3.00
41,42,42,Bradley Hughes,96,65.85,27,41,-3.00
42,43,43,Woody Austin,99,65.52,19,29,+1.00
43,44,44,Kirk Triplett,88,65.38,17,26,E
44,45,45,Geoff Ogilvy,60,65.22,15,23,E
45,46,46,Steve Jones,75,65.0,13,20,E
46,47,47,Tom Lehman,82,64.91,37,57,-3.00
47,48,48,Shaun Micheel,103,64.71,33,51,E
48,T49,T49,Briny Baird,106,64.29,36,56,E
49,T49,T49,Blaine McCallister,80,64.29,36,56,+1.00
50,T49,T49,David Morland IV,88,64.29,18,28,+4.00
51,T52,T52,Ernie Els,70,63.83,30,47,-1.00
52,T52,T52,Ted Tryba,110,63.83,30,47,+1.00
53,54,54,Kenny Perry,94,63.75,51,80,+1.00
54,55,55,Ian Leggatt,84,63.64,21,33,E
55,56,56,Jay Don Blake,100,63.49,40,63,E
56,57,57,Larry Mize,76,63.41,26,41,+3.00
57,58,58,Cameron Beckman,103,63.27,31,49,-3.00
58,59,59,Esteban Toledo,116,63.16,24,38,+1.00
59,60,60,Scott Simpson,73,62.96,17,27,E
60,61,61,"David Berganio, Jr.",76,62.86,22,35,-1.00
61,62,62,Charles Howell III,89,62.69,42,67,-7.00
62,T63,T63,Danny Ellis,76,62.5,35,56,+2.00
63,T63,T63,Scott Hoch,84,62.5,25,40,+2.00
64,T63,T63,Craig Kanada,80,62.5,10,16,E
65,66,66,Tommy Armour III,93,62.26,33,53,-1.00
66,67,67,Mathew Goggin,96,62.0,31,50,-1.00
67,68,68,Hal Sutton,96,61.54,32,52,+1.00
68,69,69,Stewart Cink,102,61.36,54,88,E
69,70,70,Robert Allenby,108,61.02,36,59,-2.00
70,71,71,Mark O'Meara,69,60.98,25,41,+1.00
71,T72,T72,Steve Lowery,100,60.47,52,86,E
72,T72,T72,Vijay Singh,98,60.47,52,86,+3.00
73,T74,T74,Greg Chalmers,92,60.0,6,10,-1.00
74,T74,T74,Jeff Hart,87,60.0,18,30,+1.00
75,76,76,Billy Mayfair,102,59.74,46,77,+2.00
76,77,77,Brian Henninger,81,59.68,37,62,+1.00
77,78,78,J.L. Lewis,108,59.57,28,47,+1.00
78,79,79,Harrison Frazar,88,59.38,19,32,E
79,80,80,Gabriel Hjertstedt,76,58.33,14,24,E
80,81,81,Jesper Parnevik,91,58.06,36,62,+1.00
81,T82,T82,Stuart Appleby,105,57.81,37,64,+1.00
82,T82,T82,Glen Day,89,57.81,37,64,+2.00
83,84,84,John Daly,84,57.69,15,26,E
84,85,85,Chris DiMarco,108,57.3,51,89,+3.00
85,T86,T86,Fulton Allem,56,57.14,16,28,+3.00
86,T86,T86,Joel Edwards,99,57.14,28,49,E
87,T86,T86,Jerry Kelly,104,57.14,12,21,-1.00
88,T86,T86,Mike Weir,86,57.14,28,49,-1.00
89,90,90,David Toms,100,56.9,33,58,+1.00
90,91,91,Bob Tway,109,56.45,35,62,-3.00
91,92,92,Bill Glasson,69,56.41,22,39,-1.00
