,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,T1,T1,Tom Lehman,82,81.94,599,731
1,T1,T1,Jeff Sluman,106,81.94,767,936
2,3,3,John Huston,64,81.8,454,555
3,4,4,Kevin Sutherland,101,81.59,709,869
4,5,5,Chris DiMarco,108,81.11,743,916
5,6,6,David Toms,100,80.86,752,930
6,7,7,Charles Howell III,89,80.71,678,840
7,8,8,Paul Azinger,79,80.39,611,760
8,9,9,John Cook,91,80.36,757,942
9,10,10,Tim Herron,97,80.22,669,834
10,11,11,Kenny Perry,94,80.14,678,846
11,12,12,J.J. Henry,86,80.07,663,828
12,13,13,Phil Mickelson,85,79.87,599,750
13,14,14,Davis Love III,75,79.84,511,640
14,15,15,Hal Sutton,96,79.48,798,1004
15,16,16,Duffy Waldorf,77,79.45,522,657
16,17,17,David Duval,78,79.43,502,632
17,18,18,Jim Furyk,88,79.08,722,913
18,19,19,Bob Tway,109,79.02,821,1039
19,20,20,Per-Ulrik Johansson,82,78.95,619,784
20,21,21,Robert Allenby,108,78.92,790,1001
21,22,22,Tiger Woods,76,78.85,522,662
22,23,23,Stewart Cink,102,78.8,658,835
23,24,24,Briny Baird,106,78.75,797,1012
24,25,25,Rocco Mediate,69,78.73,533,677
25,26,26,Joel Edwards,99,78.59,800,1018
26,27,27,Dudley Hart,80,78.5,504,642
27,28,28,Bernhard Langer,62,78.49,427,544
28,29,29,Scott McCarron,98,78.41,708,903
29,30,30,Fred Couples,68,78.36,467,596
30,T31,T31,John Daly,84,78.35,532,679
31,T31,T31,Rory Sabbatini,73,78.35,445,568
32,33,33,Bob Burns,92,78.25,680,869
33,34,34,Mathew Goggin,96,78.21,657,840
34,35,35,Donnie Hammond,51,78.17,394,504
35,36,36,Chris Smith,101,78.11,721,923
36,T37,T37,Marco Dawson,57,78.04,398,510
37,T37,T37,Mike Weir,86,78.04,597,765
38,T39,T39,Mark Calcavecchia,81,78.02,543,696
39,T39,T39,Bob Estes,91,78.02,614,787
40,41,41,Jonathan Kaye,116,77.93,851,1092
41,42,42,Frank Lickliter II,102,77.75,748,962
42,43,43,Joe Durant,80,77.71,687,884
43,T44,T44,Brett Quigley,67,77.55,425,548
44,T44,T44,Vijay Singh,98,77.55,639,824
45,46,46,Billy Mayfair,102,77.51,796,1027
46,47,47,David Peoples,96,77.5,713,920
47,48,48,Glen Hnatiuk,104,77.41,850,1098
48,49,49,Kirk Triplett,88,77.4,678,876
49,50,50,Bob May,86,77.37,571,738
50,51,51,Neal Lancaster,107,77.3,780,1009
51,52,52,Mark O'Meara,69,77.15,412,534
52,53,53,Russ Cochran,76,77.07,558,724
53,54,54,Stephen Ames,88,77.06,635,824
54,55,55,Steve Lowery,100,77.04,728,945
55,56,56,John Riegger,86,77.01,650,844
56,57,57,Fred Funk,118,76.88,971,1263
57,T58,T58,Jerry Kelly,104,76.87,731,951
58,T58,T58,Greg Kraft,105,76.87,741,964
59,60,60,Ronnie Black,51,76.83,315,410
60,61,61,Scott Verplank,99,76.76,753,981
61,62,62,Justin Leonard,106,76.72,735,958
62,T63,T63,Steve Flesch,112,76.71,761,992
63,T63,T63,Mike Sposa,96,76.71,695,906
64,65,65,Scott Hoch,84,76.69,648,845
65,T66,T66,Cameron Beckman,103,76.68,707,922
66,T66,T66,Robin Freeman,105,76.68,717,935
67,68,68,Brandt Jobe,96,76.61,691,902
68,69,69,Billy Andrade,82,76.6,537,701
69,T70,T70,Lee Janzen,96,76.56,673,879
70,T70,T70,Joey Sindelar,69,76.56,454,593
71,T72,T72,Bill Glasson,69,76.55,483,631
72,T72,T72,Willie Wood,52,76.55,333,435
73,74,74,Jeff Maggert,84,76.43,626,819
74,75,75,Jay Williamson,92,76.38,663,868
75,76,76,Dennis Paulson,75,76.33,474,621
76,77,77,Matt Gogel,83,76.29,563,738
77,78,78,Craig Perks,78,76.26,530,695
78,79,79,Bradley Hughes,96,76.14,721,947
79,80,80,Tom Byrum,85,76.12,682,896
80,T81,T81,Edward Fryatt,93,75.98,623,820
81,T81,T81,Jim McGovern,66,75.98,427,562
82,T83,T83,Jay Haas,75,75.95,540,711
