,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,T1,T1,Joel Edwards,99,1.8,130.0,2
1,T1,T1,Rocky Walcher,59,1.8,63.0,1
2,T3,T3,Greg Chalmers,92,2.3,82.0,1
3,T3,T3,Geoff Ogilvy,60,2.3,166.0,2
4,5,5,Charles Howell III,89,2.4,175.0,2
5,T6,T6,Marco Dawson,57,2.6,380.0,4
6,T6,T6,David Frost,87,2.6,760.0,8
7,T8,T8,Tim Herron,97,2.7,97.0,1
8,T8,T8,Justin Leonard,106,2.7,771.0,8
9,T10,T10,Olin Browne,99,2.8,406.0,4
10,T10,T10,David Toms,100,2.8,299.0,3
11,T12,T12,Kelly Grunewald,66,2.9,104.0,1
12,T12,T12,Lee Porter,93,2.9,103.0,1
13,14,14,Steve Allan,88,3.0,109.0,1
14,T15,T15,Carlos Franco,87,3.1,333.0,3
15,T15,T15,Hunter Haas,78,3.1,113.0,1
16,T17,T17,Michael Clark II,87,3.2,580.0,5
17,T17,T17,Robin Freeman,105,3.2,464.0,4
18,T17,T17,Craig Parry,68,3.2,114.0,1
19,T20,T20,Mark Hensby,71,3.3,239.0,2
20,T20,T20,Jay Williamson,92,3.3,600.0,5
21,22,22,Neal Lancaster,107,3.4,244.0,2
22,T23,T23,Cliff Kresge,84,3.5,250.0,2
23,T23,T23,Andrew Magee,97,3.5,749.0,6
24,T25,T25,Brian Henninger,81,3.6,1025.0,8
25,T25,T25,Jeff Maggert,84,3.6,394.0,3
26,T25,T25,Garrett Willis,88,3.6,517.0,4
27,28,28,Chris Riley,104,3.8,545.0,4
28,T29,T29,Paul Gow,79,3.9,420.0,3
29,T29,T29,Per-Ulrik Johansson,82,3.9,845.0,6
30,T29,T29,Shigeki Maruyama,98,3.9,707.0,5
31,T29,T29,Michael Muehr,94,3.9,1118.0,8
32,T29,T29,Chris Perry,80,3.9,416.0,3
33,T34,T34,John Cook,91,4.0,1000.0,7
34,T34,T34,Harrison Frazar,88,4.0,1009.0,7
35,T34,T34,Carl Paulson,93,4.0,728.0,5
36,T37,T37,Russ Cochran,76,4.1,737.0,5
37,T37,T37,Greg Kraft,105,4.1,735.0,5
38,39,39,Mark Calcavecchia,81,4.2,758.0,5
39,T40,T40,Paul Azinger,79,4.3,306.0,2
40,T40,T40,Stewart Cink,102,4.3,1399.0,9
41,T40,T40,Bob Estes,91,4.3,1088.0,7
42,T40,T40,Edward Fryatt,93,4.3,310.0,2
43,44,44,Jerry Kelly,104,4.4,320.0,2
44,T45,T45,Brad Elder,111,4.5,1461.0,9
45,T45,T45,Steve Flesch,112,4.5,1303.0,8
46,T45,T45,Tripp Isenhour,92,4.5,815.0,5
47,T48,T48,Billy Mayfair,102,4.6,2302.0,14
48,T48,T48,Rocco Mediate,69,4.6,164.0,1
49,T48,T48,John Riegger,86,4.6,1163.0,7
50,T51,T51,Steve Elkington,64,4.7,507.0,3
51,T51,T51,Bill Glasson,69,4.7,679.0,4
52,T51,T51,John Huston,64,4.7,169.0,1
53,T54,T54,Cameron Beckman,103,4.9,874.0,5
54,T54,T54,John Daly,84,4.9,534.0,3
55,T54,T54,Jeff Hart,87,4.9,355.0,2
56,T54,T54,Jeff Sluman,106,4.9,2286.0,13
57,T54,T54,Kaname Yokoo,81,4.9,876.0,5
58,T59,T59,Jim Carter,103,5.0,1801.0,10
59,T59,T59,Gabriel Hjertstedt,76,5.0,360.0,2
60,61,61,Duffy Waldorf,77,5.1,920.0,5
61,T62,T62,Chris DiMarco,108,5.2,1885.0,10
62,T62,T62,Skip Kendall,111,5.2,1113.0,6
63,T64,T64,J.L. Lewis,108,5.3,1704.0,9
64,T64,T64,Joe Ogilvie,110,5.3,957.0,5
65,T66,T66,Kirk Triplett,88,5.4,774.0,4
66,T66,T66,Ted Tryba,110,5.4,966.0,5
67,T66,T66,Grant Waite,78,5.4,1172.0,6
68,T69,T69,Matt Gogel,83,5.5,984.0,5
69,T69,T69,Paul Goydos,86,5.5,1194.0,6
70,T69,T69,Ian Leggatt,84,5.5,790.0,4
71,T69,T69,Kevin Sutherland,101,5.5,1377.0,7
72,T73,T73,Glen Day,89,5.6,601.0,3
73,T73,T73,Ben Ferguson,76,5.6,402.0,2
74,T73,T73,Brian Gay,114,5.6,1006.0,5
75,T73,T73,Tom Lehman,82,5.6,607.0,3
76,T73,T73,Paul Stankowski,91,5.6,1410.0,7
77,T78,T78,Briny Baird,106,5.9,1285.0,6
78,T78,T78,Corey Pavin,72,5.9,638.0,3
79,T78,T78,Brian Wilson,88,5.9,424.0,2
80,T81,T81,Jay Don Blake,100,6.0,1083.0,5
81,T81,T81,Lee Janzen,96,6.0,1075.0,5
82,T81,T81,Loren Roberts,84,6.0,861.0,4
83,T84,T84,Doug Barron,62,6.2,899.0,4
84,T84,T84,Brent Geiberger,84,6.2,1119.0,5
85,T84,T84,Kent Jones,74,6.2,224.0,1
86,T84,T84,Steve Lowery,100,6.2,3336.0,15
87,T88,T88,Tom Byrum,85,6.3,1800.0,8
88,T88,T88,Pete Jordan,105,6.3,1355.0,6
89,T88,T88,Davis Love III,75,6.3,1587.0,7
90,T88,T88,Vijay Singh,98,6.3,1813.0,8
91,T88,T88,Jerry Smith,95,6.3,909.0,4
92,T93,T93,Mathew Goggin,96,6.4,1143.0,5
93,T93,T93,Jim McGovern,66,6.4,458.0,2
94,T93,T93,Mark O'Meara,69,6.4,1376.0,6
95,T93,T93,David Peoples,96,6.4,1143.0,5
96,T93,T93,Tom Scherrer,69,6.4,917.0,4
97,T93,T93,Esteban Toledo,116,6.4,690.0,3
98,T93,T93,Bob Tway,109,6.4,1842.0,8
99,100,100,Frank Lickliter II,102,6.5,3031.0,13
100,T101,T101,Fred Couples,68,6.6,956.0,4
101,T101,T101,Ernie Els,70,6.6,1186.0,5
102,T101,T101,David Morland IV,88,6.6,1658.0,7
103,T101,T101,Kenny Perry,94,6.6,1903.0,8
104,T105,T105,Frank Nobilo,91,6.7,720.0,3
105,T105,T105,Rory Sabbatini,73,6.7,1941.0,8
106,T105,T105,Tommy Tolles,89,6.7,480.0,2
107,T108,T108,José Coceres,60,6.8,1725.0,7
108,T108,T108,Sergio Garcia,64,6.8,1950.0,8
109,T110,T110,Jimmy Green,94,6.9,2739.0,11
110,T110,T110,Spike McRoy,95,6.9,1490.0,6
111,T112,T112,Len Mattiace,98,7.0,1513.0,6
112,T112,T112,Tom Pernice Jr.,106,7.0,1776.0,7
113,T114,T114,Stephen Ames,88,7.1,1018.0,4
114,T114,T114,Brad Faxon,95,7.1,3088.0,12
115,T114,T114,Mike Weir,86,7.1,1282.0,5
116,117,117,Bernhard Langer,62,7.2,778.0,3
117,T118,T118,Stuart Appleby,105,7.3,1572.0,6
118,T118,T118,Danny Ellis,76,7.3,1056.0,4
119,T118,T118,J.J. Henry,86,7.3,2375.0,9
120,T118,T118,Craig Kanada,80,7.3,526.0,2
121,T118,T118,Jesper Parnevik,91,7.3,1317.0,5
122,T123,T123,Tommy Armour III,93,7.4,1334.0,5
123,T123,T123,Jason Gore,82,7.4,797.0,3
124,T125,T125,Scott Simpson,73,7.5,1073.0,4
125,T125,T125,Chris Smith,101,7.5,1615.0,6
126,T125,T125,Mike Sposa,96,7.5,1616.0,6
127,128,128,Jim Furyk,88,7.7,1669.0,6
128,T129,T129,K.J. Choi,95,7.8,281.0,1
129,T129,T129,Bradley Hughes,96,7.8,1121.0,4
130,T129,T129,Steve Pate,89,7.8,1403.0,5
131,132,132,Tiger Woods,76,7.9,1701.0,6
132,T133,T133,Keith Clearwater,62,8.0,865.0,3
133,T133,T133,Glen Hnatiuk,104,8.0,2019.0,7
134,135,135,Jonathan Kaye,116,8.1,1452.0,5
135,T136,T136,Billy Andrade,82,8.2,1477.0,5
136,T136,T136,"David Berganio, Jr.",76,8.2,884.0,3
137,T136,T136,David Duval,78,8.2,885.0,3
138,T136,T136,Scott Hoch,84,8.2,1187.0,4
139,140,140,Bob Burns,92,8.3,2692.0,9
140,141,141,Scott McCarron,98,8.5,2434.0,8
141,142,142,Scott Dunlap,80,8.6,311.0,1
142,143,143,Craig Perks,78,8.7,1253.0,4
143,144,144,Robert Allenby,108,8.8,2220.0,7
144,T145,T145,Fulton Allem,56,8.9,2568.0,8
145,T145,T145,Andrew McLardy,75,8.9,959.0,3
146,T145,T145,Hal Sutton,96,8.9,2890.0,9
147,148,148,Brandt Jobe,96,9.0,1295.0,4
148,149,149,Steve Stricker,73,9.3,1342.0,4
149,150,150,Woody Austin,99,9.5,1022.0,3
150,151,151,Larry Mize,76,9.8,1758.0,5
151,152,152,Joe Durant,80,10.2,2569.0,7
152,153,153,Shaun Micheel,103,10.4,2239.0,6
153,154,154,Blaine McCallister,80,11.5,1650.0,4
154,155,155,Doug Dunakey,83,11.6,836.0,2
155,156,156,Mark Brooks,88,11.7,841.0,2
156,157,157,Robert Damron,91,11.8,851.0,2
157,158,158,Fred Funk,118,12.5,1354.0,3
158,159,159,Brandel Chamblee,77,12.7,913.0,2
159,160,160,Gary Nicklaus,96,13.8,2476.0,5
160,161,161,Kevin Johnson,93,15.1,1085.0,2
161,162,162,Scott Verplank,99,24.3,874.0,1
