,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,T1,T1,Jeremy Anderson,69,60.0,6.0,10
1,T1,T1,Greg Chalmers,92,60.0,9.0,15
2,T1,T1,Sean Murphy,70,60.0,3.0,5
3,4,4,Tim Herron,97,50.0,2.0,4
4,5,5,Carlos Franco,87,43.75,14.0,32
5,6,6,Tripp Isenhour,92,41.18,7.0,17
6,7,7,Mark Hensby,71,40.0,2.0,5
7,8,8,Ben Ferguson,76,37.5,3.0,8
8,9,9,David Duval,78,36.51,23.0,63
9,10,10,Bill Glasson,69,35.9,14.0,39
10,T11,T11,Robert Gamez,59,33.33,1.0,3
11,T11,T11,Craig Parry,68,33.33,5.0,15
12,T11,T11,Chris Tidland,83,33.33,3.0,9
13,14,14,David Toms,100,32.73,18.0,55
14,15,15,Kaname Yokoo,81,32.56,14.0,43
15,16,16,Neal Lancaster,107,31.71,13.0,41
16,17,17,John Riegger,86,31.48,17.0,54
17,18,18,Jim Furyk,88,31.37,16.0,51
18,19,19,Nick Price,74,31.25,15.0,48
19,20,20,Kirk Triplett,88,31.03,9.0,29
20,21,21,Lee Janzen,96,30.65,19.0,62
21,22,22,Kevin Sutherland,101,30.61,15.0,49
22,T23,T23,Robin Freeman,105,30.43,7.0,23
23,T23,T23,Davis Love III,75,30.43,28.0,92
24,25,25,Jonathan Kaye,116,30.23,13.0,43
25,26,26,Steve Pate,89,30.0,6.0,20
26,27,27,Jerry Smith,95,29.73,11.0,37
27,28,28,Bradley Hughes,96,29.27,12.0,41
28,29,29,Per-Ulrik Johansson,82,28.95,11.0,38
29,T30,T30,Russ Cochran,76,28.0,14.0,50
30,T30,T30,Gary Nicklaus,96,28.0,7.0,25
31,32,32,Bob Tway,109,27.69,18.0,65
32,T33,T33,Brian Gay,114,27.27,9.0,33
33,T33,T33,Kevin Johnson,93,27.27,3.0,11
34,T33,T33,Lee Porter,93,27.27,6.0,22
35,T36,T36,Bernhard Langer,62,26.83,11.0,41
36,T36,T36,Shigeki Maruyama,98,26.83,11.0,41
37,38,38,Grant Waite,78,26.67,12.0,45
38,39,39,Vijay Singh,98,26.51,22.0,83
39,40,40,Paul Azinger,79,26.42,14.0,53
40,41,41,Brian Henninger,81,26.23,16.0,61
41,42,42,Jeff Maggert,84,26.19,11.0,42
42,T43,T43,Tom Byrum,85,25.64,10.0,39
43,T43,T43,Mark O'Meara,69,25.64,10.0,39
44,45,45,Carl Paulson,93,25.58,11.0,43
45,46,46,Chris DiMarco,108,25.56,23.0,90
46,47,47,Cameron Beckman,103,25.53,12.0,47
47,48,48,Joel Edwards,99,25.49,13.0,51
48,49,49,Robert Allenby,108,25.42,15.0,59
49,T50,T50,"David Berganio, Jr.",76,25.0,9.0,36
50,T50,T50,Bob Burns,92,25.0,11.0,44
51,T50,T50,Jim Carter,103,25.0,15.0,60
52,T50,T50,Fred Couples,68,25.0,8.0,32
53,T50,T50,Scott Dunlap,80,25.0,5.0,20
54,T50,T50,David Frost,87,25.0,11.0,44
55,T50,T50,Glen Hnatiuk,104,25.0,8.0,32
56,57,57,Tom Lehman,82,24.53,13.0,53
57,58,58,Sergio Garcia,64,24.39,10.0,41
58,59,59,Spike McRoy,95,24.32,9.0,37
59,60,60,Steve Elkington,64,24.24,8.0,33
60,T61,T61,Steve Flesch,112,24.19,15.0,62
61,T61,T61,Skip Kendall,111,24.19,15.0,62
62,T61,T61,Rory Sabbatini,73,24.19,15.0,62
63,64,64,Olin Browne,99,23.26,10.0,43
64,T65,T65,John Daly,84,23.08,6.0,26
65,T65,T65,Brent Geiberger,84,23.08,9.0,39
66,T65,T65,Matt Gogel,83,23.08,6.0,26
67,68,68,Stuart Appleby,105,22.95,14.0,61
68,T69,T69,Joe Durant,80,22.92,11.0,48
69,T69,T69,Fred Funk,118,22.92,11.0,48
70,T69,T69,Mike Weir,86,22.92,11.0,48
71,T69,T69,Tiger Woods,76,22.92,11.0,48
72,73,73,Stewart Cink,102,22.47,20.0,89
73,74,74,José Coceres,60,22.41,13.0,58
74,T75,T75,Steve Allan,88,22.22,2.0,9
75,T75,T75,Kent Jones,74,22.22,2.0,9
76,T75,T75,Jesper Parnevik,91,22.22,14.0,63
77,78,78,Mathew Goggin,96,22.0,11.0,50
78,79,79,Paul Goydos,86,21.88,7.0,32
79,T80,T80,John Cook,91,21.74,10.0,46
80,T80,T80,Dicky Pride,78,21.74,5.0,23
81,82,82,Frank Nobilo,91,21.62,8.0,37
82,83,83,Shaun Micheel,103,21.15,11.0,52
83,84,84,Charles Howell III,89,20.97,13.0,62
84,85,85,Ernie Els,70,20.93,9.0,43
85,T86,T86,Woody Austin,99,20.69,6.0,29
86,T86,T86,Jeff Hart,87,20.69,6.0,29
87,T86,T86,Rocco Mediate,69,20.69,6.0,29
88,T86,T86,Joe Ogilvie,110,20.69,6.0,29
89,T86,T86,Brian Wilson,88,20.69,6.0,29
90,91,91,Chris Riley,104,20.51,8.0,39
91,T92,T92,Michael Clark II,87,20.0,7.0,35
92,T92,T92,Richie Coughlan,66,20.0,1.0,5
93,T92,T92,Kelly Grunewald,66,20.0,2.0,10
