,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,T1,T1,Bob Burns,92,-1.000
1,T1,T1,Greg Chalmers,92,-1.000
2,T1,T1,Sean Murphy,70,-1.000
3,4,4,David Duval,78,-.800
4,T5,T5,Dicky Pride,78,-.500
5,T5,T5,David Toms,100,-.500
6,T7,T7,Carlos Franco,87,-.333
7,T7,T7,Brandt Jobe,96,-.333
8,T7,T7,Kirk Triplett,88,-.333
9,T7,T7,Mike Weir,86,-.333
10,11,11,Stewart Cink,102,-.273
11,T12,T12,Olin Browne,99,-.250
12,T12,T12,Glen Day,89,-.250
13,T12,T12,Steve Elkington,64,-.250
14,T12,T12,Danny Ellis,76,-.250
15,T12,T12,Harrison Frazar,88,-.250
16,T12,T12,Fred Funk,118,-.250
17,T12,T12,Jim Furyk,88,-.250
18,T12,T12,Frank Lickliter II,102,-.250
19,T12,T12,Scott Simpson,73,-.250
20,T12,T12,Tiger Woods,76,-.250
21,T22,T22,Russ Cochran,76,-.200
22,T22,T22,Charles Howell III,89,-.200
23,T22,T22,Neal Lancaster,107,-.200
24,T22,T22,Davis Love III,75,-.200
25,T22,T22,Shaun Micheel,103,-.200
26,27,27,Bradley Hughes,96,-.167
27,28,28,Chris DiMarco,108,-.154
28,T29,T29,Stuart Appleby,105,-.143
29,T29,T29,Paul Azinger,79,-.143
30,T29,T29,Brent Geiberger,84,-.143
31,T29,T29,Greg Kraft,105,-.143
32,T29,T29,Billy Mayfair,102,-.143
33,T34,T34,Per-Ulrik Johansson,82,-.125
34,T34,T34,Nick Price,74,-.125
35,36,36,Jesper Parnevik,91,-.100
36,T37,T37,Fulton Allem,56,E
37,T37,T37,Robert Allenby,108,E
38,T37,T37,Stephen Ames,88,E
39,T37,T37,Tommy Armour III,93,E
40,T37,T37,Doug Barron,62,E
41,T37,T37,"David Berganio, Jr.",76,E
42,T37,T37,Mark Brooks,88,E
43,T37,T37,K.J. Choi,95,E
44,T37,T37,Michael Clark II,87,E
45,T37,T37,Keith Clearwater,62,E
46,T37,T37,Richie Coughlan,66,E
47,T37,T37,Robert Damron,91,E
48,T37,T37,Scott Dunlap,80,E
49,T37,T37,Joel Edwards,99,E
50,T37,T37,Bob Estes,91,E
51,T37,T37,David Frost,87,E
52,T37,T37,Bill Glasson,69,E
53,T37,T37,Matt Gogel,83,E
54,T37,T37,Mathew Goggin,96,E
55,T37,T37,Paul Gow,79,E
56,T37,T37,Hunter Haas,78,E
57,T37,T37,Gabriel Hjertstedt,76,E
58,T37,T37,Scott Hoch,84,E
59,T37,T37,John Huston,64,E
60,T37,T37,Tripp Isenhour,92,E
61,T37,T37,Kevin Johnson,93,E
62,T37,T37,Steve Jones,75,E
63,T37,T37,Kent Jones,74,E
64,T37,T37,Jonathan Kaye,116,E
65,T37,T37,Cliff Kresge,84,E
66,T37,T37,Bernhard Langer,62,E
67,T37,T37,Tom Lehman,82,E
68,T37,T37,J.L. Lewis,108,E
69,T37,T37,Jeff Maggert,84,E
70,T37,T37,Bob May,86,E
71,T37,T37,Blaine McCallister,80,E
72,T37,T37,Larry Mize,76,E
73,T37,T37,Gary Nicklaus,96,E
74,T37,T37,Frank Nobilo,91,E
75,T37,T37,Geoff Ogilvy,60,E
76,T37,T37,Corey Pavin,72,E
77,T37,T37,David Peoples,96,E
78,T37,T37,Craig Perks,78,E
79,T37,T37,Chris Riley,104,E
80,T37,T37,Rory Sabbatini,73,E
81,T37,T37,Jerry Smith,95,E
82,T37,T37,Kevin Sutherland,101,E
83,T37,T37,Hal Sutton,96,E
84,T37,T37,Chris Tidland,83,E
85,T37,T37,Scott Verplank,99,E
86,T37,T37,Garrett Willis,88,E
87,T88,T88,Esteban Toledo,116,+.111
