,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,T1,T1,Jason Gore,30,0.0,,2
1,T1,T1,Chris Perry,26,0.0,,1
2,3,3,Dicky Pride,27,0.4,13.0,1
3,T4,T4,Brent Geiberger,25,0.9,135.0,4
4,T4,T4,Tommy Tolles,31,0.9,65.0,2
5,T6,T6,Len Mattiace,30,2.0,73.0,1
6,T6,T6,Billy Mayfair,29,2.0,216.0,3
7,8,8,Vijay Singh,26,2.9,210.0,2
8,9,9,Joel Edwards,30,3.0,214.0,2
9,T10,T10,Ernie Els,19,3.2,344.0,3
10,T10,T10,J.L. Lewis,31,3.2,232.0,2
11,12,12,Billy Andrade,27,3.3,240.0,2
12,13,13,Brad Elder,35,3.4,245.0,2
13,14,14,Cliff Kresge,31,3.9,140.0,1
14,15,15,Michael Muehr,32,4.1,590.0,4
15,16,16,Bob Burns,29,4.3,153.0,1
16,T17,T17,Tom Pernice Jr.,33,4.4,159.0,1
17,T17,T17,Kaname Yokoo,27,4.4,319.0,2
18,T19,T19,Brian Henninger,29,4.5,162.0,1
19,T19,T19,Jonathan Kaye,33,4.5,325.0,2
20,T21,T21,Paul Goydos,29,4.8,174.0,1
21,T21,T21,Jerry Smith,31,4.8,172.0,1
22,T23,T23,Fred Couples,19,5.0,181.0,1
23,T23,T23,Gabriel Hjertstedt,30,5.0,363.0,2
24,T25,T25,Mark Brooks,27,5.1,183.0,1
25,T25,T25,Ted Tryba,33,5.1,366.0,2
26,T27,T27,J.J. Henry,28,5.3,576.0,3
27,T27,T27,Glen Hnatiuk,31,5.3,192.0,1
28,29,29,Chris DiMarco,29,5.6,201.0,1
29,30,30,Bill Glasson,26,6.3,903.0,4
30,31,31,Kevin Sutherland,30,6.6,1188.0,5
31,T32,T32,Stewart Cink,29,7.1,1028.0,4
32,T32,T32,Kenny Perry,26,7.1,1016.0,4
33,T34,T34,Russ Cochran,24,7.2,780.0,3
34,T34,T34,Spike McRoy,31,7.2,779.0,3
35,36,36,Tom Scherrer,28,7.3,261.0,1
36,T37,T37,Robert Gamez,22,7.5,542.0,2
37,T37,T37,Mike Weir,23,7.5,1075.0,4
38,39,39,Kirk Triplett,26,7.6,544.0,2
39,40,40,Lee Janzen,29,7.8,559.0,2
40,41,41,John Daly,25,7.9,1141.0,4
41,42,42,Doug Dunakey,32,8.1,291.0,1
42,T43,T43,Robert Allenby,29,8.3,1801.0,6
43,T43,T43,Jim Carter,28,8.3,1197.0,4
44,T45,T45,Sergio Garcia,18,8.4,602.0,2
45,T45,T45,Pete Jordan,36,8.4,303.0,1
46,T45,T45,Steve Pate,30,8.4,607.0,2
47,T45,T45,Jeff Sluman,30,8.4,605.0,2
48,T49,T49,David Duval,20,8.5,1838.0,6
49,T49,T49,Bob Estes,26,8.5,1224.0,4
50,T49,T49,Jeff Maggert,27,8.5,1228.0,4
51,T49,T49,David Peoples,31,8.5,305.0,1
52,T49,T49,Jay Williamson,35,8.5,305.0,1
53,54,54,Kent Jones,28,8.6,311.0,1
54,55,55,Carl Paulson,31,8.8,1264.0,4
55,56,56,Andrew Magee,31,8.9,959.0,3
56,T57,T57,Mark Calcavecchia,23,9.0,975.0,3
57,T57,T57,Per-Ulrik Johansson,29,9.0,1617.0,5
58,T57,T57,Grant Waite,28,9.0,1292.0,4
59,T60,T60,Greg Chalmers,27,9.2,1326.0,4
60,T60,T60,Scott Simpson,22,9.2,332.0,1
61,T62,T62,Paul Azinger,20,9.4,1012.0,3
62,T62,T62,Olin Browne,30,9.4,678.0,2
63,T64,T64,Robert Damron,27,9.5,686.0,2
64,T64,T64,Geoff Ogilvy,23,9.5,343.0,1
65,66,66,Craig Perks,30,9.9,715.0,2
66,67,67,Kevin Johnson,32,10.0,722.0,2
67,T68,T68,Mathew Goggin,33,10.1,724.0,2
68,T68,T68,Davis Love III,20,10.1,1823.0,5
69,70,70,Tiger Woods,19,10.7,769.0,2
70,71,71,Marco Dawson,19,10.9,1178.0,3
71,72,72,Tommy Armour III,32,11.0,789.0,2
72,T73,T73,Cameron Beckman,29,11.1,2406.0,6
73,T73,T73,Glen Day,28,11.1,1201.0,3
74,T73,T73,Brian Gay,32,11.1,796.0,2
75,T73,T73,Justin Leonard,30,11.1,1595.0,4
76,77,77,John Huston,20,11.2,1214.0,3
77,T78,T78,Michael Clark II,30,11.4,1230.0,3
78,T78,T78,Carlos Franco,27,11.4,1635.0,4
79,T78,T78,Neal Lancaster,36,11.4,410.0,1
80,81,81,Bernhard Langer,17,11.5,826.0,2
81,82,82,Shigeki Maruyama,27,11.6,1672.0,4
82,83,83,Stephen Ames,26,11.8,425.0,1
83,T84,T84,Jay Don Blake,31,11.9,854.0,2
84,T84,T84,Steve Lowery,28,11.9,2147.0,5
85,86,86,Brian Wilson,31,12.0,1292.0,3
86,T87,T87,Woody Austin,34,12.2,438.0,1
87,T87,T87,Shaun Micheel,34,12.2,875.0,2
88,T89,T89,Briny Baird,31,12.3,885.0,2
89,T89,T89,Joe Durant,25,12.3,443.0,1
90,T89,T89,Harrison Frazar,25,12.3,441.0,1
91,92,92,Mike Sposa,29,12.6,2268.0,5
92,T93,T93,Ian Leggatt,29,12.8,925.0,2
93,T93,T93,Scott McCarron,25,12.8,2757.0,6
94,95,95,Bob Tway,29,13.4,1933.0,4
95,96,96,Charles Howell III,24,13.6,2442.0,5
96,T97,T97,Tim Herron,29,13.8,994.0,2
97,T97,T97,Hal Sutton,26,13.8,997.0,2
98,99,99,Chris Riley,30,14.1,508.0,1
99,100,100,Brandt Jobe,30,14.2,1021.0,2
100,101,101,Jesper Parnevik,25,14.8,1066.0,2
101,102,102,Paul Stankowski,27,15.1,545.0,1
102,103,103,John Riegger,27,15.3,551.0,1
103,104,104,Craig Kanada,28,15.4,1109.0,2
104,105,105,Bradley Hughes,33,15.7,1127.0,2
105,T106,T106,Tripp Isenhour,31,15.9,571.0,1
106,T106,T106,Frank Lickliter II,29,15.9,572.0,1
107,108,108,Scott Verplank,26,16.0,1154.0,2
108,109,109,Greg Kraft,33,16.2,584.0,1
109,110,110,Jim Furyk,24,16.6,598.0,1
110,111,111,José Coceres,19,17.1,1230.0,2
111,112,112,Bob May,25,17.4,1253.0,2
112,113,113,Tom Lehman,23,17.5,2517.0,4
113,114,114,Jeremy Anderson,28,17.7,638.0,1
114,115,115,Brad Faxon,26,18.7,1347.0,2
115,116,116,Robin Freeman,34,18.9,2046.0,3
116,117,117,Nick Price,20,19.2,1382.0,2
117,118,118,Stuart Appleby,29,20.5,738.0,1
118,119,119,Steve Jones,25,21.7,1564.0,2
119,120,120,Skip Kendall,33,22.0,792.0,1
120,121,121,Craig Parry,22,25.8,927.0,1
121,122,122,Rocco Mediate,21,26.5,955.0,1
