,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
0,T1,T1,Woody Austin,99,100.0,1.0,1,E
1,T1,T1,Paul Azinger,79,100.0,1.0,1,E
2,T1,T1,Briny Baird,106,100.0,2.0,2,E
3,T1,T1,Cameron Beckman,103,100.0,1.0,1,E
4,T1,T1,Mark Brooks,88,100.0,1.0,1,-1.00
5,T1,T1,Mark Calcavecchia,81,100.0,1.0,1,E
6,T1,T1,José Coceres,60,100.0,2.0,2,-2.00
7,T1,T1,Joel Edwards,99,100.0,1.0,1,-1.00
8,T1,T1,Danny Ellis,76,100.0,2.0,2,E
9,T1,T1,Fred Funk,118,100.0,1.0,1,E
10,T1,T1,Sergio Garcia,64,100.0,1.0,1,E
11,T1,T1,Brian Gay,114,100.0,2.0,2,-2.00
12,T1,T1,Bill Glasson,69,100.0,1.0,1,E
13,T1,T1,Paul Goydos,86,100.0,2.0,2,E
14,T1,T1,Kelly Grunewald,66,100.0,1.0,1,E
15,T1,T1,Per-Ulrik Johansson,82,100.0,1.0,1,-1.00
16,T1,T1,J.L. Lewis,108,100.0,1.0,1,E
17,T1,T1,Frank Lickliter II,102,100.0,1.0,1,E
18,T1,T1,Bob May,86,100.0,1.0,1,+1.00
19,T1,T1,Billy Mayfair,102,100.0,1.0,1,E
20,T1,T1,Blaine McCallister,80,100.0,1.0,1,E
21,T1,T1,Michael Muehr,94,100.0,1.0,1,-1.00
22,T1,T1,Jesper Parnevik,91,100.0,2.0,2,-2.00
23,T1,T1,Steve Pate,89,100.0,1.0,1,-1.00
24,T1,T1,Carl Paulson,93,100.0,1.0,1,-1.00
25,T1,T1,Tom Pernice Jr.,106,100.0,1.0,1,E
26,T1,T1,Kenny Perry,94,100.0,1.0,1,E
27,T1,T1,Jerry Smith,95,100.0,1.0,1,E
28,T1,T1,Esteban Toledo,116,100.0,1.0,1,E
29,T1,T1,David Toms,100,100.0,1.0,1,-1.00
30,T1,T1,Duffy Waldorf,77,100.0,1.0,1,E
31,T1,T1,Garrett Willis,88,100.0,1.0,1,E
32,33,33,Loren Roberts,84,66.7,2.0,3,E
33,T34,T34,Robert Allenby,108,50.0,1.0,2,E
34,T34,T34,John Daly,84,50.0,1.0,2,E
35,T34,T34,Marco Dawson,57,50.0,1.0,2,E
36,T34,T34,Joe Durant,80,50.0,1.0,2,E
37,T34,T34,Jonathan Kaye,116,50.0,1.0,2,E
38,T34,T34,Bernhard Langer,62,50.0,1.0,2,E
39,T34,T34,Justin Leonard,106,50.0,1.0,2,E
40,T34,T34,Rory Sabbatini,73,50.0,1.0,2,-1.00
41,T34,T34,Kirk Triplett,88,50.0,1.0,2,E
42,T34,T34,Kaname Yokoo,81,50.0,1.0,2,-1.00
43,44,44,Bob Tway,109,33.3,1.0,3,E
44,T45,T45,Steve Allan,88,0.0,,1,E
45,T45,T45,Doug Barron,62,0.0,,1,E
46,T45,T45,"David Berganio, Jr.",76,0.0,,1,E
47,T45,T45,Jay Don Blake,100,0.0,,1,E
48,T45,T45,Jim Carter,103,0.0,,1,E
49,T45,T45,Brandel Chamblee,77,0.0,,1,E
50,T45,T45,Stewart Cink,102,0.0,,1,E
51,T45,T45,Richie Coughlan,66,0.0,,1,E
52,T45,T45,Fred Couples,68,0.0,,1,E
53,T45,T45,Glen Day,89,0.0,,1,E
54,T45,T45,Chris DiMarco,108,0.0,,1,E
55,T45,T45,Bob Estes,91,0.0,,2,E
56,T45,T45,Brad Faxon,95,0.0,,1,E
57,T45,T45,David Frost,87,0.0,,1,E
58,T45,T45,Jimmy Green,94,0.0,,1,E
59,T45,T45,Greg Kraft,105,0.0,,1,E
60,T45,T45,Tom Lehman,82,0.0,,1,E
61,T45,T45,Davis Love III,75,0.0,,1,E
62,T45,T45,Andrew Magee,97,0.0,,1,E
63,T45,T45,Jeff Maggert,84,0.0,,1,E
64,T45,T45,Joe Ogilvie,110,0.0,,1,E
65,T45,T45,David Peoples,96,0.0,,1,E
66,T45,T45,Chris Perry,80,0.0,,1,E
67,T45,T45,John Riegger,86,0.0,,2,E
68,T45,T45,Scott Simpson,73,0.0,,1,E
69,T45,T45,Jeff Sluman,106,0.0,,2,E
70,T45,T45,Chris Tidland,83,0.0,,1,E
71,T45,T45,Ted Tryba,110,0.0,,1,E
72,T45,T45,Scott Verplank,99,0.0,,1,E
73,T45,T45,Mike Weir,86,0.0,,4,E
