,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Tim Herron,97,-1.000
1,2,2,Greg Chalmers,92,-.700
2,T3,T3,Jeremy Anderson,69,-.667
3,T3,T3,Mark Hensby,71,-.667
4,T3,T3,Tripp Isenhour,92,-.667
5,6,6,Carlos Franco,87,-.611
6,7,7,Kaname Yokoo,81,-.520
7,T8,T8,Robert Gamez,59,-.500
8,T8,T8,Kevin Johnson,93,-.500
9,T8,T8,Sean Murphy,70,-.500
10,11,11,Jerry Smith,95,-.440
11,12,12,Craig Parry,68,-.400
12,13,13,Joel Edwards,99,-.387
13,14,14,Robin Freeman,105,-.375
14,15,15,Jonathan Kaye,116,-.350
15,16,16,Russ Cochran,76,-.346
16,17,17,David Duval,78,-.342
17,T18,T18,Paul Azinger,79,-.333
18,T18,T18,John Daly,84,-.333
19,T18,T18,Lee Janzen,96,-.333
20,T21,T21,Bernhard Langer,62,-.323
21,T21,T21,Nick Price,74,-.323
22,T23,T23,Davis Love III,75,-.321
23,T23,T23,Jeff Maggert,84,-.321
24,25,25,Kevin Sutherland,101,-.320
25,26,26,John Riegger,86,-.314
26,27,27,Lee Porter,93,-.313
27,28,28,Steve Jones,75,-.300
28,T29,T29,Jimmy Green,94,-.294
29,T29,T29,Per-Ulrik Johansson,82,-.294
30,T29,T29,Len Mattiace,98,-.294
31,32,32,Cameron Beckman,103,-.290
32,33,33,Tom Lehman,82,-.289
33,34,34,Shigeki Maruyama,98,-.286
34,35,35,Bob Tway,109,-.282
35,36,36,Robert Allenby,108,-.279
36,37,37,David Toms,100,-.278
37,38,38,Brian Henninger,81,-.275
38,T39,T39,Bob May,86,-.273
39,T39,T39,Rocco Mediate,69,-.273
40,T39,T39,Steve Pate,89,-.273
41,42,42,Vijay Singh,98,-.271
42,T43,T43,Michael Clark II,87,-.267
43,T43,T43,Matt Gogel,83,-.267
44,45,45,Brian Gay,114,-.263
45,T46,T46,Olin Browne,99,-.259
46,T46,T46,John Cook,91,-.259
47,T46,T46,Bradley Hughes,96,-.259
48,T49,T49,David Frost,87,-.250
49,T49,T49,Paul Goydos,86,-.250
50,T49,T49,Cliff Kresge,84,-.250
51,T49,T49,Tommy Tolles,89,-.250
52,53,53,Grant Waite,78,-.240
53,54,54,Mathew Goggin,96,-.233
54,55,55,Dicky Pride,78,-.231
55,56,56,Jim Carter,103,-.229
56,57,57,Duffy Waldorf,77,-.222
57,58,58,Tommy Armour III,93,-.219
58,T59,T59,Fred Couples,68,-.217
59,T59,T59,Bill Glasson,69,-.217
60,T59,T59,Carl Paulson,93,-.217
61,T62,T62,Marco Dawson,57,-.214
