,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Robert Gamez,59,3.2,228.0,2
1,2,2,Dennis Paulson,75,3.6,384.0,3
2,3,3,Carlos Franco,87,3.8,2073.0,15
3,4,4,Sean Murphy,70,4.1,296.0,2
4,5,5,Ben Ferguson,76,4.2,458.0,3
5,6,6,Doug Dunakey,83,4.3,2302.0,15
6,T7,T7,Steve Elkington,64,4.4,3459.0,22
7,T7,T7,Craig Kanada,80,4.4,1737.0,11
8,T7,T7,Jeff Maggert,84,4.4,4484.0,28
9,T10,T10,Per-Ulrik Johansson,82,4.5,3427.0,21
10,T10,T10,Chris Smith,101,4.5,2124.0,13
11,12,12,Tom Scherrer,69,4.8,2743.0,16
12,T13,T13,Brad Elder,111,5.1,3323.0,18
13,T13,T13,Paul Goydos,86,5.1,3488.0,19
14,T13,T13,Steve Pate,89,5.1,1665.0,9
15,T13,T13,Carl Paulson,93,5.1,4909.0,27
16,T17,T17,Doug Barron,62,5.2,2643.0,14
17,T17,T17,Gabriel Hjertstedt,76,5.2,3197.0,17
18,T17,T17,Jerry Kelly,104,5.2,2978.0,16
19,T17,T17,Craig Parry,68,5.2,1678.0,9
20,T17,T17,Chris Perry,80,5.2,935.0,5
21,T17,T17,Loren Roberts,84,5.2,5392.0,29
22,T23,T23,Pete Jordan,105,5.3,4192.0,22
23,T23,T23,Nick Price,74,5.3,6346.0,33
24,T23,T23,Rory Sabbatini,73,5.3,7453.0,39
25,T23,T23,Mike Sposa,96,5.3,7229.0,38
26,T27,T27,Brandel Chamblee,77,5.4,1165.0,6
27,T27,T27,Tim Herron,97,5.4,195.0,1
28,T29,T29,Mark Brooks,88,5.5,4568.0,23
29,T29,T29,Tom Byrum,85,5.5,4151.0,21
30,T29,T29,Fred Couples,68,5.5,3951.0,20
31,T29,T29,J.L. Lewis,108,5.5,6581.0,33
32,T29,T29,Grant Waite,78,5.5,5345.0,27
33,34,34,Frank Nobilo,91,5.6,5288.0,26
34,35,35,Kenny Perry,94,5.7,10954.0,53
35,T36,T36,David Duval,78,5.8,7696.0,37
36,T36,T36,Harrison Frazar,88,5.8,3946.0,19
37,T36,T36,Larry Mize,76,5.8,5655.0,27
38,T36,T36,Duffy Waldorf,77,5.8,1675.0,8
39,T40,T40,Jay Don Blake,100,5.9,9723.0,46
40,T40,T40,Olin Browne,99,5.9,6210.0,29
41,T40,T40,Cliff Kresge,84,5.9,1479.0,7
42,T40,T40,Blaine McCallister,80,5.9,8063.0,38
43,T40,T40,Rocky Walcher,59,5.9,3796.0,18
44,T40,T40,Kaname Yokoo,81,5.9,5090.0,24
45,T46,T46,Jim Carter,103,6.0,7558.0,35
46,T46,T46,Russ Cochran,76,6.0,6735.0,31
47,T46,T46,Robert Damron,91,6.0,6084.0,28
48,T46,T46,Brian Gay,114,6.0,4092.0,19
49,T46,T46,Steve Lowery,100,6.0,12408.0,57
50,T46,T46,Mark O'Meara,69,6.0,4942.0,23
51,T46,T46,Corey Pavin,72,6.0,2590.0,12
