,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Tom Lehman,82,74.53,1033,1386,-0.28
1,2,2,Charles Howell III,89,73.46,1124,1530,-0.27
2,3,3,John Cook,91,72.92,1155,1584,-0.27
3,4,4,Joe Durant,80,72.08,1012,1404,-0.26
4,T5,T5,Bob Tway,109,71.91,1372,1908,-0.27
5,T5,T5,Tiger Woods,76,71.91,932,1296,-0.32
6,7,7,David Toms,100,71.86,1203,1674,-0.31
7,8,8,Kenny Perry,94,71.41,1144,1602,-0.3
8,9,9,Hal Sutton,96,71.11,1216,1710,-0.25
9,10,10,Donnie Hammond,51,71.02,652,918,-0.25
10,11,11,Glen Hnatiuk,104,71.01,1291,1818,-0.24
11,12,12,Rocco Mediate,69,71.0,869,1224,-0.29
12,13,13,J.J. Henry,86,70.7,1069,1512,-0.24
13,14,14,Scott Verplank,99,70.67,1183,1674,-0.29
14,15,15,Chris DiMarco,108,70.59,1258,1782,-0.31
15,16,16,Chris Smith,101,70.58,1245,1764,-0.28
16,17,17,Jim Furyk,88,70.54,1092,1548,-0.29
17,18,18,John Huston,64,70.4,735,1044,-0.26
18,19,19,Kirk Triplett,88,70.35,1051,1494,-0.27
19,20,20,Davis Love III,75,70.34,899,1278,-0.32
20,21,21,Tim Herron,97,70.33,1152,1638,-0.25
21,22,22,Jeff Sluman,106,70.25,1315,1872,-0.31
22,23,23,Kevin Sutherland,101,70.21,1188,1692,-0.29
23,24,24,Fred Couples,68,70.2,834,1188,-0.29
24,25,25,Scott McCarron,98,69.98,1184,1692,-0.32
25,26,26,Phil Mickelson,85,69.91,969,1386,-0.35
26,T27,T27,Briny Baird,106,69.85,1295,1854,-0.26
27,T27,T27,Billy Mayfair,102,69.85,1207,1728,-0.29
28,29,29,Stewart Cink,102,69.77,1168,1674,-0.27
29,30,30,Vijay Singh,98,69.51,1101,1584,-0.33
30,31,31,Jerry Kelly,104,69.36,1236,1782,-0.28
31,32,32,David Peoples,96,69.35,1161,1674,-0.25
32,33,33,Robert Allenby,108,69.28,1272,1836,-0.27
33,34,34,Paul Azinger,79,69.2,984,1422,-0.28
34,35,35,Joel Edwards,99,69.14,1232,1782,-0.27
35,36,36,Stephen Ames,88,69.11,1045,1512,-0.27
