,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Grégory Havret,2,405000,810000
1,2,2,Lee Westwood,11,309086,3399954
2,3,3,Louis Oosthuizen,5,261118,1305593
3,4,4,Jim Furyk,21,229029,4809622
4,5,5,Ernie Els,20,227943,4558861
5,6,6,Steve Stricker,19,220538,4190235
6,7,7,Paul Casey,17,212540,3613193
7,8,8,Dustin Johnson,23,194483,4473121
8,9,9,Phil Mickelson,20,191086,3821733
9,10,10,Matt Kuchar,26,188864,4910476
10,11,11,Robert Rock,1,186239,186239
11,12,12,Anthony Kim,14,183922,2574921
12,13,13,Luke Donald,20,183261,3665234
13,14,14,Martin Kaymer,10,176279,1762793
14,15,15,Retief Goosen,19,169373,3218088
15,16,16,Justin Rose,22,163787,3603331
16,17,17,Rory McIlroy,16,159642,2554279
17,18,18,Graeme McDowell,10,158933,1589336
18,19,19,Camilo Villegas,20,151776,3035522
19,20,20,Tim Clark,24,147083,3530002
20,21,21,Bubba Watson,22,145409,3198998
21,22,22,Hunter Mahan,25,142981,3574549
22,23,23,Ian Poulter,15,138644,2079663
23,24,24,Robert Allenby,22,135227,2974997
24,25,25,Jeff Overton,26,132936,3456355
25,26,26,Geoff Ogilvy,19,125949,2393045
26,27,27,Adam Scott,20,124470,2489401
27,28,28,Jason Day,24,121013,2904326
28,29,29,Bo Van Pelt,28,119152,3336257
29,30,30,Ben Crane,24,118395,2841500
30,31,31,Bob Heintz,3,118349,355047
31,32,32,Zach Johnson,25,116679,2916993
32,33,33,Bill Haas,25,116205,2905136
33,34,34,Arjun Atwal,13,115934,1507142
34,35,35,Ryan Palmer,27,110566,2985296
35,36,36,Tiger Woods,12,107897,1294764
36,37,37,Charley Hoffman,24,106651,2559645
37,38,38,Nick Watney,24,105696,2536713
38,39,39,Corey Pavin,8,104899,839193
39,40,40,Rickie Fowler,28,102039,2857108
40,41,41,K.J. Choi,22,99998,2199961
41,42,42,Ryan Moore,24,98950,2374823
42,43,43,Heath Slocum,25,95507,2387686
43,44,44,J.B. Holmes,26,91778,2386247
44,45,45,Ignacio Garrido,1,87839,87839
45,46,46,Martin Laird,26,82227,2137927
46,47,47,Edoardo Molinari,8,79564,636518
47,48,48,Kevin Na,26,77762,2021814
48,49,49,Robert Karlsson,11,77560,853169
49,50,50,Padraig Harrington,18,76747,1381452
50,51,51,Jason Bohn,25,76190,1904762
51,52,52,Scott Verplank,22,75145,1653190
52,53,53,Stephen Gallacher,2,74622,149245
53,54,54,Sean O'Hair,25,74361,1859039
54,55,55,Robert Garrigus,22,71967,1583275
55,56,56,Vaughn Taylor,26,70725,1838861
56,57,57,Freddie Jacobson,24,69427,1666252
57,58,58,Stewart Cink,23,68418,1573635
58,59,59,Brendon de Jonge,32,67749,2167978
59,60,60,Michael Sim,20,66946,1338926
60,61,61,Carl Pettersson,29,66705,1934464
61,62,62,Ángel Cabrera,19,66654,1266439
62,63,63,Lucas Glover,23,65707,1511275
63,64,64,Ricky Barnes,28,65542,1835195
64,65,65,David Toms,25,63639,1590997
65,66,66,Stuart Appleby,31,63413,1965824
66,67,67,Sergio Garcia,15,62456,936845
67,68,68,Y.E. Yang,21,61986,1301726
68,69,69,Brandt Snedeker,26,61641,1602689
69,70,70,Steve Marino,24,61634,1479239
