,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Grégory Havret,2,30.5,"$810,000","$2,655,593"
1,2,2,Lee Westwood,11,25.2,"$3,564,954","$14,145,593"
2,3,3,Louis Oosthuizen,5,21.19,"$1,431,426","$6,755,593"
3,4,4,Jim Furyk,21,18.34,"$4,809,622","$26,223,593"
4,5,5,Ernie Els,20,18.18,"$4,558,861","$25,071,593"
5,6,6,Steve Stricker,19,18.02,"$4,190,235","$23,257,593"
6,7,7,Martin Kaymer,10,17.6,"$2,356,459","$13,389,593"
7,8,8,Paul Casey,17,16.53,"$3,613,193","$21,853,593"
8,9,9,Matt Kuchar,26,15.75,"$4,910,476","$31,177,593"
9,10,10,Dustin Johnson,23,15.65,"$4,473,121","$28,585,593"
10,11,11,Alistair Presnell,1,15.31,"$214,300","$1,400,000"
11,12,12,Phil Mickelson,20,15.25,"$3,821,733","$25,057,593"
12,13,13,Anthony Kim,14,14.87,"$2,574,921","$17,322,000"
13,14,14,Luke Donald,20,14.76,"$3,665,234","$24,837,593"
14,15,15,Bob Heintz,3,14.61,"$355,047","$2,430,000"
15,16,16,Robert Rock,1,14.26,"$186,239","$1,305,593"
16,17,17,Justin Rose,22,13.92,"$3,603,331","$25,889,593"
17,18,18,Retief Goosen,19,13.85,"$3,218,088","$23,239,593"
18,19,19,Graeme McDowell,10,13.84,"$1,848,636","$13,353,593"
19,20,20,Bubba Watson,22,12.49,"$3,198,998","$25,619,593"
20,21,21,Rory McIlroy,16,12.38,"$2,554,279","$20,625,593"
21,22,22,Tim Clark,24,12.28,"$3,530,002","$28,743,593"
22,23,23,Camilo Villegas,20,12.12,"$3,035,522","$25,035,593"
23,24,24,Charl Schwartzel,11,11.88,"$1,710,845","$14,397,593"
24,25,25,Hunter Mahan,25,11.76,"$3,574,549","$30,399,593"
25,26,26,Arjun Atwal,13,11.61,"$1,507,142","$12,978,000"
26,27,27,Jeff Overton,26,11.53,"$3,456,355","$29,975,593"
27,28,28,Robert Allenby,22,11.31,"$2,974,997","$26,299,593"
28,29,29,Ian Poulter,15,10.67,"$2,079,663","$19,491,593"
29,30,30,Jason Day,24,10.36,"$2,904,326","$28,031,593"
30,31,31,Bo Van Pelt,28,10.33,"$3,336,257","$32,283,593"
31,32,32,Bill Haas,25,10.27,"$2,905,136","$28,297,593"
32,33,33,Ryan Palmer,27,9.89,"$2,985,296","$30,196,000"
33,34,34,Geoff Ogilvy,19,9.87,"$2,393,045","$24,247,593"
34,T35,T35,Charley Hoffman,24,9.81,"$2,559,645","$26,100,000"
35,T35,T35,Adam Scott,20,9.81,"$2,489,401","$25,377,593"
36,37,37,Zach Johnson,25,9.75,"$2,916,993","$29,917,593"
37,38,38,Ben Crane,24,9.63,"$2,841,500","$29,517,593"
38,39,39,Corey Pavin,8,9.38,"$839,193","$8,946,000"
39,40,40,Rickie Fowler,28,9.16,"$2,857,108","$31,181,593"
40,41,41,Nick Watney,24,8.63,"$2,536,713","$29,395,593"
41,42,42,K.J. Choi,22,8.48,"$2,199,961","$25,943,593"
42,43,43,Heath Slocum,25,8.37,"$2,387,686","$28,535,593"
43,44,44,Ryan Moore,24,8.19,"$2,374,823","$29,003,593"
44,45,45,Tiger Woods,12,8.15,"$1,294,764","$15,881,593"
45,46,46,J.B. Holmes,26,8.01,"$2,386,247","$29,791,593"
46,47,47,Robert Garrigus,22,7.85,"$1,583,275","$20,178,000"
47,48,48,Chris Kirk,1,7.57,"$54,480","$720,000"
48,49,49,Edoardo Molinari,8,7.24,"$770,018","$10,635,593"
49,50,50,Robert Karlsson,11,7.22,"$1,030,919","$14,271,593"
50,51,51,Martin Laird,26,7.13,"$2,137,927","$29,997,593"
51,52,52,Jason Bohn,25,6.89,"$1,904,762","$27,635,593"
52,53,53,Ignacio Garrido,1,6.73,"$87,839","$1,305,593"
53,54,54,Vaughn Taylor,26,6.7,"$1,838,861","$27,432,000"
54,55,55,Kevin Na,26,6.61,"$2,021,814","$30,565,593"
55,56,56,WC Liang,4,6.54,"$315,435","$4,820,000"
56,57,57,Carl Pettersson,29,6.49,"$1,934,464","$29,790,000"
57,58,58,Brendon de Jonge,32,6.47,"$2,167,978","$33,516,000"
58,59,59,Freddie Jacobson,24,6.42,"$1,666,252","$25,956,000"
59,60,60,Sean O'Hair,25,6.25,"$1,859,039","$29,737,593"
60,61,61,Padraig Harrington,18,6.14,"$1,381,452","$22,515,593"
61,62,62,Scott Verplank,22,6.1,"$1,653,190","$27,105,593"
62,63,63,Stuart Appleby,31,5.94,"$1,965,824","$33,116,000"
63,64,64,Michael Sim,20,5.84,"$1,338,926","$22,915,593"
64,65,65,Jonathan Byrd,26,5.81,"$1,534,981","$26,442,000"
65,66,66,Todd Fischer,1,5.78,"$31,200","$540,000"
66,67,67,Ricky Barnes,28,5.76,"$1,835,195","$31,833,593"
67,68,68,Stephen Gallacher,2,5.62,"$149,245","$2,655,593"
68,69,69,David Toms,25,5.61,"$1,590,997","$28,360,000"
69,T70,T70,Stewart Cink,23,5.6,"$1,573,635","$28,117,593"
70,T70,T70,D.J. Trahan,27,5.6,"$1,619,693","$28,944,000"
71,72,72,Lucas Glover,23,5.54,"$1,511,275","$27,271,593"
72,73,73,Brandt Snedeker,26,5.45,"$1,602,689","$29,430,000"
73,74,74,Charlie Wi,27,5.39,"$1,568,492","$29,124,000"
74,75,75,Steve Marino,24,5.38,"$1,479,239","$27,491,593"
75,76,76,Dean Wilson,18,5.32,"$832,640","$15,660,000"
76,T77,T77,Ángel Cabrera,19,5.28,"$1,266,439","$23,995,593"
77,T77,T77,Rory Sabbatini,26,5.28,"$1,546,808","$29,304,000"
78,79,79,Fred Couples,7,5.21,"$397,406","$7,632,000"
79,80,80,Charles Howell III,28,5.18,"$1,482,211","$28,638,000"
80,81,81,Peter Hanson,7,5.16,"$479,574","$9,285,593"
81,82,82,Ken Duke,5,5.11,"$220,777","$4,320,000"
82,83,83,Francesco Molinari,8,5.05,"$568,696","$11,265,593"
83,84,84,Bryce Molder,26,5.04,"$1,428,438","$28,350,000"
84,85,85,Marc Leishman,26,5.02,"$1,488,837","$29,669,593"
85,86,86,Sergio Garcia,15,5.01,"$936,845","$18,717,593"
86,87,87,Y.E. Yang,21,4.97,"$1,301,726","$26,191,593"
87,88,88,Kevin Streelman,28,4.94,"$1,472,349","$29,826,000"
88,89,89,John Ellis,1,4.89,"$44,000","$900,000"
89,90,90,Shaun Micheel,21,4.86,"$1,025,500","$21,114,000"
90,91,91,Brian Davis,32,4.81,"$1,640,515","$34,110,000"
91,92,92,Rocco Mediate,25,4.66,"$1,138,067","$24,444,000"
92,T93,T93,Cameron Beckman,25,4.58,"$1,158,485","$25,272,000"
93,T93,T93,Davis Love III,24,4.58,"$1,214,471","$26,523,593"
94,95,95,Vijay Singh,24,4.55,"$1,334,262","$29,301,593"
95,96,96,Joe Durant,19,4.53,"$788,754","$17,424,000"
96,97,97,Brian Gay,30,4.5,"$1,521,662","$33,845,593"
97,98,98,Alvaro Quiros,9,4.45,"$549,764","$12,345,593"
98,99,99,Steve Elkington,22,4.41,"$955,083","$21,672,000"
99,100,100,Alex Prugh,28,4.39,"$1,272,606","$29,016,000"
100,101,101,Andres Romero,21,4.28,"$979,169","$22,878,000"
101,102,102,John Rollins,26,4.27,"$1,182,735","$27,724,000"
102,103,103,Paul Stankowski,18,4.26,"$666,590","$15,642,000"
103,104,104,Tom Gillis,27,4.25,"$1,166,146","$27,468,000"
104,105,105,Chris Riley,24,4.22,"$1,001,581","$23,760,000"
105,106,106,Matt Jones,27,4.21,"$1,215,743","$28,908,000"
106,107,107,Jhonattan Vegas,1,4.2,"$26,483","$630,000"
107,108,108,Michael Allen,17,4.18,"$726,630","$17,370,000"
108,109,109,Paul Goydos,25,4.07,"$1,121,250","$27,567,593"
109,110,110,Kenny Perry,20,3.98,"$968,810","$24,355,593"
110,111,111,Jason Dufner,25,3.93,"$1,121,695","$28,553,593"
111,112,112,Miguel Angel Jiménez,7,3.89,"$371,249","$9,555,593"
112,113,113,Spencer Levin,31,3.88,"$1,199,671","$30,924,000"
113,T114,T114,John Senden,30,3.85,"$1,274,057","$33,053,593"
114,T114,T114,Henrik Stenson,15,3.85,"$683,070","$17,727,593"
115,116,116,David Duval,24,3.79,"$919,584","$24,237,593"
116,T117,T117,Thongchai Jaidee,8,3.78,"$414,185","$10,945,593"
117,T117,T117,Bill Lunde,28,3.78,"$1,075,874","$28,458,000"
118,T117,T117,Oliver Wilson,9,3.78,"$464,471","$12,273,593"
119,120,120,Tom Watson,3,3.73,"$149,371","$4,005,593"
120,121,121,Kris Blanks,30,3.69,"$1,109,178","$30,060,000"
121,T122,T122,Bradley Dredge,1,3.68,"$47,999","$1,305,593"
122,T122,T122,Jerry Kelly,29,3.68,"$1,136,897","$30,879,593"
123,T122,T122,Marcel Siem,1,3.68,"$47,999","$1,305,593"
124,125,125,J.J. Henry,27,3.66,"$1,035,688","$28,260,000"
125,126,126,Garrett Willis,24,3.63,"$871,762","$23,994,000"
126,T127,T127,Blake Adams,26,3.61,"$963,592","$26,694,000"
127,T127,T127,Tom Lehman,9,3.61,"$356,784","$9,873,593"
128,T129,T129,Chris Couch,23,3.59,"$888,146","$24,768,000"
129,T129,T129,Graham DeLaet,28,3.59,"$954,011","$26,568,000"
130,T129,T129,Aron Price,22,3.59,"$713,736","$19,890,000"
131,132,132,Michael Connell,25,3.58,"$846,459","$23,652,000"
132,133,133,Stephen Ames,23,3.55,"$916,527","$25,830,000"
133,134,134,Ryuji Imada,28,3.54,"$1,028,868","$29,070,000"
134,135,135,Chris Stroud,27,3.51,"$942,082","$26,874,000"
135,T136,T136,Greg Chalmers,27,3.41,"$989,414","$28,998,000"
136,T136,T136,Brett Wetterich,16,3.41,"$510,672","$14,958,000"
137,138,138,J.P. Hayes,25,3.35,"$862,522","$25,758,000"
138,139,139,Kevin Stadler,28,3.33,"$931,720","$28,008,000"
139,T140,T140,Derek Lamely,28,3.31,"$972,961","$29,376,000"
140,T140,T140,Justin Leonard,27,3.31,"$1,026,445","$31,033,593"
141,142,142,Pat Perez,27,3.3,"$947,587","$28,750,000"
142,143,143,Josh Teater,31,3.28,"$1,005,322","$30,636,000"
143,144,144,Jimmy Walker,27,3.26,"$937,986","$28,800,000"
144,145,145,Chad Campbell,28,3.24,"$971,153","$29,998,000"
145,T146,T146,Aaron Baddeley,26,3.21,"$879,317","$27,396,000"
146,T146,T146,Nick O'Hern,11,3.21,"$398,633","$12,420,000"
147,148,148,Alex Cejka,28,3.18,"$904,253","$28,404,000"
148,T149,T149,Ross McGowan,6,3.17,"$259,722","$8,205,593"
149,T149,T149,D.A. Points,29,3.17,"$975,433","$30,807,593"
150,151,151,Tom Pernice Jr.,22,3.15,"$662,729","$21,015,593"
151,152,152,Marcus Fraser,1,3.14,"$44,000","$1,400,000"
152,153,153,Kevin Sutherland,25,3.1,"$818,681","$26,424,000"
153,154,154,Boo Weekley,27,3.08,"$872,729","$28,328,000"
154,155,155,David Horsey,2,3.07,"$84,450","$2,750,000"
155,156,156,Chad Collins,26,3.06,"$815,961","$26,658,000"
156,157,157,Roland Thatcher,26,3.05,"$796,157","$26,064,000"
157,158,158,Webb Simpson,31,3.04,"$972,961","$31,986,000"
158,T159,T159,Ben Curtis,24,3.02,"$812,136","$26,915,593"
159,T159,T159,Brandt Jobe,1,3.02,"$35,316","$1,170,000"
160,T159,T159,James Kingston,1,3.02,"$42,250","$1,400,000"
161,162,162,Tim Petrovic,32,3.01,"$1,028,959","$34,155,593"
162,163,163,Charles Warren,21,2.99,"$574,615","$19,188,000"
163,164,164,Jeff Maggert,28,2.92,"$801,578","$27,432,000"
164,165,165,Hennie Otto,1,2.91,"$40,750","$1,400,000"
165,T166,T166,Kirk Triplett,11,2.88,"$258,872","$9,000,000"
166,T166,T166,Mark Wilson,28,2.88,"$789,681","$27,418,000"
167,168,168,Simon Dyson,8,2.87,"$304,320","$10,599,593"
168,169,169,Alejandro Cañizares,2,2.86,"$55,955","$1,953,593"
169,170,170,Johnson Wagner,28,2.85,"$753,802","$26,406,000"
170,171,171,Troy Merritt,29,2.75,"$786,976","$28,638,000"
171,172,172,Tag Ridings,1,2.74,"$28,594","$1,044,000"
172,173,173,Ryo Ishikawa,10,2.7,"$336,429","$12,475,593"
173,174,174,Briny Baird,28,2.69,"$753,577","$28,008,000"
174,175,175,Søren Kjeldsen,7,2.68,"$246,989","$9,199,593"
175,176,176,Matt Bettencourt,32,2.66,"$855,900","$32,130,000"
176,T177,T177,Bob Estes,26,2.65,"$701,158","$26,478,000"
177,T177,T177,Matt Every,18,2.65,"$456,847","$17,208,000"
178,T179,T179,Billy Mayfair,26,2.63,"$642,230","$24,408,000"
179,T179,T179,Chris Tidland,24,2.63,"$588,290","$22,410,000"
