,Career_Earnings_RANK THIS WEEK,Career_Earnings_RANK LAST WEEK,Career_Earnings_PLAYER NAME,Career_Earnings_MONEY
0,1,1,Tiger Woods,94157304
1,2,2,Vijay Singh,63320389
2,3,3,Phil Mickelson,59677389
3,4,4,Jim Furyk,47565963
4,5,5,Ernie Els,40369419
5,6,6,Davis Love III,40162423
6,7,7,David Toms,33349260
7,8,8,Kenny Perry,31610815
8,9,9,Justin Leonard,30368282
9,10,10,Stewart Cink,29450660
10,11,11,Steve Stricker,27666756
11,12,12,Mike Weir,26798637
12,13,13,Sergio Garcia,26548368
13,14,14,Scott Verplank,26175596
14,15,15,Retief Goosen,26158108
15,16,16,Stuart Appleby,25723147
16,17,17,Robert Allenby,24147327
17,18,18,Mark Calcavecchia,23988554
18,19,19,Geoff Ogilvy,22565940
19,20,20,K.J. Choi,21970107
20,21,21,Rory Sabbatini,21915363
21,22,22,Jerry Kelly,21747664
22,23,23,Fred Couples,21716857
23,24,24,Adam Scott,21642100
24,25,25,Tom Lehman,21250748
25,26,26,Chris DiMarco,21244288
26,27,27,Fred Funk,21040578
27,28,28,Nick Price,20563108
28,29,29,Charles Howell III,19954780
29,30,30,Zach Johnson,19892643
30,31,31,Padraig Harrington,19296702
31,32,32,Chad Campbell,19281995
32,33,33,Bob Estes,19006588
33,34,34,Billy Mayfair,18687696
34,35,35,Luke Donald,18665195
35,36,36,Stephen Ames,18639142
36,37,37,Scott Hoch,18530156
37,38,38,David Duval,18412583
38,39,39,Jeff Sluman,18165266
39,40,40,Brad Faxon,17769249
40,41,41,Steve Flesch,17435728
41,42,42,Tim Clark,17403497
42,43,43,Jeff Maggert,17198256
43,44,44,Tim Herron,16696726
44,45,45,Rocco Mediate,16413964
45,46,46,Corey Pavin,15919874
46,47,47,Bob Tway,15785815
47,48,48,Lee Janzen,15432129
48,49,49,Steve Elkington,15329193
49,50,50,Hal Sutton,15267685
50,51,51,Jesper Parnevik,15217062
51,52,52,Woody Austin,15214220
52,53,53,Loren Roberts,15154767
53,54,54,Kevin Sutherland,15122494
54,55,55,Steve Lowery,15091220
55,56,56,John Huston,14967146
56,57,57,Greg Norman,14484458
57,58,58,Paul Azinger,14467496
58,59,59,Jay Haas,14440317
59,60,60,Hunter Mahan,14200160
60,61,61,Mark O'Meara,14151565
61,62,62,Tom Pernice Jr.,14065707
62,63,63,Carl Pettersson,14061144
63,64,64,Sean O'Hair,14059485
64,65,65,Kirk Triplett,13978435
65,66,66,Heath Slocum,13839346
66,67,67,John Rollins,13784514
67,68,68,Brian Gay,13645798
68,69,69,Shigeki Maruyama,13631795
69,70,70,Ben Crane,13598867
70,71,71,Justin Rose,13439267
71,72,72,Camilo Villegas,13126501
72,73,73,Lucas Glover,13084546
73,74,74,Joe Durant,12993668
74,75,75,Matt Kuchar,12662234
75,76,76,Dudley Hart,12566495
76,77,77,Bo Van Pelt,12503982
77,78,78,John Cook,12433599
78,79,79,Billy Andrade,12380805
79,80,80,Rod Pampling,12310650
80,81,81,José María Olazábal,12242223
81,82,82,Scott McCarron,12175523
82,83,83,Jonathan Byrd,11929628
83,84,84,Payne Stewart,11737008
84,85,85,Duffy Waldorf,11638275
85,86,86,Briny Baird,11538466
86,87,87,Frank Lickliter II,11536956
87,88,88,Paul Goydos,11296111
88,89,89,Joey Sindelar,11196462
89,90,90,John Senden,11132675
90,91,91,Anthony Kim,11086603
91,92,92,Tom Kite,11041042
92,93,93,Aaron Baddeley,11003465
93,94,94,Brett Quigley,10959750
94,95,95,Chris Riley,10918678
95,96,96,Tom Watson,10886273
96,97,97,Pat Perez,10833468
97,98,98,Tim Petrovic,10651015
98,99,99,J.J. Henry,10620735
99,100,100,Jonathan Kaye,10574101
100,101,101,Nick Watney,10397377
101,102,102,Vaughn Taylor,10171871
