,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
92,T93,T93,Cameron Beckman,25,0.83,"$1,158,484","$140,400,000"
93,T93,T93,Davis Love III,24,0.83,"$1,214,471","$147,100,000"
94,T95,T95,Joe Durant,19,0.81,"$788,754","$96,800,000"
95,T95,T95,Brian Gay,30,0.81,"$1,521,660","$188,600,000"
96,T95,T95,Vijay Singh,24,0.81,"$1,334,259","$164,700,000"
97,T98,T98,Steve Elkington,22,0.79,"$955,081","$120,400,000"
98,T98,T98,Alex Prugh,28,0.79,"$1,272,604","$161,200,000"
99,100,100,Alvaro Quiros,9,0.78,"$549,764","$70,500,000"
100,T101,T101,John Rollins,26,0.77,"$1,182,735","$153,400,000"
101,T101,T101,Andres Romero,21,0.77,"$979,168","$127,100,000"
102,T101,T101,Paul Stankowski,18,0.77,"$666,589","$86,900,000"
103,T104,T104,Tom Gillis,27,0.76,"$1,166,144","$152,600,000"
104,T104,T104,Matt Jones,27,0.76,"$1,215,740","$160,600,000"
105,T104,T104,Chris Riley,24,0.76,"$1,001,580","$132,000,000"
106,T104,T104,Jhonattan Vegas,1,0.76,"$26,483","$3,500,000"
107,108,108,Michael Allen,17,0.75,"$726,629","$96,500,000"
108,109,109,Paul Goydos,25,0.73,"$1,121,249","$152,900,000"
109,T110,T110,Jason Dufner,25,0.71,"$1,121,693","$159,100,000"
110,T110,T110,Kenny Perry,20,0.71,"$968,810","$136,600,000"
111,112,112,Spencer Levin,31,0.7,"$1,199,669","$171,800,000"
112,T113,T113,Bradley Dredge,1,0.69,"$47,999","$7,000,000"
113,T113,T113,John Senden,30,0.69,"$1,274,054","$184,100,000"
114,T113,T113,Marcel Siem,1,0.69,"$47,999","$7,000,000"
115,T116,T116,David Duval,24,0.68,"$919,583","$134,400,000"
116,T116,T116,Bill Lunde,28,0.68,"$1,075,873","$158,100,000"
117,T116,T116,Henrik Stenson,15,0.68,"$683,069","$100,400,000"
118,T116,T116,Tom Watson,3,0.68,"$149,371","$22,000,000"
119,T120,T120,Thongchai Jaidee,8,0.67,"$414,185","$62,000,000"
120,T120,T120,Miguel Angel Jiménez,7,0.67,"$371,249","$55,000,000"
121,T122,T122,Kris Blanks,30,0.66,"$1,109,176","$167,000,000"
122,T122,T122,J.J. Henry,27,0.66,"$1,035,685","$157,000,000"
123,T122,T122,Jerry Kelly,29,0.66,"$1,136,896","$171,400,000"
124,T122,T122,Oliver Wilson,9,0.66,"$464,471","$70,100,000"
125,T126,T126,Blake Adams,26,0.65,"$963,591","$148,300,000"
126,T126,T126,Chris Couch,23,0.65,"$888,145","$137,600,000"
127,T126,T126,Graham DeLaet,28,0.65,"$954,009","$147,600,000"
128,T126,T126,Tom Lehman,9,0.65,"$356,784","$54,600,000"
129,T126,T126,Aron Price,22,0.65,"$713,735","$110,500,000"
130,T126,T126,Garrett Willis,24,0.65,"$871,761","$133,300,000"
131,T132,T132,Stephen Ames,23,0.64,"$916,526","$143,600,000"
132,T132,T132,Michael Connell,25,0.64,"$846,458","$131,400,000"
133,T132,T132,Ryuji Imada,28,0.64,"$1,028,867","$161,500,000"
134,135,135,Chris Stroud,27,0.63,"$942,081","$149,300,000"
135,T136,T136,Greg Chalmers,27,0.61,"$989,413","$161,100,000"
136,T136,T136,Brett Wetterich,16,0.61,"$510,671","$83,100,000"
137,T138,T138,J.P. Hayes,25,0.6,"$862,521","$143,100,000"
138,T138,T138,Derek Lamely,28,0.6,"$972,959","$163,200,000"
139,T138,T138,Pat Perez,27,0.6,"$947,585","$159,100,000"
140,T138,T138,Kevin Stadler,28,0.6,"$931,720","$155,600,000"
141,T142,T142,Justin Leonard,27,0.59,"$1,026,442","$173,600,000"
142,T142,T142,Josh Teater,31,0.59,"$1,005,321","$170,200,000"
143,T142,T142,Jimmy Walker,27,0.59,"$937,985","$160,000,000"
144,T145,T145,Aaron Baddeley,26,0.58,"$879,314","$152,200,000"
145,T145,T145,Chad Campbell,28,0.58,"$971,150","$168,100,000"
146,T145,T145,Nick O'Hern,11,0.58,"$398,631","$69,000,000"
147,T148,T148,Alex Cejka,28,0.57,"$904,252","$157,800,000"
148,T148,T148,Tom Pernice Jr.,22,0.57,"$662,728","$116,500,000"
149,T148,T148,D.A. Points,29,0.57,"$975,433","$170,900,000"
150,151,151,Kevin Sutherland,25,0.56,"$818,679","$146,800,000"
151,T152,T152,Chad Collins,26,0.55,"$815,959","$148,100,000"
152,T152,T152,Ross McGowan,6,0.55,"$259,722","$47,500,000"
153,T152,T152,Webb Simpson,31,0.55,"$972,960","$177,700,000"
154,T152,T152,Roland Thatcher,26,0.55,"$796,155","$144,800,000"
155,T152,T152,Boo Weekley,27,0.55,"$872,726","$158,100,000"
156,T157,T157,Ben Curtis,24,0.54,"$812,135","$150,000,000"
157,T157,T157,Brandt Jobe,1,0.54,"$35,316","$6,500,000"
158,T157,T157,Tim Petrovic,32,0.54,"$1,028,958","$189,500,000"
159,T157,T157,Charles Warren,21,0.54,"$574,613","$106,600,000"
160,T161,T161,Alejandro Cañizares,2,0.53,"$55,955","$10,600,000"
161,T161,T161,David Horsey,2,0.53,"$84,450","$16,000,000"
162,T161,T161,Jeff Maggert,28,0.53,"$801,578","$152,400,000"
163,T164,T164,Marcus Fraser,1,0.52,"$44,000","$8,500,000"
164,T164,T164,Kirk Triplett,11,0.52,"$258,872","$50,000,000"
165,T164,T164,Mark Wilson,28,0.52,"$789,679","$151,700,000"
166,167,167,Johnson Wagner,28,0.51,"$753,802","$146,700,000"
167,T168,T168,Simon Dyson,8,0.5,"$304,320","$60,800,000"
168,T168,T168,James Kingston,1,0.5,"$42,250","$8,500,000"
169,T170,T170,Troy Merritt,29,0.49,"$786,975","$159,100,000"
170,T170,T170,Tag Ridings,1,0.49,"$28,594","$5,800,000"
171,T172,T172,Briny Baird,28,0.48,"$753,575","$155,600,000"
172,T172,T172,Matt Bettencourt,32,0.48,"$855,899","$178,500,000"
173,T172,T172,Bob Estes,26,0.48,"$701,158","$147,100,000"
174,T172,T172,Matt Every,18,0.48,"$456,846","$95,600,000"
175,T172,T172,Ryo Ishikawa,10,0.48,"$336,429","$70,500,000"
176,T172,T172,Colm Moriarty,1,0.48,"$33,791","$7,000,000"
177,T172,T172,Hennie Otto,1,0.48,"$40,750","$8,500,000"
178,T179,T179,Søren Kjeldsen,7,0.47,"$246,988","$52,300,000"
179,T179,T179,Jarrod Lyle,18,0.47,"$422,759","$90,600,000"
180,T179,T179,Billy Mayfair,26,0.47,"$642,230","$135,600,000"
181,T179,T179,Cameron Percy,25,0.47,"$620,261","$131,200,000"
182,T179,T179,Chris Tidland,24,0.47,"$588,289","$124,500,000"
183,T184,T184,Woody Austin,29,0.46,"$727,351","$158,000,000"
184,T184,T184,Richard Johnson,27,0.46,"$678,514","$146,900,000"
185,T184,T184,Will MacKenzie,23,0.46,"$557,503","$121,600,000"
186,187,187,Michael Putnam,1,0.45,"$23,850","$5,300,000"
