,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Matt Kuchar,26,4910477,1.0
1,2,2,Jim Furyk,21,4809622,3.0
2,3,3,Ernie Els,20,4558861,2.0
3,4,4,Dustin Johnson,23,4473122,2.0
4,5,5,Steve Stricker,19,4190235,2.0
5,6,6,Phil Mickelson,20,3821733,1.0
6,7,7,Luke Donald,20,3665234,
7,8,8,Paul Casey,17,3613194,
8,9,9,Justin Rose,22,3603331,2.0
9,10,10,Hunter Mahan,25,3574550,2.0
10,11,11,Tim Clark,24,3530002,1.0
11,12,12,Jeff Overton,26,3456356,
12,13,13,Bo Van Pelt,28,3336258,
13,14,14,Retief Goosen,19,3218089,
14,15,15,Bubba Watson,22,3198998,1.0
15,16,16,Camilo Villegas,20,3035523,1.0
16,17,17,Ryan Palmer,27,2985296,1.0
17,18,18,Robert Allenby,22,2974997,
18,19,19,Zach Johnson,25,2916993,1.0
19,20,20,Bill Haas,25,2905136,2.0
20,21,21,Jason Day,24,2904327,1.0
21,22,22,Rickie Fowler,28,2857108,
22,23,23,Ben Crane,24,2841500,1.0
23,24,24,Anthony Kim,14,2574921,1.0
24,25,25,Charley Hoffman,24,2559646,1.0
25,26,26,Rory McIlroy,16,2554280,1.0
26,27,27,Nick Watney,24,2536714,
27,28,28,Adam Scott,20,2489402,1.0
28,29,29,Geoff Ogilvy,19,2393045,1.0
29,30,30,Heath Slocum,25,2387687,1.0
30,31,31,J.B. Holmes,26,2386248,
31,32,32,Ryan Moore,24,2374823,
32,33,33,K.J. Choi,22,2199962,
33,34,34,Brendon de Jonge,32,2167978,
34,35,35,Martin Laird,26,2137928,
35,36,36,Ian Poulter,15,2079664,1.0
36,37,37,Kevin Na,26,2021815,
37,38,38,Stuart Appleby,31,1965825,1.0
38,39,39,Carl Pettersson,29,1934465,1.0
39,40,40,Jason Bohn,25,1904763,1.0
40,41,41,Sean O'Hair,25,1859040,
41,42,42,Vaughn Taylor,26,1838861,
42,43,43,Ricky Barnes,28,1835195,
43,44,44,Freddie Jacobson,24,1666252,
44,45,45,Scott Verplank,22,1653190,
45,46,46,Brian Davis,32,1640516,
46,47,47,D.J. Trahan,27,1619693,
47,48,48,Brandt Snedeker,26,1602690,
48,49,49,David Toms,25,1590998,
49,50,50,Graeme McDowell,10,1589337,1.0
