,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,1,Tiger Woods,13,2351.85,30574.046000000002
1,2,2,Phil Mickelson,18,890.941,16036.931
2,3,3,Jim Furyk,19,878.4789999999999,16691.105
3,4,4,Vijay Singh,23,831.699,19129.074
4,5,5,Adam Scott,15,746.375,11195.624
5,6,6,K.J. Choi,21,737.378,15484.928
6,7,7,Justin Rose,12,724.8560000000001,8698.267
7,8,8,Rory Sabbatini,19,713.056,13548.069
8,9,9,Sergio Garcia,15,703.1260000000001,10546.883
9,10,10,Zach Johnson,19,702.1510000000001,13340.867
10,11,11,Ernie Els,13,690.7489999999999,8979.738000000001
11,12,12,Henrik Stenson,11,610.706,6717.771
12,13,13,Scott Verplank,18,593.964,10691.346000000001
13,14,14,Padraig Harrington,15,585.512,8782.673
14,15,15,Charles Howell III,21,577.4209999999999,12125.85
15,16,16,Steve Stricker,19,558.989,10620.784
16,17,17,Ángel Cabrera,11,545.137,5996.5109999999995
17,18,18,Aaron Baddeley,18,522.36,9402.482
18,19,19,Luke Donald,17,510.353,8676.008
19,20,20,Tim Clark,13,487.86800000000005,6342.279
20,21,21,Geoff Ogilvy,18,479.037,8622.657
21,22,22,Woody Austin,22,476.48800000000006,10482.734
22,23,23,Brandt Snedeker,25,474.80300000000005,11870.075
23,24,24,Mark Calcavecchia,20,448.31699999999995,8966.334
24,25,25,Hunter Mahan,23,442.814,10184.726999999999
25,26,26,David Toms,19,434.254,8250.824
26,27,27,John Rollins,23,422.06699999999995,9707.543
27,28,28,Boo Weekley,23,417.01,9591.226999999999
28,29,29,Jonathan Byrd,19,408.275,7757.232
29,30,30,José Coceres,12,405.829,4869.9529999999995
30,31,31,Robert Allenby,20,376.798,7535.969
31,32,32,Stewart Cink,19,372.639,7080.15
32,33,33,Brian Bateman,13,372.561,4843.29
33,34,34,Bernhard Langer,14,351.211,4916.947
34,35,35,Trevor Immelman,18,350.51099999999997,6309.206
35,36,36,Heath Slocum,20,340.026,6800.515
36,37,37,Stuart Appleby,20,339.94,6798.799
37,38,38,Nick Watney,19,337.911,6420.315
38,39,39,Greg Kraft,4,333.75,1335.0
39,40,40,Bubba Watson,20,329.469,6589.374
40,41,41,Jerry Kelly,21,318.046,6678.9580000000005
41,42,42,Rocco Mediate,15,317.815,4767.225
42,43,43,Mark Wilson,20,311.244,6224.885
43,44,44,Paul Goydos,17,309.829,5267.089
44,45,45,Retief Goosen,12,307.357,3688.285
45,46,46,Kevin Sutherland,20,294.388,5887.75
46,47,47,Ian Poulter,15,288.957,4334.358
47,48,48,Jeff Quinney,21,288.236,6052.964
48,49,49,Pat Perez,22,282.346,6211.611999999999
49,50,50,Ken Duke,23,279.806,6435.534000000001
50,51,51,Nick O'Hern,18,276.689,4980.41
51,52,52,Anthony Kim,22,273.334,6013.342
52,53,53,Jeff Overton,11,270.681,2977.494
53,54,54,Charley Hoffman,22,270.052,5941.154
54,55,55,Arron Oberholser,17,266.918,4537.608
55,56,56,Camilo Villegas,20,266.461,5329.225
56,57,57,Stephen Ames,18,265.91900000000004,4786.535
57,58,58,Billy Mayfair,23,265.623,6109.331
58,59,59,Carl Pettersson,23,261.377,6011.68
59,60,60,John Senden,22,260.428,5729.420999999999
60,61,61,Ryan Moore,21,256.324,5382.811
61,62,62,Rod Pampling,22,252.683,5559.025
62,63,63,Fred Funk,18,250.028,4500.502
63,64,64,Lucas Glover,24,248.071,5953.705
64,65,65,Brett Wetterich,22,246.81,5429.816999999999
65,66,66,Freddie Jacobson,13,244.34,3176.417
66,67,67,Bart Bryant,18,237.28799999999998,4271.188
67,68,68,Kenny Perry,21,234.588,4926.354
68,69,69,Vaughn Taylor,21,231.81599999999997,4868.134
69,70,70,Tom Lehman,16,231.345,3701.522
70,71,71,Troy Matteson,22,226.622,4985.685
71,72,72,Brian Davis,20,222.11700000000002,4442.33
72,73,73,John Mallinger,21,219.042,4599.8859999999995
73,74,74,Stephen Leaney,21,218.86700000000002,4596.214
74,75,75,Sean O'Hair,21,218.079,4579.669
75,76,76,Davis Love III,19,218.015,4142.282999999999
76,77,77,Nathan Green,24,213.12400000000002,5114.986
77,78,78,Ryuji Imada,24,208.53099999999998,5004.744000000001
78,79,79,Steve Marino,23,208.253,4789.813
79,80,80,Bo Van Pelt,23,205.338,4722.771
80,81,81,José María Olazábal,16,200.139,3202.222
81,82,82,Peter Lonard,24,198.518,4764.433
82,83,83,Dean Wilson,23,191.665,4408.291
83,84,84,Brian Gay,23,188.893,4344.538
84,85,85,Mike Weir,19,187.139,3555.643
85,86,86,Matt Kuchar,19,183.855,3493.25
86,87,87,Will MacKenzie,25,182.33599999999998,4558.399
87,88,88,Kevin Na,18,181.167,3261.013
88,89,89,Jason Gore,22,180.127,3962.7859999999996
