,Power_Rating_RANK THIS WEEK,Power_Rating_RANK LAST WEEK,Power_Rating_PLAYER NAME,Power_Rating_EVENTS,Power_Rating_RATING
0,1,1,Tony Finau,1,10.0
1,T2,T2,J.B. Holmes,12,9.9
2,T2,T2,Bubba Watson,12,9.9
3,T4,T4,John Daly,7,9.5
4,T4,T4,Robert Garrigus,18,9.5
5,T4,T4,Brett Wetterich,14,9.5
6,7,7,Johan Edfors,3,9.4
7,8,8,Jamie Lovemark,2,9.3
8,T9,T9,Chris Baryla,1,9.2
9,T9,T9,Ángel Cabrera,5,9.2
10,T9,T9,Chris Couch,10,9.2
11,T9,T9,Andres Romero,1,9.2
12,T13,T13,Harrison Frazar,10,9.0
13,T13,T13,Anthony Kim,18,9.0
14,T13,T13,Nick Watney,16,9.0
15,T16,T16,Anton Haig,2,8.9
16,T16,T16,Charley Hoffman,17,8.9
17,T16,T16,Louis Oosthuizen,1,8.9
18,T16,T16,Jeff Overton,11,8.9
19,T20,T20,Andy Bare,1,8.8
20,T20,T20,Bubba Dickerson,5,8.8
21,T20,T20,Bronson La'Cassie,1,8.8
22,T20,T20,Tag Ridings,8,8.8
23,T20,T20,Adam Scott,13,8.8
24,T25,T25,Steve Allan,12,8.7
25,T25,T25,Jason Gore,16,8.7
26,T25,T25,Matt Hendrix,7,8.7
27,T25,T25,Charles Howell III,14,8.7
28,T25,T25,Davis Love III,11,8.7
29,T25,T25,Charles Warren,21,8.7
30,T25,T25,Boo Weekley,16,8.7
31,T25,T25,Tiger Woods,11,8.7
32,T33,T33,Ernie Els,11,8.6
33,T33,T33,Scott Gutschewski,10,8.6
34,T33,T33,Yusaku Miyazato,1,8.6
35,T33,T33,Lee Westwood,3,8.6
36,T37,T37,Mathias Grönberg,16,8.5
37,T37,T37,Bill Haas,15,8.5
38,T37,T37,Geoff Ogilvy,15,8.5
39,T40,T40,Matt Every,1,8.4
40,T40,T40,Sean O'Hair,19,8.4
41,T40,T40,Henrik Stenson,8,8.4
42,T43,T43,Phil Mickelson,13,8.3
43,T43,T43,Vijay Singh,21,8.3
44,T45,T45,Robert Allenby,17,8.2
45,T45,T45,Brady Schnell,1,8.2
46,T47,T47,Daniel Chopra,20,8.1
47,T47,T47,Kris Cox,1,8.1
48,T47,T47,Nick Flanagan,2,8.1
49,T47,T47,Kenny Perry,16,8.1
50,T47,T47,Jeev Milkha Singh,3,8.1
51,T52,T52,Craig Barlow,10,8.0
52,T52,T52,Lucas Glover,18,8.0
53,T52,T52,Mathew Goggin,18,8.0
54,T52,T52,Robert Karlsson,7,8.0
55,T52,T52,Steve Marino,20,8.0
56,T52,T52,Bob May,8,8.0
57,T52,T52,Camilo Villegas,15,8.0
