,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Tiger Woods,13,30574,5.0,9.0,,
1,2,2,Vijay Singh,23,19129,2.0,6.0,11445.0,
2,3,3,Jim Furyk,19,16691,1.0,8.0,13883.0,
3,4,4,Phil Mickelson,18,16037,2.0,5.0,14537.0,
4,5,5,K.J. Choi,21,15485,2.0,6.0,15089.0,
5,6,6,Rory Sabbatini,19,13548,1.0,6.0,17026.0,
6,7,7,Zach Johnson,19,13341,2.0,4.0,17233.0,
7,8,8,Charles Howell III,21,12126,1.0,5.0,18448.0,
8,9,9,Brandt Snedeker,25,11870,1.0,6.0,18704.0,
9,10,10,Adam Scott,15,11196,1.0,5.0,19378.0,
10,11,11,Scott Verplank,18,10691,1.0,8.0,19883.0,
11,12,12,Steve Stricker,19,10621,,6.0,19953.0,
12,13,13,Sergio Garcia,15,10547,,5.0,20027.0,
13,14,14,Woody Austin,22,10483,1.0,3.0,20091.0,
14,15,15,Hunter Mahan,23,10185,1.0,5.0,20389.0,
15,16,16,John Rollins,23,9708,,4.0,20866.0,
16,17,17,Boo Weekley,23,9591,1.0,4.0,20983.0,
17,18,18,Aaron Baddeley,18,9402,1.0,5.0,21172.0,
18,19,19,Ernie Els,13,8980,,4.0,21594.0,
19,20,20,Mark Calcavecchia,20,8966,1.0,4.0,21608.0,
20,21,21,Padraig Harrington,15,8783,1.0,3.0,21791.0,
21,22,22,Justin Rose,12,8698,,6.0,21876.0,
22,23,23,Luke Donald,17,8676,,5.0,21898.0,
23,24,24,Geoff Ogilvy,18,8623,,5.0,21951.0,
24,25,25,David Toms,19,8251,,7.0,22323.0,
25,26,26,Jonathan Byrd,19,7757,1.0,3.0,22817.0,
26,27,27,Robert Allenby,20,7536,,7.0,23038.0,
27,28,28,Stewart Cink,19,7080,,5.0,23494.0,
28,29,29,Heath Slocum,20,6801,,4.0,23773.0,
29,30,30,Stuart Appleby,20,6799,,3.0,23775.0,
30,31,31,Henrik Stenson,11,6718,1.0,2.0,23856.0,
31,32,32,Jerry Kelly,21,6679,,6.0,23895.0,
32,33,33,Bubba Watson,20,6589,,5.0,23985.0,
33,34,34,Ken Duke,23,6436,,4.0,24138.0,
34,35,35,Nick Watney,19,6420,1.0,2.0,24154.0,
35,36,36,Tim Clark,13,6342,,3.0,24232.0,
