,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
0,1,1,Tiger Woods,16,53607,2.0,3.0,,100000.0
1,2,2,Phil Mickelson,21,27394,1.0,2.0,26213.0,98000.0
2,3,3,Steve Stricker,23,25126,1.0,3.0,28481.0,95950.0
3,4,4,K.J. Choi,25,21750,,1.0,31857.0,97500.0
4,5,5,Rory Sabbatini,23,21491,,4.0,32116.0,97250.0
5,6,6,Vijay Singh,27,21193,,1.0,32414.0,99000.0
6,7,7,Zach Johnson,23,19214,,1.0,34393.0,97000.0
7,8,8,Jim Furyk,23,19214,1.0,8.0,34393.0,98500.0
8,9,9,Aaron Baddeley,22,17703,,2.0,35904.0,95050.0
9,10,10,Mark Calcavecchia,24,16285,,2.0,37322.0,94750.0
10,11,11,Sergio Garcia,19,15824,,2.0,37783.0,95800.0
11,12,12,Adam Scott,19,15630,,1.0,37977.0,96250.0
12,13,13,Charles Howell III,25,13427,1.0,5.0,40180.0,96750.0
13,14,14,Scott Verplank,21,13403,,1.0,40204.0,96100.0
14,15,15,Geoff Ogilvy,22,13390,,2.0,40217.0,94150.0
15,16,16,Hunter Mahan,27,13380,,1.0,40227.0,95500.0
16,17,17,Brandt Snedeker,29,13277,1.0,6.0,40330.0,96500.0
17,18,18,Woody Austin,26,13240,1.0,3.0,40367.0,95650.0
18,19,19,Justin Rose,16,12682,,1.0,40925.0,94450.0
19,20,20,Ernie Els,16,12112,,1.0,41495.0,94900.0
20,21,21,Tim Clark,17,10817,,2.0,42790.0,92800.0
21,22,22,Boo Weekley,27,10790,1.0,4.0,42817.0,95200.0
22,23,23,John Rollins,27,10577,,4.0,43030.0,95350.0
23,24,24,Robert Allenby,24,10470,,1.0,43137.0,93700.0
24,25,25,Camilo Villegas,24,10337,,3.0,43270.0,91600.0
25,26,26,Stewart Cink,23,10227,,1.0,43380.0,93550.0
26,27,27,Padraig Harrington,18,10208,1.0,3.0,43399.0,94600.0
27,28,28,Jonathan Byrd,23,9969,,1.0,43638.0,93850.0
28,29,29,Brett Wetterich,26,9854,,1.0,43753.0,91750.0
29,30,30,Heath Slocum,24,9132,,4.0,44475.0,93400.0
30,31,31,Luke Donald,20,9075,,5.0,44532.0,94300.0
31,32,32,David Toms,22,8859,,7.0,44748.0,94000.0
32,33,33,Arron Oberholser,20,8811,,1.0,44796.0,90100.0
33,34,34,Jerry Kelly,24,8259,,1.0,45348.0,93100.0
34,35,35,Lucas Glover,27,7729,,3.0,45878.0,92125.0
35,36,36,Carl Pettersson,26,7309,,1.0,46298.0,92275.0
36,37,37,Bubba Watson,23,7198,,5.0,46409.0,93025.0
37,38,38,Stuart Appleby,23,7189,,3.0,46418.0,93250.0
38,39,39,Henrik Stenson,14,6948,1.0,2.0,46659.0,93175.0
39,40,40,Trevor Immelman,21,6931,,4.0,46676.0,92725.0
40,41,41,Mark Wilson,23,6888,1.0,2.0,46719.0,92650.0
41,42,42,Ian Poulter,18,6884,,2.0,46723.0,89725.0
42,43,43,Nick Watney,22,6881,1.0,2.0,46726.0,92875.0
43,44,44,Anthony Kim,25,6856,,4.0,46751.0,92350.0
44,45,45,Pat Perez,25,6820,,5.0,46787.0,92575.0
45,46,46,Nathan Green,27,6767,,2.0,46840.0,91450.0
46,47,47,Ángel Cabrera,14,6709,1.0,1.0,46898.0,92200.0
47,48,48,Ken Duke,26,6656,,4.0,46951.0,92950.0
48,49,49,Troy Matteson,25,6502,,1.0,47105.0,91300.0
49,50,50,Charley Hoffman,25,6457,1.0,1.0,47150.0,92050.0
50,51,51,Billy Mayfair,26,6309,,5.0,47298.0,92500.0
51,52,52,Sean O'Hair,24,6292,,1.0,47315.0,90250.0
52,53,53,Kevin Sutherland,23,6278,,3.0,47329.0,91975.0
53,54,54,John Senden,25,6268,,3.0,47339.0,91900.0
54,55,55,Rod Pampling,25,6180,,2.0,47427.0,91825.0
55,56,56,Ryan Moore,24,6171,,2.0,47436.0,91675.0
56,57,57,Jeff Quinney,24,6160,,5.0,47447.0,92425.0
57,58,58,Ryuji Imada,27,6071,,2.0,47536.0,91375.0
58,59,59,John Mallinger,24,5888,,3.0,47719.0,90400.0
59,60,60,Paul Goydos,19,5665,1.0,1.0,47942.0,91525.0
60,61,61,Bo Van Pelt,26,5604,,2.0,48003.0,90475.0
61,62,62,Kenny Perry,24,5550,,3.0,48057.0,91150.0
62,63,63,Vaughn Taylor,24,5447,,3.0,48160.0,90925.0
63,64,64,Nick O'Hern,21,5330,,3.0,48277.0,91225.0
64,65,65,Steve Flesch,27,5314,1.0,2.0,48293.0,89425.0
65,66,66,Rocco Mediate,18,5271,,3.0,48336.0,90625.0
66,67,67,Brian Bateman,16,5102,1.0,1.0,48505.0,90850.0
67,68,68,Stephen Ames,20,5100,,3.0,48507.0,90700.0
68,69,69,Steve Marino,26,5017,,4.0,48590.0,90775.0
69,70,70,José Coceres,15,4980,,3.0,48627.0,91000.0
70,71,71,Bernhard Langer,14,4917,,4.0,48690.0,91075.0
71,72,72,Will MacKenzie,27,4831,,3.0,48776.0,90175.0
72,73,73,Dean Wilson,25,4789,,3.0,48818.0,89875.0
73,74,74,Peter Lonard,26,4764,,3.0,48843.0,90550.0
74,75,75,Brian Davis,22,4653,,2.0,48954.0,89950.0
75,76,76,Tim Petrovic,27,4642,,1.0,48965.0,89350.0
76,77,77,Fred Funk,20,4626,1.0,2.0,48981.0,90025.0
77,78,78,Brian Gay,25,4619,,2.0,48988.0,89800.0
78,79,79,Stephen Leaney,23,4596,,2.0,49011.0,90325.0
79,80,80,Bart Bryant,20,4555,,2.0,49052.0,89650.0
80,81,81,Freddie Jacobson,15,4540,,1.0,49067.0,88225.0
81,82,82,Jason Gore,24,4483,,2.0,49124.0,89275.0
82,83,83,Robert Garrigus,23,4441,,1.0,49166.0,87400.0
