,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
0,1,1,Tiger Woods,3,123033,2.0,3.0,,100000
1,2,2,Steve Stricker,4,110455,1.0,3.0,12578.0,95950
2,3,3,Phil Mickelson,3,109358,1.0,2.0,13675.0,98000
3,4,4,Rory Sabbatini,4,105193,,4.0,17840.0,97250
4,5,5,K.J. Choi,4,103765,,1.0,19268.0,97500
5,6,6,Aaron Baddeley,4,103350,,2.0,19683.0,95050
6,7,7,Zach Johnson,4,102873,,1.0,20160.0,97000
7,8,8,Mark Calcavecchia,4,102069,,2.0,20964.0,94750
8,9,9,Sergio Garcia,4,101077,,2.0,21956.0,95800
9,10,10,Vijay Singh,4,101064,,1.0,21969.0,99000
10,11,11,Jim Furyk,4,101022,,,22011.0,98500
11,12,12,Adam Scott,4,100684,,1.0,22349.0,96250
12,13,13,Geoff Ogilvy,4,98918,,2.0,24115.0,94150
13,14,14,Scott Verplank,3,98812,,1.0,24221.0,96100
14,15,15,Hunter Mahan,4,98696,,1.0,24337.0,95500
15,16,16,Justin Rose,4,98434,,1.0,24599.0,94450
16,17,17,Woody Austin,4,98407,,,24626.0,95650
17,18,18,Charles Howell III,4,98051,,,24982.0,96750
18,19,19,Ernie Els,3,98033,,1.0,25000.0,94900
19,20,20,Brandt Snedeker,4,97907,,,25126.0,96500
20,21,21,Tim Clark,4,97275,,2.0,25758.0,92800
21,22,22,Stewart Cink,4,96697,,1.0,26336.0,93550
22,23,23,Robert Allenby,4,96634,,1.0,26399.0,93700
23,24,24,Camilo Villegas,4,96608,,3.0,26425.0,91600
24,25,25,Boo Weekley,4,96399,,,26634.0,95200
25,26,26,John Rollins,4,96220,,,26813.0,95350
26,27,27,Brett Wetterich,4,96174,,1.0,26859.0,91750
27,28,28,Jonathan Byrd,4,96061,,1.0,26972.0,93850
28,29,29,Padraig Harrington,3,96025,,,27008.0,94600
29,30,30,Heath Slocum,4,95731,,,27302.0,93400
30,31,31,Luke Donald,3,94699,,,28334.0,94300
31,32,32,Jerry Kelly,3,94680,,1.0,28353.0,93100
32,33,33,David Toms,3,94609,,,28424.0,94000
33,34,34,Arron Oberholser,3,94373,,1.0,28660.0,90100
34,35,35,Lucas Glover,3,93900,,,29133.0,92125
35,36,36,Stuart Appleby,3,93640,,,29393.0,93250
36,37,37,Bubba Watson,3,93634,,,29399.0,93025
37,38,38,Carl Pettersson,3,93572,,1.0,29461.0,92275
38,39,39,Henrik Stenson,3,93405,,,29628.0,93175
39,40,40,Trevor Immelman,3,93346,,,29687.0,92725
40,41,41,Nick Watney,3,93336,,,29697.0,92875
41,42,42,Mark Wilson,3,93313,,,29720.0,92650
42,43,43,Anthony Kim,3,93192,,,29841.0,92350
43,44,44,Pat Perez,3,93184,,,29849.0,92575
44,45,45,Ken Duke,3,93171,,,29862.0,92950
45,46,46,Nathan Green,3,93102,,,29931.0,91450
46,47,47,Ángel Cabrera,3,92912,,,30121.0,92200
47,48,48,Troy Matteson,3,92817,,1.0,30216.0,91300
48,49,49,Billy Mayfair,3,92700,,,30333.0,92500
49,50,50,Charley Hoffman,3,92566,,,30467.0,92050
