,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Tiger Woods,7,3430.627
1,2,2,Jim Furyk,9,1473.981
2,3,3,Zach Johnson,9,1416.3929999999998
3,4,4,Woody Austin,9,756.0
4,5,5,Stewart Cink,9,630.235
5,6,6,Joe Durant,12,585.7130000000001
6,7,7,Hunter Mahan,11,534.2909999999999
7,8,8,Jerry Kelly,12,525.231
8,9,9,David Toms,8,518.173
9,10,10,Steve Stricker,8,473.08099999999996
10,11,11,Scott Verplank,10,429.875
11,12,12,Ben Curtis,10,426.879
12,13,13,Troy Matteson,12,388.913
13,14,14,Arron Oberholser,9,384.061
14,15,15,Davis Love III,8,380.606
15,16,16,Lucas Glover,11,310.775
16,17,17,Boo Weekley,3,268.712
17,18,18,Eric Axley,12,252.5
18,19,19,Bubba Watson,9,248.94799999999998
19,20,20,Tom Pernice Jr.,12,244.65900000000002
20,21,21,Frank Lickliter II,9,242.44799999999998
21,22,22,Brett Wetterich,10,237.417
22,23,23,Charles Howell III,12,237.167
23,24,24,J.J. Henry,10,226.378
24,25,25,Lee Janzen,9,213.706
25,26,26,Brett Quigley,12,207.185
26,27,27,Kevin Sutherland,11,187.704
27,28,28,Mark Calcavecchia,10,186.324
28,29,29,Vaughn Taylor,9,181.25
29,30,30,Jonathan Byrd,9,173.787
30,31,31,Bart Bryant,9,169.75
31,32,32,Pat Perez,6,167.977
32,33,33,Nick Watney,11,165.40200000000002
33,T34,T34,Ken Duke,2,153.505
34,T34,T34,Brandt Snedeker,2,153.505
35,36,36,Will MacKenzie,9,149.4
36,37,37,Paul Goydos,11,146.6
37,38,38,Dean Wilson,11,138.034
38,T39,T39,Jason Bohn,7,135.0
39,T39,T39,D.J. Trahan,9,135.0
40,41,41,Jeff Brehaut,11,128.88
41,42,42,Sean O'Hair,9,126.10799999999999
42,43,43,Steve Flesch,8,123.5
43,44,44,Shaun Micheel,10,116.115
44,45,45,John Rollins,11,115.546
45,46,46,Ryan Moore,9,110.014
46,47,47,Charley Hoffman,10,109.352
47,48,48,Brian Bateman,10,108.736
48,49,49,Rich Beem,11,103.197
49,50,50,Anthony Kim,4,101.436
50,51,51,Phil Mickelson,5,98.55
51,52,52,Bob Estes,8,98.37100000000001
52,53,53,Chris DiMarco,9,98.12799999999999
53,54,54,Ben Crane,7,88.0
54,55,55,Heath Slocum,7,79.75
55,56,56,Ted Purdy,10,77.975
56,57,57,Fred Funk,9,64.813
57,T58,T58,Joe Ogilvie,6,51.0
58,T58,T58,Kenny Perry,5,51.0
59,60,60,Robert Garrigus,8,50.6
60,61,61,Ryan Palmer,8,50.0
61,62,62,D.J. Brigman,1,45.313
62,63,63,Tim Herron,8,45.2
63,64,64,Olin Browne,10,44.516000000000005
64,65,65,Harrison Frazar,8,43.371
65,66,66,Fred Couples,3,43.085
66,67,67,Steve Lowery,7,42.375
67,68,68,Marco Dawson,10,40.394
68,T69,T69,Kent Jones,8,38.525
69,T69,T69,Charles Warren,5,38.525
70,71,71,Chris Riley,8,38.0
71,72,72,Tom Lehman,5,37.986
72,73,73,Brian Gay,9,37.1
73,74,74,J.P. Hayes,7,36.0
74,75,75,John Daly,6,34.75
75,76,76,Chad Campbell,10,32.584
76,77,77,Bubba Dickerson,9,32.25
77,78,78,Billy Mayfair,9,30.12
78,T79,T79,Briny Baird,6,28.75
79,T79,T79,Jeff Overton,9,28.75
80,T81,T81,Joey Sindelar,8,28.0
81,T81,T81,Ron Whittaker,9,28.0
82,T83,T83,Glen Day,2,27.375
83,T83,T83,Bo Van Pelt,8,27.375
84,85,85,John Cook,6,26.344
85,86,86,Kevin Stadler,2,24.936
86,87,87,Mark O'Meara,6,21.594
87,T88,T88,Robert Damron,9,19.5
88,T88,T88,Jason Gore,6,19.5
89,90,90,Michael Putnam,2,18.829
90,T91,T91,Jeff Sluman,10,18.56
91,T91,T91,Craig Stadler,1,18.56
92,93,93,Jason Dufner,1,16.647000000000002
93,94,94,Ben Crenshaw,1,16.53
94,95,95,George McNeill,1,16.363
95,96,96,Fuzzy Zoeller,1,15.95
96,97,97,Bob Tway,7,15.235999999999999
97,98,98,Corey Pavin,4,13.65
98,99,99,Todd Hamilton,10,13.3
99,100,100,Mike Small,5,13.05
100,101,101,Ryan Benzel,1,12.9
