,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Tiger Woods,3,10000000
1,2,2,Steve Stricker,4,3000000
2,3,3,Phil Mickelson,3,2000000
3,4,4,Rory Sabbatini,4,1500000
4,5,5,K.J. Choi,4,1000000
5,6,6,Aaron Baddeley,4,800000
6,7,7,Zach Johnson,4,700000
7,8,8,Mark Calcavecchia,4,600000
8,9,9,Sergio Garcia,4,550000
9,10,10,Vijay Singh,4,500000
10,11,11,Jim Furyk,4,300000
11,12,12,Adam Scott,4,290000
12,13,13,Geoff Ogilvy,4,280000
13,14,14,Scott Verplank,3,270000
14,15,15,Hunter Mahan,4,250000
15,16,16,Justin Rose,4,245000
16,17,17,Woody Austin,4,240000
17,18,18,Charles Howell III,4,235000
18,19,19,Ernie Els,3,230000
19,20,20,Brandt Snedeker,4,225000
20,21,21,Tim Clark,4,220000
21,22,22,Stewart Cink,4,215000
22,23,23,Robert Allenby,4,210000
23,24,24,Camilo Villegas,4,205000
24,25,25,Boo Weekley,4,200000
25,26,26,John Rollins,4,195000
26,27,27,Brett Wetterich,4,190000
27,28,28,Jonathan Byrd,4,185000
28,29,29,Padraig Harrington,3,180000
29,30,30,Heath Slocum,4,175000
30,31,31,Luke Donald,3,165000
31,32,32,Jerry Kelly,3,155000
32,33,33,David Toms,3,150000
33,34,34,Arron Oberholser,3,145000
34,35,35,Lucas Glover,3,142000
35,36,36,Stuart Appleby,3,140000
36,37,37,Bubba Watson,3,138000
37,38,38,Carl Pettersson,3,137000
38,39,39,Henrik Stenson,3,136000
39,40,40,Trevor Immelman,3,135000
40,41,41,Nick Watney,3,134000
41,42,42,Mark Wilson,3,133000
42,43,43,Anthony Kim,3,132000
43,44,44,Pat Perez,3,131000
44,45,45,Ken Duke,3,130000
