,Short_Game_Rating_RANK THIS WEEK,Short_Game_Rating_RANK LAST WEEK,Short_Game_Rating_PLAYER NAME,Short_Game_Rating_EVENTS,Short_Game_Rating_RATING
0,1,1,Tom Watson,1,9.3
1,2,2,Andres Romero,1,8.0
2,3,3,Paul Sheehan,1,7.9
3,T4,T4,Thomas Bjørn,1,7.7
4,T4,T4,Tim Clark,12,7.7
5,T4,T4,Kris Cox,1,7.7
6,T4,T4,Nick Flanagan,2,7.7
7,T8,T8,Michael Bradley,3,7.6
8,T8,T8,Todd Fischer,2,7.6
9,T8,T8,Mark O'Meara,1,7.6
10,11,11,Bill Lunde,1,7.4
11,T12,T12,Luke Donald,11,7.3
12,T12,T12,Alan Morin,1,7.3
13,T14,T14,Daniel Chopra,20,7.2
14,T14,T14,Dudley Hart,6,7.2
15,T14,T14,Phil Mickelson,12,7.2
16,T14,T14,Lee Williams,1,7.2
17,T14,T14,Tiger Woods,8,7.2
18,T19,T19,Ben Crane,4,7.1
19,T19,T19,Shigeki Maruyama,13,7.1
20,T19,T19,Jim McGovern,2,7.1
21,T19,T19,Ian Poulter,9,7.1
22,T19,T19,Mike Weir,15,7.1
23,T24,T24,Tom Byrum,3,7.0
24,T24,T24,Ernie Els,11,7.0
25,T24,T24,Justin Leonard,16,7.0
26,T24,T24,Jarrod Lyle,13,7.0
27,T24,T24,Bob May,8,7.0
28,T24,T24,Billy Mayfair,15,7.0
29,T24,T24,Corey Pavin,14,7.0
30,T24,T24,Brandt Snedeker,16,7.0
31,T32,T32,Paul Azinger,7,6.9
32,T32,T32,Jonathan Byrd,11,6.9
33,T32,T32,Alex Cejka,16,6.9
34,T32,T32,Brian Davis,18,6.9
35,T32,T32,David Duval,3,6.9
36,T32,T32,Brian Gay,19,6.9
37,T32,T32,Bob Heintz,12,6.9
38,T32,T32,Kevin Na,16,6.9
39,T32,T32,Arron Oberholser,12,6.9
40,T32,T32,Pat Perez,12,6.9
41,T32,T32,Chris Riley,11,6.9
42,T32,T32,Loren Roberts,1,6.9
43,T32,T32,Justin Rose,10,6.9
44,T32,T32,Heath Slocum,20,6.9
45,T46,T46,Arjun Atwal,6,6.8
46,T46,T46,José Coceres,8,6.8
47,T46,T46,John Cook,3,6.8
48,T46,T46,Jay Delsing,6,6.8
49,T46,T46,Freddie Jacobson,15,6.8
50,T46,T46,Jerry Kelly,16,6.8
51,T46,T46,Franklin Langham,1,6.8
52,T46,T46,Yusaku Miyazato,1,6.8
53,T46,T46,Jerry Smith,4,6.8
54,T46,T46,David Toms,14,6.8
55,T46,T46,Bo Van Pelt,22,6.8
56,T57,T57,Andy Bare,1,6.7
57,T57,T57,Craig Bowden,12,6.7
58,T57,T57,K.J. Choi,15,6.7
59,T57,T57,Marco Dawson,13,6.7
60,T57,T57,Steve Flesch,17,6.7
61,T57,T57,Tadd Fujikawa,1,6.7
62,T57,T57,Robert Garrigus,15,6.7
63,T57,T57,Hennie Otto,1,6.7
64,T57,T57,Tim Petrovic,19,6.7
65,T57,T57,Darron Stiles,7,6.7
66,T67,T67,Jason Dufner,14,6.6
67,T67,T67,Fred Funk,9,6.6
68,T67,T67,Jim Furyk,15,6.6
69,T67,T67,Richard Green,2,6.6
70,T67,T67,Matt Kuchar,15,6.6
71,T67,T67,Doug LaBelle II,14,6.6
72,T67,T67,Paul McGinley,3,6.6
73,T67,T67,Tom Pernice Jr.,17,6.6
74,T67,T67,Rory Sabbatini,14,6.6
75,T67,T67,Duffy Waldorf,10,6.6
76,T67,T67,Bubba Watson,12,6.6
77,T67,T67,Charlie Wi,15,6.6
78,T67,T67,Mark Wilson,17,6.6
79,T80,T80,Stuart Appleby,10,6.5
80,T80,T80,Woody Austin,17,6.5
81,T80,T80,Mark Calcavecchia,16,6.5
82,T80,T80,Chris DiMarco,13,6.5
83,T80,T80,Ken Duke,22,6.5
84,T80,T80,Sergio Garcia,12,6.5
85,T80,T80,Paul Goydos,11,6.5
86,T80,T80,Bill Haas,14,6.5
87,T80,T80,J.P. Hayes,15,6.5
88,T80,T80,Tim Herron,18,6.5
89,T80,T80,Thongchai Jaidee,2,6.5
90,T80,T80,Craig Kanada,18,6.5
91,T80,T80,Cliff Kresge,23,6.5
92,T80,T80,Ryan Palmer,14,6.5
93,T80,T80,Rod Pampling,18,6.5
94,T80,T80,Carl Pettersson,21,6.5
95,T80,T80,Dicky Pride,8,6.5
96,T80,T80,Vijay Singh,21,6.5
97,T80,T80,Steve Stricker,14,6.5
98,T80,T80,Scott Verplank,14,6.5
99,T80,T80,Charles Warren,21,6.5
100,T101,T101,Briny Baird,24,6.4
101,T101,T101,Craig Barlow,10,6.4
102,T101,T101,Cameron Beckman,16,6.4
103,T101,T101,Mark Brooks,5,6.4
104,T101,T101,Steve Elkington,16,6.4
105,T101,T101,Robert Gamez,12,6.4
106,T101,T101,Paul Gow,8,6.4
107,T101,T101,Nathan Green,18,6.4
