,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Tiger Woods,5,5652667
1,2,2,Steve Stricker,6,2154000
2,3,3,Steve Flesch,8,1882314
3,4,4,Rory Sabbatini,6,1729650
4,5,5,Phil Mickelson,6,1699400
5,6,6,Justin Leonard,9,1419145
6,7,7,Tim Clark,8,1362157
7,8,8,Justin Rose,6,1318133
8,9,9,Aaron Baddeley,7,1283735
9,10,10,Brandt Snedeker,6,1236433
10,11,11,Woody Austin,7,1191676
11,12,12,K.J. Choi,6,1149367
12,13,13,Daniel Chopra,11,1143409
13,14,14,Stephen Ames,7,1105171
14,15,15,Mark Calcavecchia,10,1091697
15,16,16,Mike Weir,6,1058682
16,17,17,Arron Oberholser,6,1053707
17,18,18,Ernie Els,5,1033743
18,19,19,Geoff Ogilvy,6,957273
19,20,20,George McNeill,9,925793
20,21,21,John Senden,8,916165
21,22,22,Carl Pettersson,10,903635
22,23,23,Scott Verplank,7,897496
23,24,24,Adam Scott,6,850967
24,25,25,Zach Johnson,6,850050
25,26,26,Brett Wetterich,8,842404
26,27,27,Billy Mayfair,9,821917
27,28,28,Sean O'Hair,8,821498
28,29,29,Chad Campbell,9,794710
29,30,30,Michael Allen,7,785655
30,31,31,Heath Slocum,9,762925
31,32,32,Sergio Garcia,6,761268
32,33,33,Jeff Overton,10,752866
33,34,34,Camilo Villegas,5,735000
34,35,35,Freddie Jacobson,8,731768
35,36,36,Shigeki Maruyama,9,676728
36,37,37,Mark Hensby,7,656087
37,38,38,Boo Weekley,8,644952
38,39,39,Jesper Parnevik,7,642160
39,40,40,John Mallinger,9,636590
40,41,41,Johnson Wagner,9,623833
41,42,42,Stewart Cink,8,611585
42,43,43,Robert Garrigus,8,590990
43,44,44,Cameron Beckman,9,583596
44,45,45,Tim Petrovic,9,564272
45,46,46,Hunter Mahan,6,556038
46,47,47,Charles Warren,8,550804
47,48,48,Kevin Stadler,10,502975
48,49,49,Ken Duke,10,502869
49,50,50,Bo Van Pelt,9,491942
50,51,51,D.J. Trahan,9,485612
51,52,52,Robert Allenby,10,485330
52,53,53,Charley Hoffman,10,472393
53,54,54,Ian Poulter,5,469000
54,55,55,Mathias Grönberg,9,452510
55,56,56,Jonathan Byrd,6,441714
56,57,57,Kent Jones,9,438018
57,58,58,Bill Haas,8,431037
58,59,59,Robert Gamez,9,424420
59,60,60,Lucas Glover,8,421772
60,61,61,Jason Gore,7,421609
61,62,62,Rich Beem,11,417602
62,63,63,Chris Stroud,9,403561
63,64,64,Charlie Wi,9,394524
64,65,65,Alex Cejka,8,393127
65,66,66,Nathan Green,7,381503
66,67,67,Jerry Kelly,9,380462
67,68,68,Dean Wilson,8,373866
68,69,69,Trevor Immelman,5,368000
69,70,70,Peter Lonard,5,362143
70,71,71,Jim Furyk,5,355780
71,72,72,Ryan Armour,10,353730
72,73,73,Brian Davis,10,347665
73,74,74,Pat Perez,6,341360
74,75,75,Mathew Goggin,8,341127
75,76,76,Daisuke Maruyama,9,340638
76,77,77,Parker McLachlin,9,337150
77,78,78,Briny Baird,9,334283
78,79,79,Stuart Appleby,6,334045
79,80,80,Nick Watney,9,324238
80,81,81,Shaun Micheel,10,315808
81,82,82,Joe Durant,9,312912
82,83,83,John Rollins,8,311587
83,84,84,Charles Howell III,7,310092
84,85,85,Chris DiMarco,4,310000
85,86,86,Padraig Harrington,5,308508
86,87,87,Anders Hansen,6,306083
87,88,88,Vijay Singh,6,300460
88,89,89,Tommy Armour III,7,298045
89,90,90,Brendon de Jonge,9,290893
90,91,91,John Merrick,10,287198
91,92,92,Ryan Moore,8,285391
92,93,93,Tag Ridings,7,281520
93,94,94,Brian Gay,11,280564
94,95,95,Ryuji Imada,10,278205
95,96,96,Troy Matteson,7,267633
96,97,97,Vaughn Taylor,10,255562
97,98,98,Kenny Perry,5,253616
98,99,99,David Branshaw,9,253138
99,100,100,Jarrod Lyle,9,249141
100,101,101,Kevin Sutherland,8,247153
101,102,102,Bryce Molder,9,246743
102,103,103,Will MacKenzie,8,242655
103,104,104,Mark Wilson,7,242282
104,105,105,Bob Estes,9,237732
105,106,106,J.P. Hayes,10,230045
106,107,107,Simon Dyson,1,227500
107,108,108,Jeff Maggert,9,227459
108,109,109,Davis Love III,4,226500
109,110,110,Dicky Pride,9,225568
110,111,111,J.J. Henry,7,223600
111,112,112,Greg Kraft,8,223240
112,113,113,Cliff Kresge,9,215653
113,114,114,Bart Bryant,8,208321
114,115,115,Chris Riley,7,204244
115,116,116,Andres Romero,2,202000
116,117,117,Rod Pampling,5,194408
117,118,118,Frank Lickliter II,10,193490
118,119,119,Marco Dawson,9,186635
119,120,120,Jeff Gove,10,185385
120,121,121,Jeff Quinney,10,183627
121,122,122,Rich Barcelo,8,181803
122,123,123,Joe Ogilvie,9,180473
123,124,124,Bob May,8,177745
124,125,125,Steve Elkington,5,173850
125,126,126,Michael Sim,8,172722
126,127,127,J.B. Holmes,6,171960
127,128,128,Tim Herron,7,171295
128,129,129,Kevin Na,11,170592
129,130,130,Bubba Watson,7,161172
130,131,131,Bob Heintz,10,157415
131,132,132,Garrett Willis,7,157292
132,133,133,Luke Donald,5,156808
133,134,134,Anthony Kim,6,156167
134,135,135,Dan Forsman,6,150165
135,136,136,Steve Lowery,9,146158
136,137,137,Craig Lile,9,145996
137,138,138,Andrew Buckle,10,143280
138,139,139,David Toms,5,142860
139,140,140,Jason Dufner,9,141595
140,141,141,Greg Owen,9,136350
141,142,142,Nick O'Hern,6,133926
142,143,143,Chris Tidland,8,133238
143,144,144,Ángel Cabrera,5,133188
144,145,145,Joey Sindelar,6,132900
145,146,146,Tom Pernice Jr.,9,126402
146,147,147,John Huston,7,124496
147,148,148,Nick Flanagan,4,122029
148,149,149,D.J. Brigman,8,116333
149,150,150,Steve Marino,10,115937
150,151,151,Jay Williamson,8,103077
151,152,152,Retief Goosen,4,102870
152,153,153,Lee Westwood,2,101000
153,154,154,Ryan Palmer,9,100930
154,155,155,Matt Kuchar,7,100370
155,156,156,Fred Funk,6,94823
156,157,157,Rocco Mediate,8,94150
157,158,158,Harrison Frazar,11,93720
158,159,159,Richard Green,3,92750
159,160,160,Jay Delsing,6,92488
160,161,161,Todd Fischer,2,92000
161,162,162,Richard Johnson,9,91870
162,163,163,Craig Kanada,11,91470
163,164,164,Craig Barlow,7,89604
164,165,165,Paul Goydos,4,88400
165,166,166,Ben Crane,3,88329
166,167,167,Niclas Fasth,2,87100
167,168,168,Corey Pavin,5,85943
168,169,169,Brian Bateman,8,84055
169,170,170,Tripp Isenhour,10,81479
170,171,171,Bob Tway,11,80483
171,172,172,Henrik Stenson,6,80235
172,173,173,Kyle Reifers,9,79151
173,174,174,Carlos Franco,4,75000
174,175,175,Eric Axley,10,74786
175,176,176,Craig Bowden,9,72805
176,177,177,Doug LaBelle II,11,71578
177,178,178,Kirk Triplett,7,71222
178,179,179,Jason Schultz,9,69857
179,180,180,Scott Gutschewski,9,69580
180,181,181,Paul Casey,2,69350
181,182,182,Colin Montgomerie,2,68850
182,183,183,Phil Tataurangi,4,68000
183,184,184,José Coceres,7,67470
184,185,185,Paul McGinley,2,65025
185,186,186,Michael Boyd,9,63689
186,187,187,Billy Andrade,7,63150
187,188,188,Brett Quigley,4,62685
188,189,189,Paul Gow,9,61835
189,190,190,Duffy Waldorf,8,61093
190,191,191,Steve Allan,4,60400
191,192,192,Arjun Atwal,3,60018
192,193,193,Shingo Katayama,2,59736
193,194,194,Todd Hamilton,7,58410
194,195,195,Ted Purdy,11,56561
195,196,196,Darren Clarke,2,55600
196,197,197,John Daly,7,54823
197,198,198,Matt Hendrix,9,53521
198,199,199,Andy Bare,1,52143
199,200,200,Paul Stankowski,2,52000
200,201,201,Jeff Brehaut,9,51567
201,202,202,Peter Hanson,1,51000
202,203,203,Neal Lancaster,8,50123
203,204,204,Steve Wheatcroft,9,49980
204,205,205,Grant Waite,6,49335
205,T206,T206,Brent Geiberger,7,47900
206,T206,T206,Robert Karlsson,2,47900
207,208,208,Graeme Storm,2,47150
208,209,209,Stephen Leaney,7,46033
209,210,210,Gavin Coles,10,45882
210,T211,T211,Michael Campbell,2,44500
211,T211,T211,Thongchai Jaidee,2,44500
212,213,213,Ben Curtis,7,44120
213,T214,T214,Jeev Milkha Singh,2,42000
214,T214,T214,Richard Sterne,2,42000
215,216,216,Jaco Van Zyl,9,40465
216,217,217,Mark Brooks,7,40395
217,218,218,Y.E. Yang,2,39500
218,219,219,Glen Day,9,37067
219,T220,T220,David Howell,2,36750
220,T220,T220,WC Liang,2,36750
221,222,222,Michael Putnam,10,35570
222,223,223,Grégory Havret,2,33500
223,224,224,José Manuel Lara,1,32250
224,T225,T225,Anton Haig,1,31750
225,T225,T225,Raphael Jacquelin,2,31750
226,227,227,Russ Cochran,1,31275
227,228,228,José María Olazábal,2,30750
228,229,229,Bubba Dickerson,8,29010
229,230,230,Colt Knost,3,27483
230,231,231,Lee Janzen,6,26280
231,232,232,Tom Johnson,9,26179
232,233,233,"Jim Gallagher, Jr.",5,25255
233,234,234,Jim Rutledge,8,21231
234,235,235,Spike McRoy,6,18280
235,236,236,Robert Damron,4,18060
236,237,237,Jim McGovern,2,15178
237,238,238,Thomas Bjørn,1,13650
238,T239,T239,Tom Lehman,4,13050
239,T239,T239,Mike Small,1,13050
240,241,241,Ryan Benzel,1,12900
241,T242,T242,Bill Lunde,1,12093
242,T242,T242,Darron Stiles,9,12093
243,244,244,Michael Bradley,4,11000
244,245,245,David Duval,2,10878
245,246,246,Tom Byrum,6,9810
246,247,247,Olin Browne,5,9100
247,248,248,Ryan Blaum,1,8800
248,249,249,Willie Wood,4,8700
249,250,250,Paul Trittler,1,7640
250,251,251,Oliver Thomson,1,7630
251,252,252,Guy Boros,2,7269
252,253,253,Bob Burns,2,7245
253,T254,T254,Larry Mize,5,6540
254,T254,T254,Jerry Smith,9,6540
255,256,256,Chris Couch,8,5940
256,257,257,Notah Begay III,3,5610
