,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Tiger Woods,3042667
1,2,2,Steve Stricker,2055000
2,3,3,Phil Mickelson,1620150
3,4,4,Steve Flesch,1291314
4,5,5,Justin Leonard,1271645
5,6,6,Brandt Snedeker,1154833
6,7,7,Mark Calcavecchia,1005113
7,8,8,George McNeill,925793
8,9,9,Billy Mayfair,807892
9,10,10,Sean O'Hair,800648
10,11,11,Jeff Overton,752866
11,12,12,Brett Wetterich,749654
12,13,13,Chad Campbell,748560
13,14,14,Zach Johnson,734717
14,15,15,Heath Slocum,711925
15,16,16,Michael Allen,704655
16,17,17,Arron Oberholser,659124
17,18,18,John Mallinger,618762
18,19,19,Robert Garrigus,590990
19,20,20,Scott Verplank,579663
20,21,21,Johnson Wagner,571833
21,22,22,Cameron Beckman,560196
22,23,23,Tim Petrovic,557003
23,24,24,Stewart Cink,537335
24,25,25,Bo Van Pelt,491942
25,26,26,D.J. Trahan,467783
26,27,27,Jonathan Byrd,441714
27,28,28,Bill Haas,425277
28,29,29,Robert Gamez,424420
29,30,30,Rich Beem,417602
30,31,31,Boo Weekley,416619
31,32,32,Jason Gore,409009
32,33,33,Hunter Mahan,408188
33,34,34,Charley Hoffman,406143
34,35,35,Kent Jones,405618
35,36,36,Chris Stroud,403561
36,37,37,Woody Austin,396176
37,38,38,Ken Duke,369269
38,39,39,Jim Furyk,355780
39,40,40,Lucas Glover,354536
40,41,41,Ryan Armour,346461
41,42,42,Jerry Kelly,335962
42,43,43,Briny Baird,334283
43,44,44,Parker McLachlin,324550
44,45,45,Dean Wilson,321866
45,46,46,Tommy Armour III,298045
46,47,47,Nick Watney,287488
47,48,48,Charles Warren,286804
48,49,49,Ryan Moore,285391
49,50,50,Tag Ridings,275340
50,51,51,Pat Perez,259760
51,52,52,John Rollins,253587
52,53,53,David Branshaw,253138
53,54,54,Brian Gay,248164
54,55,55,Kevin Stadler,238975
55,56,56,Charles Howell III,238242
56,57,57,Bob Estes,237732
57,58,58,Bryce Molder,234143
58,59,59,Dicky Pride,225568
59,60,60,J.P. Hayes,221015
60,61,61,Vaughn Taylor,218812
61,62,62,Cliff Kresge,215653
62,63,63,Troy Matteson,212333
63,64,64,Will MacKenzie,210427
64,65,65,Jeff Maggert,209630
65,66,66,Greg Kraft,199840
66,67,67,Mark Wilson,188782
67,68,68,Marco Dawson,186635
68,69,69,Chris Riley,186415
69,70,70,Jeff Quinney,183627
70,71,71,Shaun Micheel,180558
71,72,72,Joe Ogilvie,180473
72,73,73,Frank Lickliter II,178254
73,74,74,Jeff Gove,176355
74,75,75,J.J. Henry,175600
75,76,76,Bart Bryant,173571
76,77,77,J.B. Holmes,171960
77,78,78,Bob May,171205
78,79,79,Bubba Watson,161172
79,80,80,Tim Herron,157995
80,81,81,Garrett Willis,157292
81,82,82,John Merrick,155198
82,83,83,Bob Heintz,150875
83,84,84,Dan Forsman,150165
84,85,85,Kevin Na,147192
85,86,86,Steve Lowery,146158
86,87,87,Joe Durant,144729
87,88,88,Jason Dufner,135055
88,89,89,Chris Tidland,133238
89,90,90,Joey Sindelar,132900
90,91,91,Anthony Kim,131901
91,92,92,Tom Pernice Jr.,119562
92,93,93,D.J. Brigman,116333
93,94,94,John Huston,111896
94,95,95,Steve Marino,110327
95,96,96,Ryan Palmer,100930
96,97,97,Matt Kuchar,100370
97,98,98,Rocco Mediate,94150
98,99,99,Harrison Frazar,93720
99,100,100,Craig Kanada,91470
100,101,101,Jay Williamson,90477
101,102,102,Ben Crane,88329
102,103,103,Kenny Perry,87283
103,104,104,Jay Delsing,86308
104,105,105,David Toms,85260
105,106,106,Kevin Sutherland,76820
106,107,107,Tripp Isenhour,75299
107,108,108,Kyle Reifers,73391
108,109,109,Doug LaBelle II,71578
109,110,110,Kirk Triplett,71222
110,111,111,Scott Gutschewski,69580
111,112,112,Eric Axley,69026
112,113,113,Craig Barlow,66204
113,114,114,Michael Boyd,63689
114,115,115,Billy Andrade,63150
115,116,116,Jason Schultz,62589
116,117,117,Fred Funk,61323
117,118,118,Duffy Waldorf,61093
118,119,119,Craig Bowden,60205
119,120,120,Bob Tway,56218
120,121,121,Paul Goydos,55775
121,122,122,Matt Hendrix,53521
122,123,123,Steve Wheatcroft,49980
123,124,124,Rich Barcelo,49803
124,125,125,Ted Purdy,49293
125,126,126,Brett Quigley,49035
126,127,127,Jeff Brehaut,44299
127,128,128,Neal Lancaster,43583
128,129,129,Brent Geiberger,41870
129,130,130,Mark Brooks,40395
130,131,131,Corey Pavin,39893
131,132,132,Glen Day,37067
132,133,133,Brian Bateman,36195
133,134,134,Michael Putnam,35570
134,135,135,Todd Hamilton,32510
135,136,136,Russ Cochran,31275
136,137,137,Bubba Dickerson,29010
137,138,138,Lee Janzen,26280
138,139,139,"Jim Gallagher, Jr.",25255
139,140,140,Davis Love III,24500
140,141,141,John Daly,20073
141,142,142,Tom Johnson,18910
142,143,143,Spike McRoy,18280
143,144,144,Robert Damron,18060
144,145,145,Ben Curtis,12870
145,146,146,Darron Stiles,12093
146,147,147,Michael Bradley,11000
147,148,148,David Duval,10878
148,149,149,Tom Byrum,9810
149,150,150,Olin Browne,9100
150,151,151,Willie Wood,8700
151,152,152,Jim McGovern,8638
152,153,153,Bob Burns,7245
