,Scoring_Rating_RANK THIS WEEK,Scoring_Rating_RANK LAST WEEK,Scoring_Rating_PLAYER NAME,Scoring_Rating_EVENTS,Scoring_Rating_RATING
0,1,1,Tiger Woods,11,9.0
1,2,2,Andy Bare,1,8.9
2,2,2,Andres Romero,1,8.9
3,2,2,Tom Watson,1,8.9
4,5,5,Phil Mickelson,13,8.6
5,6,6,K.J. Choi,15,8.5
6,6,6,Nick Flanagan,2,8.5
7,6,6,Steve Stricker,15,8.5
8,9,9,Jonathan Byrd,12,8.4
9,9,9,Tim Clark,12,8.4
10,9,9,Ernie Els,11,8.4
11,9,9,Todd Fischer,2,8.4
12,9,9,Tadd Fujikawa,1,8.4
13,9,9,Sergio Garcia,14,8.4
14,9,9,Freddie Jacobson,15,8.4
15,9,9,Rory Sabbatini,15,8.4
16,9,9,Phil Tataurangi,2,8.4
17,9,9,Scott Verplank,14,8.4
18,9,9,Camilo Villegas,15,8.4
19,20,20,Thomas Bjørn,1,8.3
20,20,20,Russ Cochran,1,8.3
21,20,20,Niclas Fasth,2,8.3
22,20,20,Jim Furyk,16,8.3
23,20,20,Lucas Glover,18,8.3
24,20,20,Greg Kraft,5,8.3
25,20,20,Franklin Langham,1,8.3
26,20,20,Billy Mayfair,16,8.3
27,20,20,Sean O'Hair,19,8.3
28,20,20,Jesper Parnevik,15,8.3
29,20,20,Vijay Singh,21,8.3
30,20,20,Paul Stankowski,6,8.3
31,20,20,Chris Stroud,9,8.3
32,20,20,Bo Van Pelt,22,8.3
33,20,20,Bubba Watson,12,8.3
34,35,35,Robert Allenby,17,8.2
35,35,35,Arjun Atwal,6,8.2
36,35,35,Aaron Baddeley,16,8.2
37,35,35,Mark Calcavecchia,16,8.2
38,35,35,Alejandro Cañizares,1,8.2
39,35,35,Alex Cejka,16,8.2
40,35,35,Stewart Cink,17,8.2
41,35,35,Luke Donald,11,8.2
42,35,35,Steve Elkington,16,8.2
43,35,35,Bob Estes,15,8.2
44,35,35,Harrison Frazar,10,8.2
45,35,35,Zach Johnson,14,8.2
46,35,35,Anthony Kim,18,8.2
47,35,35,Stephen Leaney,15,8.2
48,35,35,Tom Lehman,10,8.2
49,35,35,George McNeill,16,8.2
50,35,35,Arron Oberholser,13,8.2
51,35,35,Joe Ogilvie,18,8.2
52,35,35,Geoff Ogilvy,15,8.2
53,35,35,Jeff Overton,11,8.2
54,35,35,Pat Perez,13,8.2
