,Last_5_Events_-_Accuracy_RANK THIS WEEK,Last_5_Events_-_Accuracy_RANK LAST WEEK,Last_5_Events_-_Accuracy_PLAYER NAME,Last_5_Events_-_Accuracy_EVENTS,Last_5_Events_-_Accuracy_RATING
0,1,1,Tom Watson,1,8.7
1,T2,T2,Gavin Coles,1,8.5
2,T2,T2,Joe Durant,4,8.5
3,T2,T2,J.J. Henry,2,8.5
4,T5,T5,Robert Gamez,2,8.4
5,T5,T5,Brian Gay,3,8.4
6,T5,T5,Omar Uresti,1,8.4
7,8,8,"David Berganio, Jr.",1,8.3
8,T9,T9,Jim Furyk,4,8.2
9,T9,T9,Justin Leonard,4,8.2
10,T9,T9,Steve Stricker,4,8.2
11,T9,T9,Phil Tataurangi,2,8.2
12,T13,T14,John Cook,1,8.1
13,T13,T14,Tadd Fujikawa,1,8.1
14,T13,T9,Tiger Woods,3,8.1
15,16,16,Anders Hansen,1,8.0
16,T17,T17,Ken Duke,5,7.9
17,T17,T17,Shaun Micheel,2,7.9
18,T17,T17,Heath Slocum,3,7.9
19,T20,T20,George McNeill,3,7.8
20,T20,T20,Joey Sindelar,2,7.8
21,T22,T23,Mark Brooks,2,7.7
22,T22,T23,Tim Clark,4,7.7
23,T22,T23,Kent Jones,4,7.7
24,T22,T23,Robert Karlsson,1,7.7
25,T22,T23,Hunter Mahan,3,7.7
26,T22,T23,Bo Van Pelt,5,7.7
27,T28,T30,Billy Hurley III,1,7.6
28,T28,T23,Zach Johnson,2,7.6
29,T28,T30,Craig Kanada,2,7.6
30,T28,T30,Bernhard Langer,4,7.6
31,T28,T30,Andres Romero,1,7.6
32,T28,T30,Jeff Sluman,3,7.6
33,T34,T35,Tommy Armour III,3,7.5
34,T34,T35,Ryan Armour,5,7.5
35,T34,T35,Cameron Beckman,5,7.5
36,T34,T35,Fred Funk,3,7.5
37,T34,T35,Bob Heintz,1,7.5
38,T34,T35,Freddie Jacobson,5,7.5
39,T34,T35,Larry Mize,1,7.5
40,T34,T35,Kenny Perry,3,7.5
41,T42,T43,Robert Allenby,2,7.4
42,T42,T43,Billy Andrade,4,7.4
43,T42,T43,Chad Campbell,5,7.4
44,T42,T43,Alejandro Cañizares,1,7.4
45,T42,T43,Brian Henninger,1,7.4
46,T42,T43,Davis Love III,2,7.4
47,T42,T43,Jeff Maggert,3,7.4
48,T42,T43,John Mallinger,4,7.4
49,T42,T43,Bob May,2,7.4
50,T42,T43,Ian Poulter,2,7.4
51,T42,T43,Chris Stroud,4,7.4
52,T42,T43,D.J. Trahan,2,7.4
53,T42,T43,Charlie Wi,4,7.4
54,T55,T56,Stephen Ames,4,7.3
55,T55,T56,Craig Barlow,3,7.3
56,T55,T56,John Bickerton,1,7.3
57,T55,T56,Michael Boyd,3,7.3
58,T55,T56,José Coceres,1,7.3
59,T55,T56,Ben Curtis,1,7.3
60,T55,T56,Ernie Els,4,7.3
61,T55,T56,Steve Flesch,4,7.3
62,T55,T56,Charley Hoffman,3,7.3
63,T55,T56,Carl Pettersson,4,7.3
64,T55,T56,Brett Quigley,2,7.3
65,T55,T56,Scott Verplank,4,7.3
66,T55,T56,Camilo Villegas,3,7.3
67,T55,T56,Dean Wilson,4,7.3
68,T69,T70,Chris Baryla,1,7.2
69,T69,T70,Shane Bertsch,3,7.2
70,T69,T70,Bart Bryant,5,7.2
71,T69,T70,Steve Elkington,2,7.2
