,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Tiger Woods,16,81.39,23033,28300,2.0,3.0
1,2,2,Phil Mickelson,22,40.13,11358,28300,1.0,2.0
2,3,3,Steve Stricker,23,38.89,14505,37300,1.0,3.0
3,4,4,Aaron Baddeley,23,22.25,8300,37300,,2.0
4,5,5,Rory Sabbatini,23,21.29,7943,37300,,4.0
5,6,6,Mark Calcavecchia,28,19.62,7319,37300,,2.0
6,7,7,K.J. Choi,25,16.8,6265,37300,,1.0
7,8,8,Arron Oberholser,21,15.83,4273,27000,,1.0
8,9,9,Zach Johnson,23,15.75,5873,37300,,1.0
9,10,10,Sergio Garcia,19,14.15,5277,37300,,2.0
10,11,11,Camilo Villegas,24,13.42,5008,37300,,3.0
11,12,12,Geoff Ogilvy,22,12.78,4768,37300,,2.0
12,13,13,Tim Clark,19,12.0,4475,37300,,2.0
13,14,14,Adam Scott,19,11.89,4434,37300,,1.0
14,15,15,Brett Wetterich,28,11.86,4424,37300,,1.0
15,16,16,Ernie Els,16,11.07,3133,28300,,1.0
16,17,17,Justin Rose,16,10.68,3984,37300,,1.0
17,18,18,Rich Beem,29,10.47,1885,18000,,1.0
18,19,19,Scott Verplank,23,9.58,2712,28300,,1.0
19,20,20,Ian Poulter,18,9.44,2550,27000,,2.0
20,21,21,Hunter Mahan,27,8.57,3196,37300,,1.0
21,22,22,Stewart Cink,25,8.44,3147,37300,,1.0
22,23,23,Robert Garrigus,28,8.08,1454,18000,,1.0
23,24,24,Bob Heintz,27,8.06,725,9000,,
24,25,25,Robert Allenby,28,7.87,2934,37300,,1.0
25,26,26,Freddie Jacobson,20,7.58,1364,18000,,1.0
26,27,27,Woody Austin,27,7.39,2757,37300,,
27,28,28,Jim Furyk,23,6.76,2522,37300,,
28,29,29,Steve Flesch,31,6.64,1195,18000,,
29,30,30,Lucas Glover,29,6.57,1775,27000,,
30,31,31,Sean O'Hair,28,6.34,1713,27000,,1.0
31,32,32,Heath Slocum,28,6.25,2331,37300,,
32,33,33,Nathan Green,29,6.12,1652,27000,,
33,34,34,Ryan Armour,32,6.0,540,9000,,
34,35,35,Jonathan Byrd,23,5.93,2211,37300,,1.0
35,36,36,Jerry Kelly,28,5.85,1580,27000,,1.0
36,37,37,Troy Matteson,26,5.62,1517,27000,,1.0
37,38,38,Vijay Singh,27,5.53,2064,37300,,1.0
38,39,39,Padraig Harrington,18,5.04,1425,28300,,
39,40,40,Charlie Wi,27,5.0,900,18000,,
40,41,41,Carl Pettersson,31,4.8,1297,27000,,1.0
41,42,42,John Mallinger,29,4.77,1288,27000,,
42,43,43,Cliff Kresge,30,4.39,790,18000,,
43,44,44,Ryuji Imada,32,3.95,1067,27000,,
44,45,45,Jason Dufner,32,3.89,350,9000,,
45,46,46,Brandt Snedeker,29,3.77,1407,37300,,
46,47,47,George McNeill,30,3.76,677,18000,,
47,48,48,Charles Howell III,26,3.49,1301,37300,,
48,49,49,Bo Van Pelt,30,3.26,881,27000,,
49,50,50,Boo Weekley,29,3.21,1199,37300,,
50,51,51,Anthony Kim,26,3.12,842,27000,,
51,52,52,Tim Petrovic,32,3.0,540,18000,,
52,53,53,Ryan Moore,28,2.92,789,27000,,
53,54,54,Jason Gore,27,2.89,520,18000,,
54,55,55,Ángel Cabrera,14,2.64,712,27000,,
