,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Paul Casey,10,3986,1719.0
1,2,2,Niclas Fasth,10,3298,1697.0
2,3,3,Jay Williamson,8,3237,
3,4,4,Andres Romero,3,2749,879.0
4,5,5,Robert Karlsson,13,2135,694.0
5,6,6,Richard Green,4,1571,245.0
6,7,7,Nick Dougherty,3,959,
7,8,8,Simon Dyson,1,921,
8,9,9,Thomas Bjørn,6,764,642.0
9,10,10,Paul McGinley,5,728,116.0
10,11,11,Miguel Angel Jiménez,5,678,86.0
11,12,12,Jeev Milkha Singh,12,624,330.0
12,13,13,Paul Broadhurst,2,584,77.0
13,14,14,Colin Montgomerie,9,579,422.0
14,T15,T15,Markus Brier,2,507,
15,T15,T15,Pelle Edberg,1,507,
16,17,17,Shingo Katayama,7,488,210.0
17,18,18,Peter Hanson,3,443,
18,19,19,Alejandro Cañizares,3,428,
19,20,20,Y.E. Yang,9,410,199.0
20,21,21,Charl Schwartzel,6,396,116.0
21,22,22,Todd Fischer,4,393,
22,23,23,Johan Edfors,8,390,163.0
23,24,24,Bradley Dredge,4,347,262.0
24,25,25,Thongchai Jaidee,3,335,335.0
25,26,26,Michael Campbell,9,333,210.0
26,27,27,Andy Bare,1,261,
27,28,28,Anton Haig,2,204,204.0
28,29,29,Kyle Thompson,1,195,
29,30,30,Graeme McDowell,3,194,
30,31,31,Pablo Martin Benavides,6,167,
31,32,32,Franklin Langham,1,142,
32,33,33,Mark Foster,1,130,
33,34,34,Graeme Storm,3,111,52.0
34,35,35,Raphael Jacquelin,3,106,48.0
35,36,36,Kenneth Ferrie,2,102,
36,37,37,Fabrizio Zanotti,1,93,
37,38,38,Ross Bain,1,83,
38,39,39,Andrew Ruthkoski,2,82,
39,40,40,Marcus Fraser,1,79,
40,41,41,Kelly Mitchum,4,76,
41,42,42,Kaname Yokoo,2,75,
42,43,43,Won Joon Lee,1,70,
43,44,44,Grégory Bourdy,1,64,
44,T45,T45,John Bickerton,2,63,63.0
45,T45,T45,Louis Oosthuizen,1,63,63.0
46,47,47,Yusaku Miyazato,1,63,
47,48,48,Richard Sterne,3,62,62.0
48,49,49,Toru Taniguchi,4,60,
49,50,50,Jon Bevan,1,59,
50,51,51,Ricky Barnes,2,57,
51,T52,T52,Tom Gillis,2,57,
52,T52,T52,Lee Williams,2,57,
53,54,54,Alastair Forsyth,1,56,
54,T55,T55,WC Liang,2,56,56.0
55,T55,T55,Hennie Otto,1,56,56.0
56,57,57,Brady Schnell,1,56,
57,T58,T58,Fredrik Andersson Hed,1,55,
58,T58,T58,Mike Small,2,55,
59,60,60,Anthony Wall,4,55,55.0
60,61,61,Ryan Benzel,1,54,
61,62,62,David Hearn,1,54,
62,63,63,Prom Meesawat,1,53,53.0
63,64,64,Bronson La'Cassie,1,53,
64,65,65,Hideto Tanihara,4,53,53.0
65,T66,T66,Joe Daley,2,52,
66,T66,T66,Azuma Yano,1,52,
67,68,68,Grégory Havret,3,52,52.0
68,69,69,Matt Every,2,52,
69,70,70,Mike Grob,1,51,
70,71,71,Alan Morin,1,50,
71,72,72,José Manuel Lara,2,49,49.0
72,73,73,Todd Demsey,1,49,
73,74,74,Chris Baryla,1,49,
74,75,75,Martin Rominger,1,46,
75,76,76,Ryan Blaum,1,44,
76,77,77,Esteban Toledo,2,44,
77,78,78,Tony Finau,1,25,
