,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Jay Williamson,8,3237
1,2,2,Paul Casey,10,2267
2,3,3,Andres Romero,3,1870
3,4,4,Niclas Fasth,10,1601
4,5,5,Robert Karlsson,13,1440
5,6,6,Richard Green,4,1326
6,7,7,Nick Dougherty,3,959
7,8,8,Simon Dyson,1,921
8,9,9,Paul McGinley,5,613
9,10,10,Miguel Angel Jiménez,5,592
10,T11,T11,Markus Brier,2,507
11,T11,T11,Paul Broadhurst,2,507
12,T11,T11,Pelle Edberg,1,507
13,14,14,Peter Hanson,3,443
14,15,15,Alejandro Cañizares,3,428
15,16,16,Todd Fischer,4,393
16,17,17,Jeev Milkha Singh,12,294
17,18,18,Charl Schwartzel,6,281
18,19,19,Shingo Katayama,7,278
19,20,20,Andy Bare,1,261
20,21,21,Johan Edfors,8,227
21,22,22,Y.E. Yang,9,211
22,23,23,Kyle Thompson,1,195
23,24,24,Graeme McDowell,3,194
24,25,25,Pablo Martin Benavides,6,167
25,26,26,Colin Montgomerie,9,157
26,27,27,Franklin Langham,1,142
27,28,28,Mark Foster,1,130
28,29,29,Michael Campbell,9,122
29,30,30,Thomas Bjørn,6,122
30,31,31,Kenneth Ferrie,2,102
31,32,32,Fabrizio Zanotti,1,93
32,33,33,Bradley Dredge,4,85
33,34,34,Ross Bain,1,83
34,35,35,Andrew Ruthkoski,2,82
35,36,36,Marcus Fraser,1,79
36,37,37,Kelly Mitchum,4,76
37,38,38,Kaname Yokoo,2,75
38,39,39,Won Joon Lee,1,70
39,40,40,Grégory Bourdy,1,64
40,41,41,Yusaku Miyazato,1,63
41,42,42,Toru Taniguchi,4,60
42,T43,T43,Jon Bevan,1,59
43,T43,T43,Graeme Storm,3,59
44,45,45,Raphael Jacquelin,3,57
45,46,46,Ricky Barnes,2,57
46,T47,T47,Tom Gillis,2,57
47,T47,T47,Lee Williams,2,57
48,49,49,Alastair Forsyth,1,56
49,50,50,Brady Schnell,1,56
50,T51,T51,Fredrik Andersson Hed,1,55
51,T51,T51,Mike Small,2,55
52,53,53,Ryan Benzel,1,54
53,54,54,David Hearn,1,54
54,55,55,Bronson La'Cassie,1,53
55,T56,T56,Joe Daley,2,52
56,T56,T56,Azuma Yano,1,52
57,58,58,Matt Every,2,52
58,59,59,Mike Grob,1,51
59,60,60,Alan Morin,1,50
60,61,61,Todd Demsey,1,49
61,62,62,Chris Baryla,1,49
62,63,63,Martin Rominger,1,46
63,64,64,Ryan Blaum,1,44
64,65,65,Esteban Toledo,2,44
65,66,66,Tony Finau,1,25
