,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,1,Tiger Woods,16,49.77,30574,61425,5.0,9.0
1,2,2,Phil Mickelson,22,19.11,16037,83925,2.0,5.0
2,3,3,Jim Furyk,23,18.92,16691,88200,1.0,8.0
3,4,4,Vijay Singh,27,17.97,19129,106425,2.0,6.0
4,5,5,Adam Scott,19,15.9,11196,70425,1.0,5.0
5,6,6,K.J. Choi,25,15.89,15485,97425,2.0,6.0
6,7,7,Justin Rose,16,15.46,8698,56250,,6.0
7,8,8,Rory Sabbatini,23,15.32,13548,88425,1.0,6.0
8,9,9,Zach Johnson,23,15.09,13341,88425,2.0,4.0
9,10,10,Sergio Garcia,19,14.98,10547,70425,,5.0
10,11,11,Ernie Els,16,14.62,8980,61425,,4.0
11,12,12,Henrik Stenson,15,12.81,6718,52425,1.0,2.0
12,13,13,Scott Verplank,23,12.77,10691,83700,1.0,8.0
13,14,14,Padraig Harrington,18,12.47,8783,70425,1.0,3.0
14,15,15,Charles Howell III,26,12.45,12126,97425,1.0,5.0
15,16,16,Steve Stricker,23,12.01,10621,88425,,6.0
16,17,17,Ángel Cabrera,14,11.54,5997,51975,1.0,1.0
17,18,18,Aaron Baddeley,23,11.2,9402,83925,1.0,5.0
18,19,19,Luke Donald,20,10.92,8676,79425,,5.0
19,20,20,Tim Clark,19,10.8,6342,58725,,3.0
20,21,21,Brandt Snedeker,29,10.64,11870,111600,1.0,6.0
21,22,22,Woody Austin,27,10.42,10483,100575,1.0,3.0
22,23,23,Geoff Ogilvy,22,10.27,8623,83925,,5.0
23,24,24,Mark Calcavecchia,28,9.96,8966,90000,1.0,4.0
24,25,25,José Coceres,17,9.66,4870,50400,,3.0
25,26,26,Hunter Mahan,27,9.65,10185,105525,1.0,5.0
26,27,27,David Toms,22,9.33,8251,88425,,7.0
27,28,28,Boo Weekley,29,9.29,9591,103275,1.0,4.0
28,29,29,John Rollins,29,9.12,9708,106425,,4.0
29,30,30,Jonathan Byrd,23,8.93,7757,86850,1.0,3.0
30,31,31,Brian Bateman,18,8.51,4843,56925,1.0,1.0
31,32,32,Greg Kraft,10,8.48,1335,15750,,1.0
32,33,33,Robert Allenby,28,8.11,7536,92925,,7.0
33,34,34,Stewart Cink,25,8.01,7080,88425,,5.0
34,35,35,Bernhard Langer,14,7.98,4917,61650,,4.0
35,36,36,Heath Slocum,28,7.67,6801,88650,,4.0
36,37,37,Trevor Immelman,21,7.52,6309,83925,,4.0
37,38,38,Nick Watney,26,7.34,6420,87525,1.0,2.0
38,39,39,Stuart Appleby,24,7.32,6799,92925,,3.0
39,40,40,Bubba Watson,26,7.21,6589,91350,,5.0
40,41,41,Mark Wilson,25,7.17,6225,86850,1.0,2.0
41,42,42,Jerry Kelly,28,7.05,6679,94725,,6.0
42,43,43,Rocco Mediate,22,6.97,4767,68400,,3.0
43,44,44,Jeff Overton,19,6.96,2977,42750,,2.0
44,45,45,Paul Goydos,19,6.86,5267,76725,1.0,1.0
45,46,46,Kevin Sutherland,25,6.61,5888,89100,,3.0
46,47,47,Jeff Quinney,29,6.5,6053,93150,,5.0
47,48,48,Retief Goosen,14,6.48,3688,56925,,1.0
48,49,49,Pat Perez,27,6.3,6212,98550,,5.0
49,T50,T50,Ken Duke,31,6.27,6436,102600,,4.0
50,T50,T50,Anthony Kim,26,6.27,6013,95850,,4.0
51,52,52,Ian Poulter,18,6.15,4334,70425,,3.0
52,T53,T53,Billy Mayfair,30,5.95,6109,102600,,5.0
53,T53,T53,Camilo Villegas,24,5.95,5329,89550,,3.0
54,55,55,Nick O'Hern,22,5.93,4980,83925,,3.0
55,56,56,Charley Hoffman,30,5.89,5941,100800,1.0,1.0
56,57,57,Arron Oberholser,21,5.71,4538,79425,,4.0
57,T58,T58,Stephen Ames,23,5.7,4787,83925,,3.0
58,T58,T58,John Senden,27,5.7,5729,100575,,3.0
59,60,60,Carl Pettersson,31,5.67,6012,105975,,3.0
60,61,61,Ryan Moore,28,5.59,5383,96300,,2.0
61,62,62,Fred Funk,22,5.57,4501,80775,1.0,2.0
62,63,63,Lucas Glover,29,5.49,5954,108450,,3.0
63,64,64,Rod Pampling,25,5.45,5559,101925,,2.0
64,65,65,Freddie Jacobson,20,5.39,3176,58950,,3.0
65,66,66,Brett Wetterich,28,5.33,5430,101925,,3.0
66,67,67,Kenny Perry,24,5.28,4926,93375,,3.0
67,68,68,Bart Bryant,25,5.16,4271,82800,,2.0
68,69,69,Vaughn Taylor,28,5.14,4868,94725,,3.0
69,70,70,John Mallinger,29,5.09,4600,90450,,3.0
70,71,71,Troy Matteson,26,5.07,4986,98325,,2.0
71,72,72,Tom Lehman,19,5.05,3702,73350,,3.0
72,73,73,Brian Davis,28,5.01,4442,88650,,2.0
73,74,74,Stephen Leaney,26,4.93,4596,93150,,2.0
74,75,75,Nathan Green,29,4.87,5115,105075,,2.0
