,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,T1,T1,Robert Allenby,28,9,,2.0,1.0
1,T1,T1,Jim Furyk,26,9,,1.0,2.0
2,T3,T3,Anthony Kim,22,8,2.0,1.0,3.0
3,T3,T3,Justin Leonard,25,8,1.0,1.0,
4,T3,T3,Phil Mickelson,21,8,2.0,1.0,1.0
5,T3,T3,Vijay Singh,23,8,3.0,2.0,1.0
6,T3,T3,Mike Weir,26,8,,2.0,
7,T8,T8,Stephen Ames,24,7,,,1.0
8,T8,T8,Stuart Appleby,23,7,,1.0,
9,T8,T8,Chad Campbell,28,7,,1.0,2.0
10,T8,T8,Stewart Cink,23,7,1.0,2.0,2.0
11,T8,T8,Kenny Perry,26,7,3.0,1.0,1.0
12,T8,T8,Camilo Villegas,22,7,2.0,,2.0
13,T14,T14,Woody Austin,30,6,,1.0,1.0
14,T14,T14,Sergio Garcia,19,6,1.0,3.0,
15,T14,T14,Brian Gay,31,6,1.0,1.0,
16,T14,T14,Padraig Harrington,15,6,2.0,,1.0
17,T14,T14,Dudley Hart,22,6,,1.0,1.0
18,T14,T14,Steve Marino,32,6,,1.0,2.0
19,T14,T14,Geoff Ogilvy,20,6,1.0,1.0,
20,T14,T14,Pat Perez,27,6,,,
21,T14,T14,Tom Pernice Jr.,30,6,,,
22,T14,T14,Steve Stricker,22,6,,1.0,
23,T14,T14,Kevin Sutherland,26,6,,2.0,
24,T14,T14,Nicholas Thompson,36,6,,1.0,
25,T14,T14,Tiger Woods,6,6,4.0,1.0,
26,T27,T27,Tommy Armour III,25,5,,1.0,1.0
27,T27,T27,K.J. Choi,21,5,1.0,,
28,T27,T27,Ben Curtis,22,5,,2.0,
29,T27,T27,Ken Duke,33,5,,2.0,
30,T27,T27,Ernie Els,16,5,1.0,,1.0
31,T27,T27,Mathew Goggin,27,5,,1.0,2.0
32,T27,T27,Ryuji Imada,25,5,1.0,2.0,1.0
33,T27,T27,Matt Kuchar,27,5,,1.0,1.0
34,T27,T27,Michael Letzig,29,5,,1.0,
35,T27,T27,Hunter Mahan,27,5,,1.0,
36,T27,T27,Troy Matteson,30,5,,1.0,
37,T27,T27,Rod Pampling,28,5,,1.0,1.0
38,T27,T27,Carl Pettersson,29,5,1.0,,
39,T27,T27,Heath Slocum,29,5,,,
40,T27,T27,Brandt Snedeker,26,5,,,1.0
41,T27,T27,Boo Weekley,24,5,1.0,,
42,T27,T27,Mark Wilson,29,5,,1.0,
43,T44,T44,Steve Allan,21,4,,,1.0
44,T44,T44,Paul Casey,16,4,,,
45,T44,T44,Alex Cejka,25,4,,,
46,T44,T44,Ben Crane,25,4,,,
47,T44,T44,Charles Howell III,31,4,,,1.0
48,T44,T44,Jerry Kelly,31,4,,2.0,1.0
49,T44,T44,Cliff Kresge,28,4,,,1.0
50,T44,T44,John Mallinger,29,4,,,2.0
51,T44,T44,Billy Mayfair,29,4,,2.0,
52,T44,T44,John Merrick,28,4,,,1.0
53,T44,T44,Nick O'Hern,26,4,,,1.0
54,T44,T44,Joe Ogilvie,29,4,,,
55,T44,T44,Henrik Stenson,9,4,,,2.0
56,T44,T44,Kevin Streelman,32,4,,,
57,T44,T44,D.J. Trahan,27,4,1.0,,
58,T44,T44,Charlie Wi,27,4,,1.0,
59,T60,T60,Brad Adamonis,29,3,,1.0,
