,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Tiger Woods,6,14.09,"$5,775,000","$41,000,000"
1,2,2,Vijay Singh,23,4.27,"$6,601,093","$154,661,173"
2,3,3,Padraig Harrington,15,4.06,"$4,313,550","$106,161,173"
3,4,4,Sergio Garcia,19,3.64,"$4,858,222","$133,461,173"
4,5,5,Phil Mickelson,21,3.59,"$5,188,874","$144,461,173"
5,6,6,Anthony Kim,22,3.25,"$4,656,265","$143,361,173"
6,7,7,Camilo Villegas,22,3.02,"$4,422,639","$146,261,173"
7,8,8,Kenny Perry,26,2.93,"$4,663,791","$159,200,000"
8,9,9,Henrik Stenson,9,2.82,"$1,937,992","$68,661,173"
9,10,10,Stewart Cink,23,2.6,"$3,979,299","$152,961,173"
10,11,11,Justin Leonard,25,2.41,"$3,943,539","$163,561,173"
11,12,12,Ernie Els,16,2.24,"$2,537,289","$113,461,173"
12,13,13,Greg Norman,4,2.2,"$509,617","$23,161,173"
13,14,14,Geoff Ogilvy,20,2.11,"$2,880,099","$136,761,173"
14,15,15,Lee Westwood,10,2.06,"$1,550,880","$75,161,173"
15,16,16,Jim Furyk,26,2.02,"$3,455,712","$171,361,173"
16,17,17,Robert Allenby,28,2.0,"$3,606,697","$180,461,173"
17,18,18,Luke Donald,11,1.92,"$1,456,650","$75,800,000"
18,19,19,Ryuji Imada,25,1.91,"$3,029,362","$158,461,173"
19,20,20,K.J. Choi,21,1.88,"$2,683,441","$143,061,173"
20,21,21,Ben Curtis,22,1.87,"$2,615,795","$139,961,173"
21,22,22,Adam Scott,15,1.82,"$1,979,159","$108,761,173"
22,23,23,Mike Weir,26,1.8,"$3,020,134","$167,461,173"
23,24,24,Trevor Immelman,22,1.75,"$2,566,197","$146,861,173"
24,25,25,Dudley Hart,22,1.67,"$2,218,816","$132,600,000"
25,26,26,Kevin Sutherland,26,1.66,"$2,581,307","$155,900,000"
26,27,27,Robert Karlsson,8,1.65,"$985,684","$59,861,173"
27,28,28,Steve Stricker,22,1.63,"$2,438,302","$149,761,173"
28,T29,T29,Stuart Appleby,23,1.6,"$2,484,629","$155,661,173"
29,T29,T29,Rob Grube,1,1.6,"$48,000","$3,000,000"
30,31,31,Ryan Blaum,1,1.55,"$54,250","$3,500,000"
31,32,32,Boo Weekley,24,1.53,"$2,398,750","$156,361,173"
32,33,33,Stephen Ames,24,1.49,"$2,285,705","$153,461,173"
33,34,34,Andres Romero,20,1.48,"$2,064,610","$139,361,173"
34,35,35,Carl Pettersson,29,1.44,"$2,512,535","$174,100,000"
35,T36,T36,Chad Campbell,28,1.42,"$2,404,769","$169,300,000"
36,T36,T36,Darren Clarke,2,1.42,"$220,000","$15,500,000"
37,38,38,Ian Poulter,15,1.38,"$1,488,213","$107,861,173"
38,39,39,D.J. Trahan,27,1.36,"$2,304,366","$169,600,000"
39,T40,T40,Alastair Forsyth,2,1.34,"$194,416","$14,500,000"
40,T40,T40,Sean O'Hair,25,1.34,"$2,089,856","$156,161,173"
41,T42,T42,J.B. Holmes,26,1.3,"$2,166,130","$167,261,173"
