,Money_Leaders_-_Fall_Series_RANK THIS WEEK,Money_Leaders_-_Fall_Series_RANK LAST WEEK,Money_Leaders_-_Fall_Series_PLAYER NAME,Money_Leaders_-_Fall_Series_EVENTS,Money_Leaders_-_Fall_Series_MONEY
132,133,133,Gavin Coles,16,"$32,168"
133,134,134,Parker McLachlin,27,"$30,899"
134,135,135,Chez Reavie,30,"$30,501"
135,136,136,Chris Riley,17,"$29,530"
136,137,137,Heath Slocum,29,"$29,526"
137,138,138,Marco Dawson,21,"$29,476"
138,T139,T139,Fred Couples,18,"$29,058"
139,T139,T139,Hunter Mahan,27,"$29,058"
140,141,141,Jason Allred,23,"$28,643"
141,T142,T142,Dan Forsman,11,"$26,897"
142,T142,T142,Paul Stankowski,13,"$26,897"
143,144,144,Billy Andrade,24,"$26,412"
144,145,145,Jerry Kelly,31,"$26,208"
145,146,146,Ron Whittaker,22,"$25,800"
146,T147,T147,Jeff Quinney,28,"$23,666"
147,T147,T147,Bubba Watson,29,"$23,666"
148,149,149,Dean Wilson,32,"$23,433"
149,150,150,Paul Claxton,23,"$23,355"
150,151,151,Bob Heintz,17,"$22,678"
151,152,152,Cody Freeman,26,"$22,330"
152,153,153,Jim McGovern,26,"$21,245"
153,154,154,Ryan Armour,32,"$21,160"
154,155,155,Jeff Gove,18,"$21,052"
155,156,156,Craig Kanada,23,"$20,248"
156,157,157,Jhonattan Vegas,1,"$19,828"
157,158,158,Richard Johnson,21,"$19,607"
158,T159,T159,Guy Boros,6,"$19,080"
159,T159,T159,Jay Williamson,33,"$19,080"
160,T159,T159,Garrett Willis,11,"$19,080"
161,162,162,Kirk Triplett,9,"$15,988"
162,T163,T163,Stewart Cink,23,"$15,640"
163,T163,T163,Ted Purdy,25,"$15,640"
164,165,165,John Daly,17,"$14,040"
165,T166,T166,Brett Rumford,26,"$12,840"
166,T166,T166,Johnson Wagner,26,"$12,840"
167,168,168,Joey Sindelar,5,"$12,060"
168,169,169,Jonathan Byrd,27,"$11,885"
169,170,170,John Douma,1,"$11,150"
170,171,171,Boo Weekley,24,"$10,568"
171,T172,T172,Chip Deason,1,"$10,350"
172,T172,T172,Jason Dufner,16,"$10,350"
173,174,174,Erik Compton,1,"$10,074"
174,175,175,David Lutterus,23,"$9,798"
175,176,176,Dudley Hart,22,"$9,614"
176,177,177,Ben Crane,25,"$9,491"
177,178,178,Spike McRoy,4,"$9,490"
178,T179,T179,Tommy Armour III,25,"$9,350"
179,T179,T179,Scott McCarron,22,"$9,350"
180,181,181,Glen Day,19,"$9,200"
181,182,182,Rod Perry,1,"$9,154"
182,183,183,Mike Ruiz,1,"$8,692"
183,184,184,J.L. Lewis,16,"$8,685"
184,T185,T185,Notah Begay III,9,"$7,992"
185,T185,T185,Andrew Buckle,15,"$7,992"
186,T185,T185,Larry Mize,16,"$7,992"
187,T188,T188,Mark Brooks,17,"$7,488"
188,T188,T188,Tom Byrum,12,"$7,488"
189,T188,T188,Len Mattiace,11,"$7,488"
190,191,191,Casey Bourque,1,"$7,462"
191,192,192,Neal Lancaster,9,"$7,092"
192,193,193,Bart Bryant,23,"$6,696"
