,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Tiger Woods,6,"$962,500","$5,775,000"
1,2,2,Padraig Harrington,15,"$287,570","$4,313,550"
2,3,3,Vijay Singh,23,"$287,004","$6,601,094"
3,4,4,Sergio Garcia,19,"$255,695","$4,858,223"
4,5,5,Phil Mickelson,21,"$247,089","$5,188,874"
5,6,6,Anthony Kim,22,"$211,648","$4,656,265"
6,7,7,Camilo Villegas,22,"$201,029","$4,422,640"
7,8,8,Kenny Perry,26,"$179,376","$4,663,793"
8,9,9,Stewart Cink,23,"$173,013","$3,979,300"
9,10,10,Ernie Els,16,"$158,580","$2,537,289"
10,11,11,Justin Leonard,25,"$157,741","$3,943,542"
11,12,12,Lee Westwood,10,"$155,088","$1,550,880"
12,13,13,Geoff Ogilvy,20,"$144,004","$2,880,099"
13,14,14,Henrik Stenson,9,"$137,568","$1,238,117"
14,15,15,Jim Furyk,26,"$132,912","$3,455,713"
15,16,16,Luke Donald,11,"$132,422","$1,456,650"
16,17,17,Adam Scott,15,"$131,943","$1,979,159"
17,18,18,Robert Allenby,28,"$128,810","$3,606,699"
18,19,19,K.J. Choi,21,"$127,782","$2,683,442"
19,20,20,Greg Norman,4,"$127,404","$509,617"
20,21,21,Ryuji Imada,25,"$121,174","$3,029,363"
21,22,22,Ben Curtis,22,"$118,899","$2,615,798"
22,23,23,Trevor Immelman,22,"$116,645","$2,566,198"
23,24,24,Mike Weir,26,"$116,159","$3,020,135"
24,25,25,Steve Stricker,22,"$110,832","$2,438,304"
25,26,26,Stuart Appleby,23,"$108,027","$2,484,630"
26,27,27,Andres Romero,20,"$103,230","$2,064,611"
27,28,28,Robert Karlsson,8,"$101,523","$812,184"
28,29,29,Dudley Hart,22,"$100,855","$2,218,816"
29,30,30,Boo Weekley,24,"$99,947","$2,398,750"
30,31,31,Kevin Sutherland,26,"$99,281","$2,581,310"
31,32,32,Ian Poulter,15,"$99,214","$1,488,214"
32,33,33,Alastair Forsyth,2,"$97,208","$194,416"
33,34,34,Stephen Ames,24,"$95,237","$2,285,707"
34,35,35,Carl Pettersson,29,"$86,639","$2,512,538"
35,36,36,Chad Campbell,28,"$85,884","$2,404,770"
36,37,37,D.J. Trahan,27,"$85,346","$2,304,368"
37,38,38,Sean O'Hair,25,"$83,594","$2,089,856"
38,39,39,J.B. Holmes,26,"$83,312","$2,166,130"
39,40,40,Hunter Mahan,27,"$81,809","$2,208,854"
40,41,41,Retief Goosen,18,"$79,553","$1,431,965"
41,42,42,Aaron Baddeley,22,"$75,708","$1,665,587"
