,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Vijay Singh,24,"$7,951,094"
1,2,2,Tiger Woods,7,"$5,875,000"
2,3,3,Anthony Kim,25,"$5,651,265"
3,4,4,Phil Mickelson,23,"$5,383,875"
4,5,5,Kenny Perry,30,"$5,287,127"
5,6,6,Sergio Garcia,20,"$4,858,224"
6,7,7,Camilo Villegas,25,"$4,840,141"
7,8,8,Padraig Harrington,17,"$4,613,551"
8,9,9,Jim Furyk,29,"$4,340,714"
9,10,10,Hunter Mahan,30,"$4,203,855"
10,11,11,Stewart Cink,27,"$4,142,634"
11,12,12,Justin Leonard,27,"$4,118,542"
12,13,13,Robert Allenby,29,"$3,706,700"
13,14,14,Steve Stricker,25,"$3,365,804"
14,15,15,K.J. Choi,23,"$3,313,442"
15,16,16,Ryuji Imada,26,"$3,243,863"
16,17,17,Mike Weir,27,"$3,195,135"
17,18,18,Ben Curtis,26,"$2,968,298"
18,19,19,Geoff Ogilvy,20,"$2,880,099"
19,20,20,Boo Weekley,27,"$2,843,751"
20,21,21,Henrik Stenson,12,"$2,837,993"
21,22,22,Trevor Immelman,24,"$2,816,199"
22,23,23,Stephen Ames,26,"$2,720,707"
23,24,24,Ernie Els,17,"$2,587,290"
24,25,25,Stuart Appleby,24,"$2,584,630"
25,26,26,Kevin Sutherland,26,"$2,581,311"
26,27,27,Carl Pettersson,29,"$2,512,538"
27,28,28,J.B. Holmes,29,"$2,496,131"
28,29,29,Chad Campbell,29,"$2,404,770"
29,30,30,D.J. Trahan,27,"$2,304,368"
30,31,31,Ken Duke,33,"$2,238,885"
31,32,32,Adam Scott,16,"$2,229,160"
32,33,33,Dudley Hart,22,"$2,218,817"
33,34,34,Woody Austin,31,"$2,216,431"
34,35,35,Brian Gay,31,"$2,205,513"
35,36,36,Steve Marino,32,"$2,094,267"
36,37,37,Sean O'Hair,25,"$2,089,857"
37,38,38,Andres Romero,20,"$2,064,612"
38,39,39,Briny Baird,30,"$2,039,808"
39,40,40,Jeff Quinney,28,"$1,999,371"
40,41,41,Mathew Goggin,27,"$1,969,962"
41,42,42,Brandt Snedeker,29,"$1,943,942"
42,43,43,Nicholas Thompson,36,"$1,869,329"
43,44,44,Rocco Mediate,32,"$1,836,709"
44,45,45,Robert Karlsson,10,"$1,835,685"
45,46,46,Dustin Johnson,30,"$1,789,895"
46,47,47,Pat Perez,27,"$1,756,038"
47,48,48,Billy Mayfair,29,"$1,750,683"
48,49,49,Jerry Kelly,32,"$1,739,900"
49,50,50,Retief Goosen,20,"$1,731,965"
50,51,51,Daniel Chopra,28,"$1,730,690"
51,52,52,Tim Clark,27,"$1,722,030"
52,53,53,Bart Bryant,23,"$1,719,153"
53,54,54,Ian Poulter,19,"$1,713,214"
54,55,55,Rod Pampling,28,"$1,702,952"
55,56,56,Zach Johnson,26,"$1,702,623"
56,57,57,Davis Love III,24,"$1,695,237"
57,58,58,Luke Donald,12,"$1,686,650"
58,59,59,Aaron Baddeley,22,"$1,665,587"
59,60,60,Paul Goydos,25,"$1,640,737"
60,61,61,Rory Sabbatini,24,"$1,636,777"
61,62,62,Freddie Jacobson,24,"$1,597,423"
62,63,63,Mark Wilson,29,"$1,578,337"
63,64,64,Lee Westwood,11,"$1,550,880"
64,65,65,Charles Howell III,33,"$1,549,232"
65,66,66,Bubba Watson,30,"$1,533,523"
66,67,67,Steve Lowery,25,"$1,524,275"
67,68,68,Charlie Wi,27,"$1,515,395"
68,69,69,Tommy Armour III,25,"$1,501,256"
69,70,70,Heath Slocum,29,"$1,491,916"
70,71,71,Ben Crane,25,"$1,488,505"
71,72,72,Nick O'Hern,27,"$1,470,771"
72,73,73,Peter Lonard,30,"$1,462,894"
73,74,74,Ryan Palmer,22,"$1,453,183"
74,75,75,Matt Kuchar,27,"$1,447,638"
75,76,76,Scott Verplank,25,"$1,447,120"
76,77,77,Chez Reavie,30,"$1,444,102"
77,78,78,Johnson Wagner,26,"$1,431,001"
78,79,79,George McNeill,29,"$1,361,532"
79,80,80,Paul Casey,18,"$1,356,414"
80,81,81,Kevin Streelman,32,"$1,352,705"
81,82,82,Dean Wilson,32,"$1,350,002"
82,83,83,Tom Pernice Jr.,30,"$1,336,277"
83,84,84,Marc Turnesa,29,"$1,329,920"
84,85,85,Cameron Beckman,29,"$1,312,837"
85,86,86,John Merrick,28,"$1,312,005"
86,87,87,Parker McLachlin,27,"$1,311,839"
87,88,88,Fred Couples,21,"$1,296,781"
88,89,89,Steve Elkington,25,"$1,291,114"
89,90,90,John Senden,28,"$1,269,083"
90,91,91,Steve Flesch,29,"$1,265,059"
91,92,92,Ryan Moore,24,"$1,214,900"
92,93,93,Troy Matteson,30,"$1,212,018"
93,94,94,Greg Kraft,21,"$1,204,559"
94,95,95,John Mallinger,29,"$1,201,433"
95,96,96,Miguel Angel Jiménez,10,"$1,175,946"
96,97,97,Tim Wilkinson,29,"$1,167,607"
97,98,98,Michael Letzig,29,"$1,166,977"
98,99,99,Tim Herron,29,"$1,164,999"
99,100,100,Brian Davis,34,"$1,151,558"
100,101,101,Justin Rose,18,"$1,097,854"
101,102,102,Cliff Kresge,28,"$1,068,207"
102,103,103,Vaughn Taylor,32,"$1,053,423"
103,104,104,Kevin Na,29,"$1,041,059"
104,105,105,Jonathan Byrd,27,"$1,039,584"
105,106,106,Joe Ogilvie,29,"$1,035,831"
106,107,107,Scott McCarron,23,"$1,024,570"
107,108,108,John Rollins,28,"$1,016,032"
108,109,109,Alex Cejka,26,"$1,008,998"
109,110,110,Bill Haas,31,"$1,000,939"
110,111,111,Lucas Glover,26,"$998,491"
111,112,112,Michael Allen,28,"$981,263"
112,113,113,Tim Petrovic,32,"$958,577"
113,114,114,Charley Hoffman,29,"$945,702"
114,115,115,J.J. Henry,35,"$931,162"
115,116,116,Corey Pavin,20,"$924,282"
116,117,117,Nathan Green,30,"$912,867"
117,118,118,Will MacKenzie,21,"$911,194"
118,119,119,Bo Van Pelt,32,"$903,967"
119,120,120,Eric Axley,35,"$899,215"
120,121,121,Jeff Overton,32,"$890,489"
121,122,122,Richard Johnson,21,"$884,367"
122,123,123,Brett Quigley,26,"$878,216"
123,124,124,Nick Watney,27,"$878,173"
124,125,125,Ángel Cabrera,17,"$868,182"
125,126,126,Jason Bohn,15,"$866,786"
126,127,127,Brad Adamonis,29,"$862,413"
127,128,128,Mark Calcavecchia,26,"$854,810"
128,129,129,Martin Laird,29,"$852,752"
129,130,130,Shane Bertsch,29,"$841,248"
130,131,131,Bob Estes,28,"$829,395"
131,132,132,Patrick Sheehan,36,"$805,897"
132,133,133,Charles Warren,30,"$805,694"
133,134,134,Joe Durant,29,"$802,568"
134,135,135,David Toms,20,"$799,114"
135,136,136,Greg Norman,6,"$787,118"
136,137,137,Bob Tway,20,"$785,641"
137,138,138,Jason Gore,34,"$784,664"
138,139,139,Jay Williamson,34,"$783,862"
139,140,140,Robert Garrigus,30,"$781,732"
140,141,141,Matt Jones,32,"$775,899"
141,142,142,Jason Day,29,"$772,393"
142,143,143,Steve Allan,22,"$748,970"
143,144,144,Rich Beem,29,"$730,001"
144,145,145,James Driscoll,29,"$708,549"
145,146,146,Chris DiMarco,31,"$708,244"
146,147,147,Tom Lehman,17,"$676,651"
147,148,148,Jesper Parnevik,29,"$635,819"
148,149,149,Scott Sterling,29,"$629,822"
149,150,150,Kevin Stadler,31,"$598,945"
150,151,151,Tag Ridings,30,"$568,494"
151,152,152,Tommy Gainey,25,"$562,205"
152,153,153,Frank Lickliter II,33,"$553,113"
153,154,154,Todd Hamilton,28,"$537,958"
154,155,155,John Huston,19,"$525,626"
155,156,156,Chris Stroud,30,"$511,155"
156,157,157,Pablo Larrazabal,4,"$500,686"
157,158,158,Lee Janzen,28,"$500,155"
158,159,159,Jon Mills,33,"$494,510"
159,160,160,Harrison Frazar,24,"$494,059"
160,161,161,Y.E. Yang,30,"$486,726"
161,162,162,Mark Hensby,26,"$480,483"
162,163,163,Glen Day,20,"$460,263"
163,164,164,Gavin Coles,17,"$460,003"
164,165,165,Justin Bolli,28,"$458,022"
165,166,166,Arron Oberholser,10,"$454,881"
166,167,167,Roland Thatcher,15,"$445,212"
167,168,168,Jeff Maggert,28,"$444,484"
168,169,169,Marco Dawson,22,"$439,964"
169,170,170,Richard Green,10,"$438,810"
170,171,171,Graeme McDowell,8,"$426,545"
171,172,172,Chris Riley,18,"$413,850"
172,173,173,Niclas Fasth,10,"$391,690"
173,174,174,Brett Rumford,26,"$386,419"
174,175,175,Brenden Pappas,24,"$384,072"
175,176,176,Nick Flanagan,29,"$379,036"
176,177,177,Carlos Franco,26,"$378,769"
177,178,178,Brendan Jones,6,"$377,686"
178,179,179,Scott Hoch,2,"$376,385"
179,180,180,Craig Kanada,24,"$368,597"
180,181,181,Ryan Armour,32,"$354,508"
181,182,182,Jeev Milkha Singh,6,"$349,849"
182,183,183,Omar Uresti,24,"$346,285"
183,184,184,Chad Collins,24,"$339,959"
184,185,185,Doug LaBelle II,22,"$338,132"
185,186,186,Toru Taniguchi,8,"$337,120"
186,187,187,Kent Jones,24,"$329,432"
187,188,188,Bob Heintz,18,"$326,015"
188,189,189,Fred Funk,15,"$324,783"
189,190,190,J.P. Hayes,26,"$312,152"
190,191,191,Jason Dufner,17,"$309,138"
191,192,192,Jimmy Walker,25,"$307,249"
192,193,193,Richard Sterne,9,"$303,794"
193,194,194,John Riegger,25,"$294,501"
194,195,195,Brandt Jobe,19,"$293,214"
195,196,196,Jeff Gove,19,"$290,410"
196,197,197,Kenneth Ferrie,25,"$288,772"
197,198,198,Tom Scherrer,20,"$288,391"
198,199,199,Anders Hansen,7,"$287,058"
199,200,200,Ted Purdy,26,"$273,207"
200,201,201,Brad Elder,24,"$270,365"
201,202,202,Mathias Grönberg,31,"$270,281"
202,203,203,Michael Sim,7,"$269,864"
203,204,204,Martin Kaymer,9,"$269,388"
204,205,205,Bob Sowards,22,"$263,327"
205,206,206,Colin Montgomerie,8,"$250,034"
206,207,207,Robert Gamez,27,"$249,944"
207,208,208,Billy Andrade,25,"$243,490"
208,209,209,José Coceres,13,"$240,393"
209,210,210,Graeme Storm,3,"$231,600"
210,211,211,Ross Fisher,7,"$230,767"
211,212,212,Brian Bateman,18,"$227,470"
212,213,213,Jin Park,30,"$227,102"
213,214,214,David Howell,3,"$226,243"
214,215,215,Richard Johnson,31,"$223,210"
215,216,216,Alastair Forsyth,3,"$222,916"
216,217,217,Darren Clarke,2,"$220,000"
217,218,218,Prayad Marksaeng,5,"$219,060"
218,219,219,Todd Demsey,26,"$217,417"
219,220,220,Soren Hansen,11,"$215,132"
220,221,221,WC Liang,7,"$214,853"
221,222,222,Grégory Havret,3,"$210,518"
222,223,223,Larry Mize,16,"$190,804"
223,224,224,Craig Parry,5,"$186,311"
224,225,225,Nick Dougherty,8,"$183,062"
225,226,226,Dicky Pride,14,"$182,890"
226,227,227,Garrett Willis,12,"$181,815"
227,228,228,Olin Browne,28,"$172,029"
228,229,229,Andrew Buckle,16,"$170,264"
229,230,230,Dan Forsman,11,"$169,106"
230,231,231,Casey Wittenberg,4,"$167,520"
231,232,232,Brent Geiberger,12,"$165,600"
232,233,233,Alejandro Cañizares,16,"$162,115"
233,234,234,Shigeki Maruyama,18,"$160,175"
234,235,235,Stephen Leaney,17,"$157,963"
235,236,236,Shaun Micheel,16,"$157,828"
236,237,237,Paul Stankowski,14,"$156,077"
237,238,238,Kyle Thompson,26,"$154,447"
238,239,239,Mark Brown,4,"$149,250"
239,240,240,Bernhard Langer,2,"$147,250"
240,241,241,,1,"$145,000"
241,242,242,Michael Bradley,15,"$143,454"
242,243,243,Jim McGovern,26,"$136,088"
243,244,244,David Lutterus,23,"$129,886"
244,245,245,Craig Barlow,15,"$129,732"
245,246,246,D.A. Points,3,"$126,918"
246,247,247,Søren Kjeldsen,3,"$125,000"
247,248,248,Brett Wetterich,11,"$121,675"
248,249,249,Paul Azinger,10,"$120,090"
249,250,250,Peter Hanson,4,"$117,784"
250,251,251,Nick Price,3,"$116,900"
251,252,252,Paul Claxton,23,"$116,678"
252,253,253,,1,"$115,000"
253,254,254,David Duval,20,"$114,974"
254,255,255,Bob May,5,"$114,085"
255,256,256,Bradley Dredge,2,"$113,000"
256,257,257,Esteban Toledo,3,"$111,305"
257,258,258,Mark O'Meara,6,"$110,920"
258,259,259,Jeff Sluman,3,"$105,000"
259,260,260,Jason Allred,23,"$100,596"
260,261,261,John Cook,1,"$100,000"
261,262,262,Mark Brooks,18,"$99,582"
262,263,263,Daisuke Maruyama,4,"$98,596"
263,264,264,Oliver Wilson,5,"$95,709"
