,Career_Money_Leaders_RANK THIS WEEK,Career_Money_Leaders_RANK LAST WEEK,Career_Money_Leaders_PLAYER NAME,Career_Money_Leaders_MONEY
0,1,1,Tiger Woods,"$82,354,376"
1,2,2,Vijay Singh,"$60,709,312"
2,3,3,Phil Mickelson,"$50,522,901"
3,4,4,Jim Furyk,"$38,809,826"
4,5,5,Davis Love III,"$37,325,550"
5,6,6,Ernie Els,"$33,663,401"
6,7,7,David Toms,"$28,711,065"
7,8,8,Justin Leonard,"$27,109,459"
8,9,9,Kenny Perry,"$26,196,442"
9,10,10,Stewart Cink,"$25,055,994"
10,11,11,Sergio Garcia,"$24,399,000"
11,12,12,Mike Weir,"$23,860,124"
12,13,13,Stuart Appleby,"$23,194,485"
13,14,14,Mark Calcavecchia,"$23,081,228"
14,15,15,Scott Verplank,"$22,430,292"
15,16,16,Fred Funk,"$20,925,849"
16,17,17,Nick Price,"$20,563,108"
17,18,18,Tom Lehman,"$20,378,513"
18,19,19,Chris DiMarco,"$20,251,008"
19,20,20,Fred Couples,"$20,121,480"
20,21,21,Retief Goosen,"$19,707,369"
21,22,22,Robert Allenby,"$19,281,384"
22,23,23,K.J. Choi,"$18,801,639"
23,24,24,Scott Hoch,"$18,498,499"
24,25,25,Adam Scott,"$18,369,560"
25,26,26,Jeff Sluman,"$18,114,866"
26,27,27,Jerry Kelly,"$18,048,119"
27,28,28,Brad Faxon,"$17,656,554"
28,29,29,Billy Mayfair,"$17,653,397"
29,30,30,Rory Sabbatini,"$17,616,264"
30,31,31,Bob Estes,"$17,225,501"
31,32,32,Steve Stricker,"$17,143,884"
32,33,33,David Duval,"$16,869,175"
33,34,34,Charles Howell III,"$16,668,108"
34,35,35,Chad Campbell,"$16,585,604"
35,36,36,Steve Flesch,"$16,327,302"
36,37,37,Geoff Ogilvy,"$16,306,625"
37,38,38,Jeff Maggert,"$15,745,293"
38,39,39,Bob Tway,"$15,731,456"
39,40,40,Tim Herron,"$15,685,381"
40,41,41,Stephen Ames,"$15,591,077"
41,42,42,Padraig Harrington,"$15,286,873"
42,43,43,Hal Sutton,"$15,267,685"
43,44,44,Jesper Parnevik,"$15,149,185"
44,45,45,Loren Roberts,"$15,103,510"
45,46,46,Rocco Mediate,"$14,791,140"
46,47,47,John Huston,"$14,762,421"
47,48,48,Steve Lowery,"$14,643,503"
48,49,49,Corey Pavin,"$14,606,155"
49,50,50,Greg Norman,"$14,473,229"
50,51,51,Paul Azinger,"$14,447,210"
51,52,52,Jay Haas,"$14,440,317"
52,53,53,Mark O'Meara,"$14,136,017"
53,54,54,Steve Elkington,"$14,130,705"
54,55,55,Lee Janzen,"$13,957,747"
55,56,56,Kirk Triplett,"$13,564,082"
