,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,1,John Daly,63,2.491,293.8,117.93,25,2.727
1,2,2,Mark Wilson,87,2.4819999999999998,265.2,106.839,67,2.7739999999999996
2,3,3,Andres Romero,73,2.467,287.6,116.55799999999999,58,2.736
3,4,4,Ryan Palmer,84,2.464,282.4,114.609,63,2.6460000000000004
4,5,5,J.B. Holmes,100,2.463,302.2,122.66799999999999,63,2.7739999999999996
5,6,6,Scott Piercy,88,2.4619999999999997,284.8,115.65799999999999,55,2.7089999999999996
6,7,7,Phil Mickelson,76,2.4530000000000003,293.8,119.756,40,2.661
7,T8,T8,Derek Lamely,81,2.448,284.5,116.23,49,2.6719999999999997
8,T8,T8,John Merrick,109,2.448,274.2,112.0,79,2.7310000000000003
9,10,10,Troy Matteson,84,2.445,286.7,117.26799999999999,67,2.7560000000000002
10,T11,T11,Ted Purdy,86,2.444,279.3,114.26799999999999,56,2.676
11,T11,T11,Heath Slocum,97,2.444,261.3,106.91799999999999,76,2.674
12,T13,T13,Zach Johnson,93,2.443,263.7,107.90700000000001,74,2.9739999999999998
13,T13,T13,Aron Price,70,2.443,263.0,107.686,44,2.585
14,T15,T15,Rory McIlroy,54,2.4419999999999997,284.7,116.584,40,2.7680000000000002
15,T15,T15,David Toms,86,2.4419999999999997,261.5,107.096,65,2.682
16,T17,T17,Dustin Johnson,83,2.44,297.1,121.766,55,2.707
17,T17,T17,Joe Ogilvie,99,2.44,271.0,111.09,75,2.6839999999999997
18,19,19,John Mallinger,78,2.439,260.2,106.69,44,2.658
19,20,20,Vijay Singh,75,2.438,277.2,113.71600000000001,56,2.682
20,21,21,Padraig Harrington,57,2.435,280.9,115.38,46,2.69
21,22,22,Billy Mayfair,78,2.434,266.5,109.494,52,2.695
22,23,23,Ben Crane,85,2.4330000000000003,264.9,108.883,67,2.6710000000000003
23,T24,T24,Mark Calcavecchia,50,2.432,273.7,112.53399999999999,35,2.7030000000000003
24,T24,T24,Vaughn Taylor,87,2.432,266.5,109.57700000000001,67,2.66
25,T24,T24,Bo Van Pelt,104,2.432,278.6,114.59200000000001,73,2.727
26,T27,T27,Paul Casey,64,2.43,290.4,119.48899999999999,30,2.6289999999999996
27,T27,T27,Steve Marino,81,2.43,278.1,114.404,63,2.636
28,29,29,Kenny Perry,69,2.4290000000000003,269.6,110.978,55,2.693
29,T30,T30,Will MacKenzie,72,2.428,271.6,111.87,56,2.633
30,T30,T30,Kevin Sutherland,86,2.428,271.9,111.995,70,2.633
31,32,32,Brandt Snedeker,89,2.427,262.4,108.094,70,2.764
32,T33,T33,Mathias Grönberg,61,2.426,271.7,111.98899999999999,37,2.61
33,T33,T33,Paul Stankowski,62,2.426,271.1,111.745,34,2.638
34,T35,T35,Rory Sabbatini,79,2.425,276.1,113.824,45,2.6719999999999997
35,T35,T35,Roland Thatcher,72,2.425,269.5,111.117,57,2.7060000000000004
36,37,37,D.J. Trahan,92,2.423,280.9,115.93799999999999,73,2.7960000000000003
37,38,38,Jeff Maggert,76,2.419,257.4,106.389,55,2.608
38,39,39,Roger Tambellini,77,2.418,271.5,112.275,51,2.728
39,40,40,Davis Love III,79,2.417,284.1,117.536,54,2.6839999999999997
40,T41,T41,Cameron Percy,73,2.416,276.7,114.49700000000001,45,2.654
41,T41,T41,John Rollins,81,2.416,277.1,114.705,66,2.688
42,43,43,Rickie Fowler,98,2.415,277.7,115.005,74,2.6510000000000002
43,T44,T44,J.P. Hayes,79,2.414,261.3,108.24799999999999,62,2.697
44,T44,T44,Steve Stricker,73,2.414,268.2,111.098,57,2.7560000000000002
45,T44,T44,Josh Teater,101,2.414,275.6,114.149,76,2.668
46,47,47,Greg Kraft,52,2.4130000000000003,255.0,105.675,32,2.6069999999999998
47,T48,T48,Tim Herron,79,2.412,271.6,112.57700000000001,56,2.685
48,T48,T48,Chris Wilson,65,2.412,273.9,113.574,40,2.753
49,T50,T50,Stewart Cink,84,2.411,278.3,115.45200000000001,60,2.813
50,T50,T50,Chris DiMarco,88,2.411,259.8,107.749,56,2.6
51,T50,T50,Geoff Ogilvy,62,2.411,274.9,114.02600000000001,52,2.705
52,T50,T50,Brett Quigley,96,2.411,271.3,112.537,66,2.616
53,54,54,Jason Day,82,2.41,283.7,117.726,58,2.721
54,T55,T55,Kris Blanks,91,2.4090000000000003,268.8,111.609,63,2.636
55,T55,T55,Brian Davis,101,2.4090000000000003,260.2,107.993,70,2.728
