,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,1,Dustin Johnson,83,201.9,11911.2,59,220.8,178.4
1,2,2,J.B. Holmes,100,201.8,13520.0,67,217.7,172.8
2,3,3,Graham DeLaet,88,198.6,9333.2,47,211.3,182.7
3,4,4,Chris Couch,66,198.2,8124.3,41,214.0,178.6
4,5,5,Aaron Baddeley,94,197.2,15183.8,77,211.1,173.3
5,6,6,Bubba Watson,77,196.8,11809.1,60,219.3,165.6
6,7,7,Charley Hoffman,85,195.3,14060.7,72,209.7,171.3
7,8,8,James Driscoll,78,194.4,11860.6,61,211.4,157.0
8,9,9,Adam Scott,70,194.3,11269.9,58,205.8,172.7
9,10,10,John Daly,63,193.7,5424.6,28,204.7,168.9
10,T11,T11,Robert Garrigus,71,193.4,7734.9,40,208.8,176.0
11,T11,T11,Jimmy Walker,82,193.4,10637.7,55,211.9,154.8
12,T13,T13,Paul Casey,64,193.3,6571.8,34,207.0,176.1
13,T13,T13,Phil Mickelson,76,193.3,8507.0,44,208.9,149.6
14,15,15,Ángel Cabrera,64,192.6,10208.8,53,207.3,138.5
15,16,16,Sergio Garcia,58,192.4,6541.3,34,205.9,177.3
16,17,17,Davis Love III,79,192.1,11333.8,59,207.6,164.1
17,18,18,Marc Leishman,87,191.9,13046.5,68,203.8,166.8
18,19,19,Brett Wetterich,54,191.7,7093.0,37,205.9,171.4
19,T20,T20,Bill Haas,87,191.6,13983.8,73,209.2,170.7
20,T20,T20,Charles Warren,64,191.6,7663.9,40,202.7,172.2
21,22,22,Martin Flores,75,191.3,10328.2,54,206.3,147.6
22,T23,T23,Troy Matteson,84,191.1,13183.0,69,204.7,161.4
23,T23,T23,Nick Watney,91,191.1,13374.8,70,205.9,170.5
24,25,25,Andres Romero,73,190.4,11613.3,61,205.5,176.0
25,T26,T26,Charles Howell III,103,189.8,16320.8,86,206.1,161.1
26,T26,T26,Derek Lamely,81,189.8,10628.4,56,205.0,174.2
27,28,28,Greg Owen,69,189.4,11176.5,59,205.3,171.8
28,29,29,Garth Mulroy,53,189.0,6803.4,36,200.0,166.7
29,30,30,John Senden,103,188.9,15302.3,81,202.3,164.0
30,31,31,George McNeill,79,188.7,10564.4,56,202.1,161.9
31,32,32,Steve Marino,81,188.6,12639.2,67,201.6,167.3
32,T33,T33,Jason Day,82,188.5,11685.0,62,206.1,154.5
33,T33,T33,Ryan Palmer,84,188.5,13005.3,69,203.6,171.1
34,T35,T35,Matt Jones,89,188.3,13743.2,73,203.2,169.3
35,T35,T35,Martin Laird,91,188.3,13742.6,73,209.8,138.0
36,37,37,Alex Prugh,88,188.2,12421.2,66,201.7,160.4
37,T38,T38,Jonathan Byrd,85,188.1,12977.8,69,201.6,158.3
38,T38,T38,Stewart Cink,84,188.1,12415.9,66,204.9,166.5
39,40,40,Andrew McLardy,52,188.0,5640.3,30,203.2,165.9
40,T41,T41,Daniel Chopra,74,187.9,10708.1,57,204.4,157.1
41,T41,T41,Rory McIlroy,54,187.9,7514.3,40,202.3,159.3
42,43,43,D.J. Trahan,92,187.8,14837.3,79,199.7,172.5
43,44,44,Scott Piercy,88,187.6,11068.4,59,206.7,167.0
44,45,45,Ted Purdy,86,187.5,10874.2,58,203.9,168.6
45,46,46,Blake Adams,84,187.1,12351.2,66,198.5,169.0
46,47,47,Padraig Harrington,57,186.7,8775.0,47,201.4,160.3
47,48,48,J.J. Henry,92,186.5,12680.4,68,203.8,158.0
48,T49,T49,Kevin Streelman,90,186.1,13026.3,70,197.4,171.5
49,T49,T49,Boo Weekley,88,186.1,13029.4,70,202.0,152.2
50,T51,T51,Stuart Appleby,101,186.0,15812.8,85,198.9,164.6
51,T51,T51,Cameron Percy,73,186.0,9112.7,49,197.5,162.4
52,53,53,David Duval,71,185.8,7247.9,39,198.2,167.8
53,T54,T54,Mathew Goggin,85,185.7,9843.0,53,194.8,168.0
54,T54,T54,Josh Teater,101,185.7,14109.5,76,198.0,159.7
55,56,56,Rickie Fowler,98,185.5,15026.6,81,199.1,165.7
56,57,57,Ricky Barnes,103,185.3,14083.6,76,203.6,113.9
57,T58,T58,Geoff Ogilvy,62,184.9,10170.0,55,196.8,170.0
58,T58,T58,Bo Van Pelt,104,184.9,14422.4,78,199.3,171.3
59,60,60,Cameron Tringale,55,184.8,7023.6,38,197.4,160.5
60,61,61,Retief Goosen,75,184.7,8865.3,48,198.2,139.2
61,62,62,Troy Merritt,86,184.3,11978.0,65,198.4,166.9
62,63,63,John Rollins,81,184.1,13071.4,71,195.8,163.7
63,64,64,Jarrod Lyle,54,183.9,7357.7,40,194.4,163.9
64,65,65,Rory Sabbatini,79,183.7,9550.5,52,204.9,161.7
65,66,66,Lucas Glover,75,183.6,10283.4,56,201.6,130.4
66,T67,T67,Matt Every,60,183.4,7519.2,41,198.2,168.6
67,T67,T67,Brenden Pappas,66,183.4,7334.7,40,197.3,163.4
68,T67,T67,Chris Wilson,65,183.4,8068.0,44,200.9,156.7
69,70,70,Vijay Singh,75,183.1,10805.4,59,194.6,159.1
70,T71,T71,Pat Perez,90,183.0,12994.6,71,198.2,164.2
71,T71,T71,Paul Stankowski,62,183.0,6771.9,37,192.4,175.0
72,73,73,Jeff Overton,89,182.4,11672.4,64,205.2,149.2
73,74,74,Scott McCarron,90,182.2,12932.7,71,197.1,154.9
74,75,75,Brendon de Jonge,114,181.9,16188.7,89,196.2,154.6
75,76,76,Ryan Moore,80,181.8,11088.0,61,194.6,163.0
76,77,77,Rich Barcelo,70,181.7,8359.3,46,198.1,165.0
77,78,78,Y.E. Yang,72,181.5,8895.9,49,200.3,147.1
78,T79,T79,Lee Janzen,77,181.4,10341.9,57,194.0,160.1
79,T79,T79,Brett Quigley,96,181.4,13059.9,72,196.6,161.8
80,T79,T79,Kevin Sutherland,86,181.4,12882.2,71,191.7,157.7
81,T82,T82,James Nitties,92,181.2,9786.2,54,195.0,157.4
82,T82,T82,Chris Tidland,77,181.2,10690.7,59,203.1,153.7
83,84,84,Michael Bradley,77,181.0,8143.7,45,191.5,155.6
84,T85,T85,Joe Durant,67,180.4,7939.4,44,192.5,162.1
85,T85,T85,Roger Tambellini,77,180.4,9742.2,54,195.8,164.6
86,87,87,Bill Lunde,79,180.3,10276.2,57,190.8,150.8
87,T88,T88,John Merrick,109,180.2,14774.2,82,193.0,159.9
88,T88,T88,Kevin Stadler,86,180.2,10811.1,60,195.8,161.0
89,T90,T90,Trevor Immelman,55,180.0,7019.4,39,200.9,109.5
90,T90,T90,Will MacKenzie,72,180.0,10442.9,58,191.7,160.0
91,T92,T92,Steve Lowery,67,179.9,7914.0,44,193.0,160.3
92,T92,T92,Justin Rose,78,179.9,11511.7,64,196.2,154.4
93,94,94,Ian Poulter,55,179.7,6469.1,36,192.1,164.1
94,95,95,Michael Letzig,84,179.6,12215.3,68,199.0,153.7
95,T96,T96,Chad Campbell,94,179.5,12386.1,69,195.0,136.3
96,T96,T96,Nicholas Thompson,88,179.5,11847.9,66,194.6,154.0
