,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Tim Clark,88,87.87,1043,1187
1,2,2,Ben Crane,85,87.83,1010,1150
2,3,3,Kevin Sutherland,86,87.01,1038,1193
3,4,4,Hunter Mahan,85,86.94,1025,1179
4,5,5,Bill Haas,87,86.57,1051,1214
5,6,6,D.J. Trahan,92,86.46,1111,1285
6,7,7,Steve Stricker,73,86.42,878,1016
7,8,8,John Senden,103,86.35,1246,1443
8,9,9,Will MacKenzie,72,86.16,865,1004
9,T10,T10,Chris Couch,66,86.09,792,920
10,T10,T10,Brian Gay,101,86.09,1182,1373
11,12,12,David Toms,86,85.98,1018,1184
12,13,13,Jason Dufner,87,85.86,1044,1216
13,14,14,Adam Scott,70,85.76,819,955
14,15,15,Paul Goydos,78,85.61,934,1091
15,16,16,Jim Furyk,76,85.6,886,1035
16,T17,T17,Davis Love III,79,85.57,949,1109
17,T17,T17,Ryan Moore,80,85.57,949,1109
18,19,19,Stephen Ames,75,85.56,883,1032
19,20,20,Matt Kuchar,97,85.48,1142,1336
20,21,21,Jonathan Byrd,85,85.38,1010,1183
21,22,22,Vaughn Taylor,87,85.33,1035,1213
22,23,23,Nick Watney,91,85.31,1057,1239
23,24,24,Kenny Perry,69,85.15,814,956
24,25,25,Ben Curtis,78,85.13,933,1096
25,26,26,Troy Matteson,84,84.97,1001,1178
26,27,27,John Rollins,81,84.85,963,1135
27,28,28,Tom Gillis,97,84.83,1146,1351
28,29,29,Rickie Fowler,98,84.79,1165,1374
29,30,30,Zach Johnson,93,84.65,1086,1283
30,31,31,Jason Bohn,84,84.6,989,1169
31,32,32,Robert Allenby,76,84.58,883,1044
32,33,33,Scott Verplank,74,84.52,868,1027
33,34,34,Sean O'Hair,84,84.5,976,1155
34,35,35,Heath Slocum,97,84.4,1152,1365
35,36,36,Bo Van Pelt,104,84.33,1232,1461
36,37,37,Tim Petrovic,105,84.26,1237,1468
37,38,38,Scott McCarron,90,84.24,1053,1250
38,39,39,Y.E. Yang,72,84.07,834,992
39,40,40,Stewart Cink,84,83.98,949,1130
40,T41,T41,Greg Owen,69,83.96,806,960
41,T41,T41,Justin Rose,78,83.96,916,1091
42,43,43,Freddie Jacobson,83,83.88,973,1160
43,44,44,D.A. Points,90,83.85,1054,1257
44,45,45,Mathew Goggin,85,83.84,996,1188
45,46,46,Chad Campbell,94,83.81,1087,1297
46,47,47,Brian Davis,101,83.64,1176,1406
47,48,48,Michael Letzig,84,83.58,977,1169
48,49,49,Bubba Watson,77,83.55,899,1076
49,50,50,Rocco Mediate,71,83.47,823,986
50,51,51,Justin Leonard,89,83.43,1027,1231
51,52,52,Alex Cejka,81,83.39,939,1126
52,53,53,Kevin Na,94,83.38,1084,1300
53,54,54,Sergio Garcia,58,83.31,609,731
54,55,55,Blake Adams,84,83.22,972,1168
55,56,56,Vijay Singh,75,83.03,866,1043
56,57,57,Rod Pampling,77,83.01,889,1071
57,58,58,Charlie Wi,95,82.97,1096,1321
58,59,59,Mark Wilson,87,82.96,1008,1215
59,60,60,Steve Marino,81,82.91,946,1141
60,61,61,Lee Janzen,77,82.9,887,1070
61,62,62,Greg Chalmers,93,82.73,1068,1291
62,63,63,Ernie Els,72,82.52,812,984
63,64,64,Geoff Ogilvy,62,82.46,696,844
64,65,65,Pat Perez,90,82.42,1036,1257
65,66,66,Bob Estes,79,82.39,903,1096
66,67,67,Brett Wetterich,54,82.36,621,754
67,68,68,Retief Goosen,75,82.35,821,997
68,69,69,Omar Uresti,74,82.31,847,1029
69,70,70,Paul Casey,64,82.24,676,822
70,71,71,Josh Teater,101,82.21,1155,1405
71,72,72,Rory McIlroy,54,82.2,605,736
72,T73,T73,Ricky Barnes,103,82.14,1182,1439
