,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,1,Mark Wilson,87,3,2,1
1,2,2,John Daly,63,10,1,9
2,3,3,Aron Price,70,16,13,3
3,T4,T4,Heath Slocum,97,17,11,6
4,T4,T4,David Toms,86,17,15,2
5,6,6,John Merrick,109,18,8,10
6,7,7,Rory McIlroy,54,25,15,10
7,8,8,Zach Johnson,93,28,13,15
8,9,9,Bo Van Pelt,104,29,24,5
9,10,10,John Mallinger,78,36,19,17
10,11,11,Kenny Perry,69,37,29,8
11,12,12,Joe Ogilvie,99,41,17,24
12,13,13,Jeff Maggert,76,42,38,4
13,T14,T14,Billy Mayfair,78,44,22,22
14,T14,T14,Vijay Singh,75,44,20,24
15,16,16,Troy Matteson,84,49,10,39
16,T17,T17,J.B. Holmes,100,53,5,48
17,T17,T17,Andres Romero,73,53,3,50
18,19,19,Paul Casey,64,56,27,29
19,T20,T20,J.P. Hayes,79,57,44,13
20,T20,T20,D.J. Trahan,92,57,37,20
21,T22,T22,Rory Sabbatini,79,61,35,26
22,T22,T22,Vaughn Taylor,87,61,24,37
23,24,24,Ben Crane,85,62,23,39
24,25,25,John Rollins,81,63,41,22
25,26,26,Mathias Grönberg,61,64,33,31
26,27,27,Brian Stuard,81,70,55,15
27,28,28,Brandt Snedeker,89,78,32,46
28,T29,T29,Greg Kraft,52,80,47,33
29,T29,T29,Jerod Turner,54,80,67,13
30,31,31,Ryan Palmer,84,83,4,79
31,32,32,Mark Calcavecchia,50,85,24,61
32,T33,T33,Jerry Kelly,99,86,76,10
33,T33,T33,Roger Tambellini,77,86,39,47
34,T35,T35,Carl Pettersson,99,88,70,18
35,T35,T35,Roland Thatcher,72,88,35,53
36,37,37,Kris Blanks,91,89,55,34
37,38,38,Tim Herron,79,90,48,42
38,T39,T39,Dustin Johnson,83,91,17,74
39,T39,T39,Kevin Sutherland,86,91,30,61
40,T41,T41,Brian Davis,101,94,55,39
41,T41,T41,Jeff Gove,57,94,68,26
42,43,43,Derek Lamely,81,95,8,87
43,44,44,Ted Purdy,86,96,11,85
44,45,45,Padraig Harrington,57,100,21,79
45,46,46,Steve Stricker,73,104,44,60
46,47,47,Jason Day,82,110,54,56
47,48,48,Scott Piercy,88,111,6,105
48,49,49,Paul Stankowski,62,112,33,79
49,50,50,Michael Connell,89,116,59,57
50,51,51,Will MacKenzie,72,120,30,90
51,T52,T52,Rich Barcelo,70,121,64,57
52,T52,T52,Ángel Cabrera,64,121,71,50
53,54,54,Josh Teater,101,122,44,78
54,55,55,Robert Allenby,76,126,84,42
55,T56,T56,Stewart Cink,84,129,50,79
56,T56,T56,Chris DiMarco,88,129,50,79
57,T58,T58,Jarrod Lyle,54,131,96,35
58,T58,T58,Y.E. Yang,72,131,103,28
59,60,60,Cliff Kresge,50,132,126,6
60,61,61,Chris Stroud,90,133,80,53
61,62,62,Martin Laird,91,135,86,49
62,63,63,Cameron Percy,73,136,41,95
63,T64,T64,Bill Lunde,79,138,59,79
64,T64,T64,Hunter Mahan,85,138,96,42
65,66,66,Ryan Moore,80,139,86,53
66,67,67,Tim Clark,88,143,123,20
67,68,68,Steve Wheatcroft,74,148,129,19
68,69,69,Geoff Ogilvy,62,149,50,99
69,70,70,Chris Tidland,77,150,89,61
70,T71,T71,K.J. Choi,82,155,119,36
71,T71,T71,Rickie Fowler,98,155,43,112
72,T71,T71,Webb Simpson,98,155,94,61
73,74,74,Brett Wetterich,54,156,118,38
74,75,75,Rocco Mediate,71,159,74,85
75,T76,T76,David Lutterus,69,163,89,74
76,T76,T76,Steve Marino,81,163,27,136
77,T78,T78,Ernie Els,72,164,103,61
78,T78,T78,Phil Mickelson,76,164,7,157
79,T80,T80,Spencer Levin,110,165,96,69
80,T80,T80,Jay Williamson,76,165,136,29
81,82,82,Davis Love III,79,167,40,127
82,83,83,Boo Weekley,88,171,110,61
83,84,84,Chris Wilson,65,172,48,124
84,85,85,Alex Cejka,81,173,63,110
85,86,86,Craig Bowden,56,175,107,68
86,87,87,Jason Bohn,84,176,71,105
87,88,88,Nicholas Thompson,88,177,55,122
88,89,89,Justin Bolli,55,179,91,88
89,T90,T90,Jeff Overton,89,181,71,110
90,T90,T90,Jeff Quinney,91,181,150,31
91,92,92,Paul Goydos,78,184,142,42
92,T93,T93,Henrik Bjornstad,72,190,114,76
93,T93,T93,Jonathan Byrd,85,190,68,122
94,T93,T93,Camilo Villegas,78,190,114,76
95,96,96,Brenden Pappas,66,191,79,112
96,97,97,Justin Rose,78,192,91,101
97,98,98,Mathew Goggin,85,193,76,117
98,T99,T99,Retief Goosen,75,195,100,95
99,T99,T99,Kevin Johnson,62,195,100,95
100,101,101,Alex Prugh,88,196,82,114
101,T102,T102,Lucas Glover,75,197,147,50
102,T102,T102,Kevin Stadler,86,197,64,133
103,104,104,Matt Kuchar,97,200,131,69
104,105,105,Blake Adams,84,203,110,93
105,106,106,Martin Flores,75,204,103,101
