,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,David Toms,86,8.26,80,969,+0.18
1,2,2,Joe Durant,67,8.49,67,789,+0.16
2,3,3,Omar Uresti,74,9.22,78,846,+0.19
3,4,4,Scott Verplank,74,9.29,72,775,+0.10
4,5,5,Tim Petrovic,105,9.54,124,1300,+0.19
5,6,6,Bryce Molder,84,9.56,96,1004,+0.13
6,7,7,Heath Slocum,97,9.72,99,1019,+0.02
7,8,8,Zach Johnson,93,9.85,103,1046,+0.08
8,9,9,Craig Bowden,56,9.92,66,665,+0.12
9,10,10,Jason Dufner,87,10.03,96,957,+0.09
10,11,11,James Nitties,92,10.05,112,1114,+0.11
11,12,12,Chris Riley,73,10.08,88,873,+0.16
12,13,13,Skip Kendall,58,10.18,69,678,+0.17
13,14,14,Billy Mayfair,78,10.19,92,903,+0.22
14,15,15,Rocco Mediate,71,10.24,86,840,+0.15
15,16,16,Paul Goydos,78,10.28,94,914,+0.12
16,17,17,John Merrick,109,10.35,132,1275,+0.14
17,18,18,Brian Davis,101,10.45,129,1235,+0.17
18,19,19,Kris Blanks,91,10.55,108,1024,+0.19
19,T20,T20,Tim Clark,88,10.58,100,945,+0.10
20,T20,T20,Brian Gay,101,10.58,121,1144,+0.10
21,22,22,John Mallinger,78,10.6,95,896,+0.28
22,23,23,Chad Campbell,94,10.68,120,1124,+0.18
23,24,24,Chris DiMarco,88,10.74,115,1071,+0.07
24,25,25,John Rollins,81,10.77,112,1040,+0.02
25,T26,T26,Bill Lunde,79,10.87,100,920,+0.10
26,T26,T26,Josh Teater,101,10.87,137,1260,+0.18
27,28,28,Chad Collins,87,10.94,113,1033,+0.10
28,29,29,Kevin Streelman,90,10.95,121,1105,+0.19
29,30,30,Hunter Mahan,85,11.0,102,927,+0.01
30,31,31,Tom Gillis,97,11.04,138,1250,+0.07
31,32,32,Freddie Jacobson,83,11.07,118,1066,+0.11
32,33,33,Greg Chalmers,93,11.1,133,1198,-0.01
33,34,34,Brent Delahoussaye,57,11.13,72,647,+0.18
34,35,35,Richard Johnson,90,11.17,113,1012,+0.26
35,36,36,Mark Wilson,87,11.27,124,1100,+0.10
36,37,37,Ben Crane,85,11.35,104,916,+0.10
37,38,38,Brendon de Jonge,114,11.51,144,1251,+0.10
38,39,39,Charlie Wi,95,11.55,142,1229,+0.03
39,40,40,Boo Weekley,88,11.56,119,1029,+0.12
40,41,41,Cliff Kresge,50,11.59,72,621,+0.18
41,T42,T42,Alex Cejka,81,11.6,108,931,+0.21
42,T42,T42,Steve Elkington,74,11.6,94,810,+0.07
43,44,44,Rickie Fowler,98,11.62,133,1145,+0.08
44,45,45,Vaughn Taylor,87,11.73,128,1091,+0.12
45,46,46,K.J. Choi,82,11.76,99,842,+0.12
46,47,47,Henrik Bjornstad,72,11.84,96,811,+0.17
47,48,48,J.P. Hayes,79,12.01,113,941,+0.05
48,T49,T49,Pat Perez,90,12.08,139,1151,+0.06
49,T49,T49,Aron Price,70,12.08,104,861,+0.13
50,T51,T51,Scott McCarron,90,12.17,139,1142,+0.03
51,T51,T51,Ryan Moore,80,12.17,103,846,+0.17
52,53,53,Ian Poulter,55,12.26,57,465,+0.02
53,T54,T54,Bob Estes,79,12.27,119,970,+0.08
54,T54,T54,Rory Sabbatini,79,12.27,114,929,+0.07
55,T56,T56,Charley Hoffman,85,12.28,130,1059,-0.01
56,T56,T56,Greg Owen,69,12.28,104,847,+0.14
57,58,58,Robert Allenby,76,12.31,104,845,+0.13
58,59,59,Jim Furyk,76,12.36,103,833,+0.11
59,60,60,Roger Tambellini,77,12.47,106,850,+0.14
60,61,61,James Driscoll,78,12.48,127,1018,+0.03
61,T62,T62,Jerry Kelly,99,12.5,143,1144,+0.06
62,T62,T62,Jarrod Lyle,54,12.5,79,632,+0.06
63,T62,T62,Jeff Quinney,91,12.5,138,1104,+0.15
64,65,65,Bo Van Pelt,104,12.51,151,1207,+0.02
65,66,66,Jay Williamson,76,12.54,106,845,+0.08
66,67,67,Stephen Ames,75,12.55,120,956,+0.17
67,68,68,Brandt Snedeker,89,12.72,131,1030,+0.08
68,69,69,Will MacKenzie,72,12.74,120,942,+0.01
69,70,70,Steve Wheatcroft,74,12.77,101,791,+0.14
70,71,71,Jeff Gove,57,12.79,78,610,+0.12
71,72,72,Graham DeLaet,88,12.85,134,1043,-0.06
72,73,73,Cameron Beckman,68,12.87,105,816,+0.10
73,T74,T74,Cameron Percy,73,12.92,105,813,+0.02
74,T74,T74,Nick Watney,91,12.92,124,960,E
75,T76,T76,Scott Piercy,88,12.95,143,1104,+0.08
76,T76,T76,Nicholas Thompson,88,12.95,137,1058,+0.18
77,T76,T76,Charles Warren,64,12.95,98,757,+0.15
78,79,79,Blake Adams,84,12.96,134,1034,+0.12
79,80,80,Johnson Wagner,85,12.97,132,1018,+0.14
80,81,81,Troy Matteson,84,12.98,141,1086,+0.01
81,82,82,Justin Leonard,89,12.99,130,1001,+0.13
82,83,83,Charles Howell III,103,13.03,160,1228,+0.01
83,84,84,John Senden,103,13.05,157,1203,+0.10
84,85,85,Jeff Maggert,76,13.06,114,873,+0.17
85,86,86,Michael Letzig,84,13.16,145,1102,+0.04
86,87,87,Kevin Johnson,62,13.26,89,671,+0.16
87,88,88,Troy Merritt,86,13.27,140,1055,+0.10
