,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Mike Weir,59,10.64,10.0,94,+0.10
1,2,2,Craig Bowden,56,9.8,10.0,102,E
2,3,3,Brad Faxon,58,9.26,10.0,108,+0.10
3,4,4,Tim Clark,88,6.49,10.0,154,-0.10
4,5,5,Brian Gay,101,5.98,11.0,184,E
5,T6,T6,Luke Donald,71,5.17,6.0,116,+0.33
6,T6,T6,Jeff Quinney,91,5.17,9.0,174,-0.11
7,8,8,Sergio Garcia,58,5.0,4.0,80,E
8,9,9,Scott Verplank,74,4.92,6.0,122,+0.17
9,10,10,Greg Chalmers,93,4.84,9.0,186,+0.11
10,11,11,Paul Goydos,78,4.73,7.0,148,+0.14
11,12,12,Kevin Johnson,62,4.46,5.0,112,E
12,13,13,Trevor Immelman,55,4.44,4.0,90,E
13,14,14,Greg Kraft,52,4.35,4.0,92,+0.75
14,15,15,Steve Flesch,78,4.29,6.0,140,+0.50
15,16,16,Kevin Na,94,4.12,7.0,170,+0.14
16,17,17,Mark Calcavecchia,50,3.95,3.0,76,E
17,18,18,Brent Delahoussaye,57,3.92,4.0,102,+0.25
18,T19,T19,Richard Johnson,90,3.85,6.0,156,+0.33
19,T19,T19,Vance Veazey,58,3.85,4.0,104,+0.75
20,21,21,Chad Collins,87,3.8,6.0,158,+0.17
21,22,22,Jim Furyk,76,3.79,5.0,132,+0.20
22,T23,T23,Omar Uresti,74,3.68,5.0,136,E
23,T23,T23,Charlie Wi,95,3.68,7.0,190,+0.43
24,25,25,Jerry Kelly,99,3.53,6.0,170,+0.17
25,T26,T26,Alex Cejka,81,3.33,5.0,150,+0.60
26,T26,T26,J.P. Hayes,79,3.33,5.0,150,E
27,T26,T26,Camilo Villegas,78,3.33,4.0,120,+0.75
28,29,29,David Duval,71,3.28,4.0,122,+0.25
29,30,30,Jerod Turner,54,3.26,3.0,92,+0.67
30,31,31,Paul Casey,64,3.13,3.0,96,-0.33
31,32,32,Justin Bolli,55,3.06,3.0,98,E
32,33,33,Jason Bohn,84,3.05,5.0,164,-0.20
33,34,34,Henrik Bjornstad,72,3.03,4.0,132,E
34,35,35,Heath Slocum,97,3.01,5.0,166,E
35,36,36,Chris Riley,73,2.99,4.0,134,+0.75
36,37,37,Michael Bradley,77,2.74,4.0,146,E
37,T38,T38,Jason Dufner,87,2.6,4.0,154,+0.50
38,T38,T38,Bob Estes,79,2.6,4.0,154,+1.00
39,40,40,Garrett Willis,82,2.56,4.0,156,+0.75
40,41,41,Justin Leonard,89,2.5,4.0,160,+0.25
41,42,42,Nathan Green,86,2.44,4.0,164,+0.50
42,T43,T43,Rich Barcelo,70,2.42,3.0,124,+1.00
43,T43,T43,Brenden Pappas,66,2.42,3.0,124,+0.33
44,45,45,Nicholas Thompson,88,2.38,4.0,168,+0.25
45,46,46,Vaughn Taylor,87,2.3,4.0,174,E
46,47,47,Chad Campbell,94,2.25,4.0,178,+1.00
47,48,48,Rocco Mediate,71,2.24,3.0,134,+1.67
48,49,49,Scott McCarron,90,2.22,4.0,180,+0.25
49,50,50,Jeff Maggert,76,2.21,3.0,136,E
50,T51,T51,Cliff Kresge,50,2.17,2.0,92,+1.50
51,T51,T51,Greg Owen,69,2.17,3.0,138,E
