,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Bubba Watson,77,-.124
1,2,2,Luke Donald,71,-.118
2,3,3,Aaron Baddeley,94,-.113
3,4,4,Rory McIlroy,54,-.089
4,5,5,Graham DeLaet,88,-.060
5,T6,T6,Sergio Garcia,58,-.059
6,T6,T6,J.B. Holmes,100,-.059
7,8,8,Jimmy Walker,82,-.046
8,9,9,Jonathan Byrd,85,-.025
9,10,10,George McNeill,79,-.022
10,11,11,Carl Pettersson,99,-.012
11,12,12,Paul Casey,64,-.010
12,T13,T13,Ernie Els,72,-.009
13,T13,T13,Dean Wilson,54,-.009
14,T15,T15,Greg Chalmers,93,-.008
15,T15,T15,Stewart Cink,84,-.008
16,T15,T15,Charley Hoffman,85,-.008
17,T18,T18,Dustin Johnson,83,E
18,T18,T18,Matt Jones,89,E
19,T18,T18,Marc Leishman,87,E
20,T18,T18,Adam Scott,70,E
21,T18,T18,Nick Watney,91,E
22,23,23,Charles Howell III,103,+.006
23,24,24,Will MacKenzie,72,+.008
24,25,25,Hunter Mahan,85,+.010
25,26,26,J.J. Henry,92,+.013
26,27,27,Troy Matteson,84,+.014
27,28,28,Brett Wetterich,54,+.017
28,T29,T29,Ian Poulter,55,+.018
29,T29,T29,John Rollins,81,+.018
30,T29,T29,Vijay Singh,75,+.018
31,T32,T32,Jeff Overton,89,+.019
32,T32,T32,Cameron Percy,73,+.019
33,T34,T34,Heath Slocum,97,+.020
34,T34,T34,Bo Van Pelt,104,+.020
35,T36,T36,Michael Bradley,77,+.021
36,T36,T36,Daniel Chopra,74,+.021
37,38,38,Matt Kuchar,97,+.025
38,39,39,Chris Couch,66,+.026
39,40,40,Bill Haas,87,+.027
40,T41,T41,Padraig Harrington,57,+.028
41,T41,T41,Charlie Wi,95,+.028
42,T43,T43,Scott McCarron,90,+.029
43,T43,T43,Steve Stricker,73,+.029
44,T43,T43,Garrett Willis,82,+.029
45,46,46,James Driscoll,78,+.031
46,47,47,Steve Marino,81,+.034
47,48,48,Robert Garrigus,71,+.035
48,T49,T49,Retief Goosen,75,+.037
49,T49,T49,Webb Simpson,98,+.037
50,T49,T49,D.J. Trahan,92,+.037
51,T49,T49,Y.E. Yang,72,+.037
52,53,53,Andres Romero,73,+.039
53,54,54,Michael Letzig,84,+.041
54,55,55,Garth Mulroy,53,+.042
55,56,56,Paul Stankowski,62,+.046
56,57,57,Ricky Barnes,103,+.047
57,58,58,Kevin Sutherland,86,+.048
58,59,59,J.P. Hayes,79,+.053
59,60,60,Ángel Cabrera,64,+.054
60,T61,T61,Kevin Na,94,+.055
61,T61,T61,Michael Sim,64,+.055
62,63,63,Jerry Kelly,99,+.056
63,T64,T64,Martin Flores,75,+.057
64,T64,T64,Derek Lamely,81,+.057
65,T64,T64,Davis Love III,79,+.057
66,T64,T64,Jeev Milkha Singh,59,+.057
67,68,68,Geoff Ogilvy,62,+.058
68,69,69,Lucas Glover,75,+.059
69,70,70,Jarrod Lyle,54,+.063
70,71,71,Pat Perez,90,+.065
71,72,72,Mark Calcavecchia,50,+.066
72,T73,T73,Chris DiMarco,88,+.070
73,T73,T73,Rory Sabbatini,79,+.070
74,T75,T75,Martin Laird,91,+.071
75,T75,T75,Brett Quigley,96,+.071
76,77,77,Tom Gillis,97,+.072
77,T78,T78,Steve Elkington,74,+.074
78,T78,T78,Chris Stroud,90,+.074
79,T80,T80,Bob Estes,79,+.076
80,T80,T80,Brandt Snedeker,89,+.076
81,T82,T82,Nathan Green,86,+.077
82,T82,T82,Trevor Immelman,55,+.077
83,84,84,Zach Johnson,93,+.078
84,85,85,Phil Mickelson,76,+.079
85,86,86,Ryan Palmer,84,+.081
86,87,87,Mathias Grönberg,61,+.082
87,T88,T88,Rickie Fowler,98,+.083
88,T88,T88,Lee Janzen,77,+.083
89,T88,T88,Joe Ogilvie,99,+.083
90,T91,T91,Rod Pampling,77,+.084
91,T91,T91,Scott Piercy,88,+.084
92,93,93,Jay Williamson,76,+.085
93,94,94,Chris Tidland,77,+.086
94,T95,T95,Sean O'Hair,84,+.087
95,T95,T95,Justin Rose,78,+.087
96,T97,T97,Jason Bohn,84,+.094
97,T97,T97,Jason Dufner,87,+.094
98,T97,T97,Camilo Villegas,78,+.094
99,T100,T100,David Lutterus,69,+.095
100,T100,T100,Mike Weir,59,+.095
101,T102,T102,Michael Connell,89,+.096
102,T102,T102,Ben Crane,85,+.096
103,T102,T102,Steve Lowery,67,+.096
104,T105,T105,Chad Collins,87,+.097
105,T105,T105,Scott Verplank,74,+.097
106,107,107,Brian Gay,101,+.099
107,T108,T108,Briny Baird,87,+.100
108,T108,T108,Tim Clark,88,+.100
109,T108,T108,Bill Lunde,79,+.100
110,T108,T108,Troy Merritt,86,+.100
111,T108,T108,Cameron Tringale,55,+.100
112,T113,T113,Woody Austin,93,+.101
113,T113,T113,Kevin Stadler,86,+.101
114,115,115,John Senden,103,+.102
115,T116,T116,Brendon de Jonge,114,+.104
116,T116,T116,Kenny Perry,69,+.104
117,T118,T118,Cameron Beckman,68,+.105
118,T118,T118,Mark Wilson,87,+.105
119,T120,T120,Stuart Appleby,101,+.106
120,T120,T120,D.A. Points,90,+.106
121,T122,T122,Jim Furyk,76,+.107
122,T122,T122,James Nitties,92,+.107
123,124,124,Tim Herron,79,+.109
124,125,125,Freddie Jacobson,83,+.110
125,126,126,Chris Wilson,65,+.114
126,127,127,Jeff Gove,57,+.115
127,128,128,Rich Barcelo,70,+.116
128,T129,T129,Paul Goydos,78,+.117
129,T129,T129,Vaughn Taylor,87,+.117
130,T131,T131,Roland Thatcher,72,+.118
131,T131,T131,Boo Weekley,88,+.118
132,T133,T133,Blake Adams,84,+.119
133,T133,T133,Jason Day,82,+.119
134,T135,T135,Craig Bowden,56,+.121
135,T135,T135,K.J. Choi,82,+.121
136,T137,T137,Matt Bettencourt,91,+.122
137,T137,T137,Alex Prugh,88,+.122
138,T139,T139,Robert Allenby,76,+.125
139,T139,T139,Bryce Molder,84,+.125
140,T141,T141,Ryuji Imada,90,+.126
141,T141,T141,Vance Veazey,58,+.126
142,143,143,Andrew McLardy,52,+.128
143,144,144,Justin Leonard,89,+.131
144,145,145,Aron Price,70,+.135
145,T146,T146,Ben Curtis,78,+.139
146,T146,T146,Steve Wheatcroft,74,+.139
147,148,148,Roger Tambellini,77,+.142
148,T149,T149,Matt Every,60,+.144
149,T149,T149,John Merrick,109,+.144
150,T149,T149,Greg Owen,69,+.144
151,T149,T149,Johnson Wagner,85,+.144
152,153,153,Shaun Micheel,70,+.147
153,154,154,Brian Stuard,81,+.148
154,155,155,Rocco Mediate,71,+.151
155,156,156,Jeff Quinney,91,+.152
156,157,157,Charles Warren,64,+.153
