,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,1,1,Ernie Els,20,"22' 0""",9503.667,432
1,T2,T2,Ben Crane,24,"22' 2""",14214.5,642
2,T2,T2,Rory McIlroy,16,"22' 2""",7352.4169999999995,332
3,4,4,Vijay Singh,24,"23' 0""",10988.75,477
4,T5,T5,Andrew McLardy,21,"23' 3""",8755.667,376
5,T5,T5,Ryan Palmer,27,"23' 3""",12409.167,533
6,T7,T7,Hunter Mahan,25,"23' 4""",14161.25,607
7,T7,T7,Aron Price,22,"23' 4""",13423.583,575
8,9,9,Camilo Villegas,20,"23' 5""",10688.833,457
9,10,10,Chad Collins,26,"23' 10""",14792.417,620
10,11,11,Chris Riley,24,"23' 11""",14248.833,596
11,T12,T12,Robert Allenby,22,"24' 0""",12855.833,536
12,T12,T12,Ben Curtis,24,"24' 0""",15360.417,639
13,T14,T14,K.J. Choi,22,"24' 1""",13212.083,549
14,T14,T14,Jeff Overton,26,"24' 1""",12610.75,524
15,T14,T14,Michael Sim,20,"24' 1""",10872.917,451
16,T14,T14,Vaughn Taylor,26,"24' 1""",17653.5,733
17,T14,T14,Steve Wheatcroft,27,"24' 1""",12355.333,513
18,T19,T19,Tim Herron,24,"24' 2""",12557.5,519
19,T19,T19,Scott Verplank,22,"24' 2""",12747.083,528
20,T21,T21,James Driscoll,26,"24' 3""",13868.833,572
21,T21,T21,Martin Flores,26,"24' 3""",9958.25,411
22,T21,T21,Sergio Garcia,15,"24' 3""",7190.5,297
23,T21,T21,Steve Lowery,25,"24' 3""",11385.25,470
24,T21,T21,Ted Purdy,30,"24' 3""",14951.917,616
25,T21,T21,Brandt Snedeker,26,"24' 3""",15863.25,654
26,T27,T27,Paul Goydos,25,"24' 4""",15305.833,630
27,T27,T27,Kevin Na,26,"24' 4""",16641.167,683
28,T29,T29,Paul Casey,17,"24' 5""",9121.75,373
29,T29,T29,Joe Durant,19,"24' 5""",14431.25,592
30,T29,T29,Josh Teater,31,"24' 5""",19630.5,803
31,T32,T32,Stuart Appleby,31,"24' 6""",17541.083,715
32,T32,T32,Tom Gillis,27,"24' 6""",20902.583,852
33,T32,T32,Kevin Streelman,28,"24' 6""",17617.5,720
34,T35,T35,Ángel Cabrera,19,"24' 7""",8835.083,360
35,T35,T35,Jason Dufner,25,"24' 7""",16054.5,653
36,T35,T35,Padraig Harrington,18,"24' 7""",8047.0,327
37,T38,T38,Chad Campbell,28,"24' 8""",18921.167,767
38,T38,T38,David Toms,25,"24' 8""",16932.417,686
39,40,40,Jerod Turner,21,"24' 9""",8305.583,336
40,T41,T41,Matt Every,18,"24' 10""",10540.833,424
41,T41,T41,Ryuji Imada,28,"24' 10""",18116.083,729
42,T41,T41,John Rollins,26,"24' 10""",16353.75,658
43,T41,T41,Adam Scott,20,"24' 10""",10644.667,429
44,T41,T41,Kevin Sutherland,25,"24' 10""",17582.75,709
45,T46,T46,Mark Calcavecchia,16,"24' 11""",6781.25,272
46,T46,T46,Charley Hoffman,24,"24' 11""",16235.25,651
47,T46,T46,Troy Matteson,28,"24' 11""",15997.417,641
48,T46,T46,John Merrick,31,"24' 11""",21058.667,844
49,T46,T46,Phil Mickelson,20,"24' 11""",9804.167,393
50,T46,T46,Joe Ogilvie,32,"24' 11""",17290.5,695
51,T46,T46,D.J. Trahan,27,"24' 11""",16672.167,670
52,T46,T46,Nick Watney,24,"24' 11""",14413.75,579
53,T46,T46,Boo Weekley,27,"24' 11""",17148.0,689
54,T46,T46,Jay Williamson,24,"24' 11""",14384.0,578
55,T46,T46,Y.E. Yang,21,"24' 11""",12828.417,515
56,57,57,Jeev Milkha Singh,19,"25' 0""",10910.167,436
57,T58,T58,Blake Adams,26,"25' 1""",17173.417,684
58,T58,T58,Jason Bohn,25,"25' 1""",16839.0,671
59,T58,T58,Retief Goosen,19,"25' 1""",11925.083,475
60,T58,T58,D.A. Points,29,"25' 1""",17220.25,686
61,T62,T62,Alex Cejka,28,"25' 2""",16635.25,661
62,T62,T62,Luke Donald,20,"25' 2""",11137.667,443
63,T62,T62,Rocco Mediate,25,"25' 2""",14435.833,573
64,T62,T62,Garrett Willis,24,"25' 2""",17172.583,683
65,66,66,Justin Leonard,27,"25' 3""",17327.583,687
66,T67,T67,Rickie Fowler,28,"25' 4""",18059.167,713
67,T67,T67,Bill Haas,25,"25' 4""",16717.333,659
68,T67,T67,J.J. Henry,27,"25' 4""",17733.083,701
69,T67,T67,Matt Kuchar,26,"25' 4""",17509.0,691
70,T67,T67,Bryce Molder,26,"25' 4""",15863.5,627
71,T67,T67,Steve Stricker,19,"25' 4""",13250.167,523
72,T73,T73,Woody Austin,29,"25' 5""",19220.333,755
73,T73,T73,Michael Connell,25,"25' 5""",17053.917,670
74,T73,T73,Brian Davis,32,"25' 5""",21100.0,831
75,T73,T73,Brendon de Jonge,32,"25' 5""",20809.417,820
76,T73,T73,Matt Jones,27,"25' 5""",15652.417,616
77,T73,T73,Michael Letzig,27,"25' 5""",17779.667,700
78,T73,T73,Garth Mulroy,19,"25' 5""",8968.583,353
79,T73,T73,Chris Tidland,24,"25' 5""",14977.167,589
80,T81,T81,John Daly,20,"25' 6""",8530.583,334
81,T81,T81,Lucas Glover,23,"25' 6""",13073.583,513
82,T81,T81,J.P. Hayes,25,"25' 6""",15266.417,599
83,T81,T81,Zach Johnson,25,"25' 6""",18573.917,728
84,T81,T81,Steve Marino,24,"25' 6""",13612.667,534
85,T81,T81,Ian Poulter,15,"25' 6""",7355.0830000000005,288
86,T81,T81,Andres Romero,21,"25' 6""",13913.917,545
87,T81,T81,Nicholas Thompson,29,"25' 6""",16930.25,664
88,T81,T81,Charles Warren,21,"25' 6""",12711.75,498
89,T81,T81,Bubba Watson,22,"25' 6""",12713.083,499
90,T81,T81,Chris Wilson,26,"25' 6""",10688.583,419
91,T92,T92,Tim Clark,24,"25' 7""",17550.583,687
92,T92,T92,Bill Lunde,28,"25' 7""",14274.583,558
93,T92,T92,Ryan Moore,24,"25' 7""",14406.917,563
94,T92,T92,Sean O'Hair,25,"25' 7""",14414.167,564
95,T96,T96,Ricky Barnes,28,"25' 8""",16838.167,656
96,T96,T96,Kris Blanks,30,"25' 8""",17583.917,686
97,T96,T96,Will MacKenzie,23,"25' 8""",15928.25,620
98,T96,T96,Geoff Ogilvy,19,"25' 8""",9943.75,388
99,T96,T96,John Senden,30,"25' 8""",20202.333,786
100,T96,T96,Heath Slocum,25,"25' 8""",18512.667,721
101,T102,T102,Jason Day,24,"25' 9""",14259.583,554
102,T102,T102,Robert Garrigus,22,"25' 9""",11732.917,456
103,T102,T102,Alex Prugh,28,"25' 9""",16058.083,624
104,T102,T102,Roger Tambellini,26,"25' 9""",13632.583,529
105,T102,T102,Bo Van Pelt,28,"25' 9""",19651.917,763
106,T107,T107,Spencer Levin,31,"25' 10""",22855.417,886
107,T107,T107,Davis Love III,24,"25' 10""",15017.25,582
108,T107,T107,John Mallinger,29,"25' 10""",16238.167,629
109,T107,T107,Billy Mayfair,26,"25' 10""",16088.583,623
110,T107,T107,Brian Stuard,28,"25' 10""",16000.083,619
111,T107,T107,Jimmy Walker,27,"25' 10""",12485.167,483
112,T107,T107,Charlie Wi,27,"25' 10""",20123.083,780
113,T114,T114,Aaron Baddeley,26,"25' 11""",17366.333,671
114,T114,T114,Henrik Bjornstad,26,"25' 11""",13406.5,518
115,T114,T114,Tom Pernice Jr.,22,"25' 11""",13779.083,531
116,T114,T114,Carl Pettersson,29,"25' 11""",18242.333,705
117,T114,T114,Rory Sabbatini,26,"25' 11""",14272.0,551
118,T114,T114,Webb Simpson,31,"25' 11""",19685.833,759
119,T120,T120,Justin Bolli,23,"26' 0""",9894.583,381
120,T120,T120,Jonathan Byrd,26,"26' 0""",17998.833,692
121,T120,T120,Chris Couch,23,"26' 0""",13690.333,527
122,T120,T120,Jim Furyk,21,"26' 0""",15460.583,594
123,T120,T120,Dustin Johnson,23,"26' 0""",12080.25,464
124,T120,T120,Justin Rose,22,"26' 0""",16312.917,628
125,T120,T120,Vance Veazey,23,"26' 0""",9680.583,372
126,T127,T127,Matt Bettencourt,32,"26' 1""",14240.583,546
127,T127,T127,Richard Johnson,27,"26' 1""",18552.917,711
128,T127,T127,Jeff Maggert,28,"26' 1""",14978.75,575
129,T127,T127,Scott McCarron,29,"26' 1""",19608.083,751
130,T127,T127,Rod Pampling,26,"26' 1""",16432.333,630
131,T127,T127,Mark Wilson,28,"26' 1""",19623.0,753
132,T133,T133,Greg Chalmers,27,"26' 2""",18434.5,705
133,T133,T133,Steve Elkington,22,"26' 2""",14149.667,541
134,T135,T135,Craig Bowden,20,"26' 3""",12845.667,489
135,T135,T135,Cameron Tringale,22,"26' 3""",9524.25,363
136,T137,T137,Rich Barcelo,25,"26' 4""",11169.0,424
137,T137,T137,Skip Kendall,18,"26' 4""",12365.583,470
138,T137,T137,Marc Leishman,26,"26' 4""",14741.5,560
139,T137,T137,Kenny Perry,20,"26' 4""",13593.167,517
140,T141,T141,Stewart Cink,23,"26' 5""",14698.667,557
141,T141,T141,Derek Lamely,28,"26' 5""",12676.667,480
142,143,143,Cameron Percy,25,"26' 6""",12524.0,472
143,T144,T144,Jeff Gove,22,"26' 7""",10210.833,384
144,T144,T144,Dean Wilson,18,"26' 7""",11605.5,437
145,T146,T146,Greg Owen,27,"26' 8""",13816.917,518
146,T146,T146,Paul Stankowski,18,"26' 8""",12818.5,480
147,T146,T146,Omar Uresti,27,"26' 8""",17216.583,645
148,T149,T149,Stephen Ames,23,"26' 9""",17139.0,640
149,T149,T149,J.B. Holmes,26,"26' 9""",17362.167,650
150,T149,T149,Freddie Jacobson,24,"26' 9""",17836.333,667
151,T149,T149,Martin Laird,26,"26' 9""",17109.417,639
152,T149,T149,Troy Merritt,29,"26' 9""",16599.333,620
153,T149,T149,Tim Petrovic,32,"26' 9""",23074.583,862
154,T149,T149,Jeff Quinney,29,"26' 9""",20674.667,772
155,T156,T156,Graham DeLaet,28,"26' 10""",17994.5,670
156,T156,T156,Lee Janzen,26,"26' 10""",15229.667,568
