,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
0,1,1,Bubba Watson,77,123.58,8527.05,69,127.76,118.07
1,2,2,J.B. Holmes,100,122.75,8838.0,72,129.78,113.72
2,3,3,Chris Couch,66,122.06,5736.8,47,128.29,117.91
3,4,4,Dustin Johnson,83,121.94,7926.1,65,127.84,118.28
4,5,5,Robert Garrigus,71,121.92,5364.28,44,126.55,118.84
5,6,6,Graham DeLaet,88,121.26,5820.56,48,124.77,117.14
6,7,7,Ángel Cabrera,64,120.63,6755.39,56,123.61,116.16
7,8,8,Aaron Baddeley,94,119.95,9715.68,81,124.53,113.93
8,9,9,Phil Mickelson,76,119.56,5858.26,49,123.61,114.72
9,10,10,Paul Casey,64,119.37,4178.07,35,125.75,115.62
10,11,11,Jimmy Walker,82,119.27,6679.24,56,125.01,114.83
11,12,12,Martin Flores,75,119.25,6558.96,55,122.66,115.57
12,13,13,Brett Wetterich,54,119.1,4644.76,39,122.92,110.24
13,14,14,Charley Hoffman,85,118.88,8797.09,74,124.55,114.03
14,15,15,Sergio Garcia,58,118.83,4159.0,35,123.79,114.44
15,16,16,James Driscoll,78,118.75,7481.35,63,123.36,114.71
16,17,17,Bill Haas,87,118.55,9246.61,78,123.9,113.9
17,18,18,Nick Watney,91,118.5,8531.79,72,123.45,114.84
18,19,19,Adam Scott,70,118.42,7105.46,60,124.98,114.68
19,20,20,John Daly,63,118.18,3545.39,30,121.44,108.17
20,21,21,Martin Laird,91,118.12,8976.84,76,124.65,112.93
21,22,22,Jason Day,82,117.88,7662.23,65,123.26,107.8
22,23,23,Charles Howell III,103,117.85,10135.37,86,121.09,114.4
23,24,24,Charles Warren,64,117.7,5060.94,43,121.33,108.64
24,25,25,Davis Love III,79,117.68,7060.84,60,121.44,113.47
25,26,26,Troy Matteson,84,117.33,8095.88,69,121.2,113.6
26,27,27,Alex Prugh,88,117.2,8203.96,70,121.2,113.37
27,28,28,John Senden,103,117.19,9843.56,84,121.83,108.65
28,29,29,Daniel Chopra,74,117.06,7023.63,60,121.46,110.34
29,30,30,Ricky Barnes,103,116.87,9583.74,82,120.59,113.28
30,31,31,Marc Leishman,87,116.82,8410.93,72,121.56,112.57
31,32,32,George McNeill,79,116.81,7125.21,61,119.79,111.09
32,33,33,Andres Romero,73,116.56,7343.28,63,122.23,112.91
33,34,34,Rory McIlroy,54,116.55,4895.02,42,122.69,112.02
34,T35,T35,Lucas Glover,75,116.41,6984.58,60,120.19,112.05
35,T35,T35,Matt Jones,89,116.41,8730.46,75,122.4,112.08
36,37,37,Derek Lamely,81,116.34,6747.99,58,120.79,112.41
37,38,38,D.J. Trahan,92,115.99,9394.87,81,121.93,110.9
38,39,39,Greg Owen,69,115.88,6953.0,60,119.98,110.35
39,40,40,J.J. Henry,92,115.86,8341.92,72,122.19,111.5
40,41,41,Jonathan Byrd,85,115.8,8337.52,72,120.91,112.28
41,42,42,Trevor Immelman,55,115.78,4746.79,41,122.35,106.88
42,43,43,Jeff Overton,89,115.77,8104.01,70,120.92,108.03
43,44,44,Scott Piercy,88,115.65,7401.7,64,121.07,111.2
44,45,45,Kevin Streelman,90,115.6,8323.08,72,119.39,111.58
45,46,46,Cameron Tringale,55,115.57,4391.75,38,120.3,112.26
46,47,47,Stewart Cink,84,115.53,8086.81,70,120.51,111.45
47,48,48,Boo Weekley,88,115.52,8663.67,75,120.98,111.13
48,49,49,Padraig Harrington,57,115.43,5424.98,47,120.97,110.25
49,50,50,Retief Goosen,75,115.32,5996.48,52,120.97,109.43
50,51,51,Blake Adams,84,115.31,7956.35,69,119.14,108.9
51,52,52,Matt Every,60,115.25,5186.39,45,121.14,111.82
52,53,53,Garth Mulroy,53,115.23,4263.44,37,119.49,111.88
53,54,54,Stuart Appleby,101,115.21,9907.76,86,120.61,109.56
54,55,55,Rickie Fowler,98,115.17,9904.97,86,120.03,110.77
55,56,56,James Nitties,92,114.96,7012.81,61,119.33,111.54
56,57,57,Matt Bettencourt,91,114.88,5859.08,51,119.24,110.53
57,58,58,Ryan Palmer,84,114.84,8383.33,73,120.41,111.1
58,59,59,Mathew Goggin,85,114.82,6430.08,56,118.71,111.62
59,60,60,John Rollins,81,114.78,8493.51,74,119.29,109.25
60,61,61,Camilo Villegas,78,114.77,6312.12,55,118.92,111.21
61,62,62,Pat Perez,90,114.74,9179.37,80,118.93,106.44
62,63,63,Bo Van Pelt,104,114.68,9059.35,79,118.6,111.12
63,64,64,David Duval,71,114.6,4469.27,39,119.29,110.73
64,65,65,Andrew McLardy,52,114.54,4008.84,35,118.87,106.88
65,T66,T66,Tom Gillis,97,114.5,9732.83,85,117.86,105.75
66,T66,T66,Brenden Pappas,66,114.5,4808.85,42,118.62,110.99
67,68,68,Steve Marino,81,114.43,7781.24,68,116.95,111.25
68,69,69,Cameron Percy,73,114.34,6174.43,54,118.71,111.03
69,70,70,Ted Purdy,86,114.32,6859.03,60,119.1,110.96
70,T71,T71,Geoff Ogilvy,62,114.08,6274.35,55,118.0,110.97
71,T71,T71,Josh Teater,101,114.08,9012.23,79,118.38,110.61
72,73,73,Rory Sabbatini,79,114.06,6387.22,56,118.07,111.1
73,74,74,Kevin Stadler,86,114.0,6954.16,61,119.6,110.57
74,75,75,Freddie Jacobson,83,113.96,8432.94,74,118.35,110.35
75,76,76,Ernie Els,72,113.92,6607.27,58,118.58,110.34
76,77,77,Ryan Moore,80,113.9,7175.4,63,119.94,109.98
77,78,78,Troy Merritt,86,113.82,7740.09,68,117.16,109.44
78,79,79,Vijay Singh,75,113.77,6940.16,61,117.85,110.11
79,80,80,Scott McCarron,90,113.7,8300.02,73,117.78,108.38
80,81,81,Chris Wilson,65,113.65,5000.54,44,117.68,107.47
81,82,82,Sean O'Hair,84,113.61,7952.5,70,118.03,110.2
82,83,83,Justin Rose,78,113.57,7950.19,70,117.69,109.77
83,84,84,Y.E. Yang,72,113.56,6018.79,53,118.61,109.93
84,85,85,Brendon de Jonge,114,113.4,10319.43,91,118.81,107.9
85,86,86,Jeev Milkha Singh,59,113.25,3850.54,34,117.89,108.89
86,87,87,Rich Barcelo,70,113.21,5547.22,49,116.78,108.6
87,88,88,Chris Tidland,77,113.2,7131.62,63,119.48,109.85
88,89,89,Michael Letzig,84,113.07,8141.19,72,119.6,105.86
89,90,90,Jarrod Lyle,54,113.06,4635.43,41,116.34,109.84
90,91,91,Michael Bradley,77,113.04,5877.99,52,116.83,109.31
91,92,92,Lee Janzen,77,112.94,6663.6,59,118.19,108.86
92,93,93,Robert Allenby,76,112.87,6998.02,62,116.88,108.29
93,T94,T94,Woody Austin,93,112.84,7673.0,68,117.32,109.38
94,T94,T94,Joe Durant,67,112.84,5303.37,47,116.18,108.97
95,96,96,Michael Sim,64,112.83,5641.75,50,117.6,109.16
96,97,97,Henrik Bjornstad,72,112.66,6083.51,54,116.03,108.87
97,98,98,Nicholas Thompson,88,112.62,7545.59,67,118.0,108.98
98,99,99,Brett Quigley,96,112.58,8781.34,78,119.32,108.79
99,T100,T100,Mark Calcavecchia,50,112.57,4502.88,40,115.63,108.73
100,T100,T100,Chad Campbell,94,112.57,8330.12,74,115.96,107.95
101,102,102,Steve Lowery,67,112.54,5514.28,49,116.86,109.09
102,103,103,Tim Herron,79,112.53,6526.76,58,115.79,106.12
103,104,104,Vance Veazey,58,112.51,4500.49,40,117.07,108.07
104,T105,T105,David Lutterus,69,112.46,5510.51,49,117.33,109.52
105,T105,T105,Rod Pampling,77,112.46,6860.3,61,116.63,107.32
106,107,107,Roger Tambellini,77,112.42,6520.15,58,117.03,108.79
107,108,108,Hunter Mahan,85,112.31,8310.74,74,117.03,107.96
108,109,109,Bob Estes,79,112.18,7179.84,64,115.32,108.11
109,110,110,Stephen Ames,75,112.15,6504.66,58,115.13,107.67
110,111,111,Chris Stroud,90,112.09,6837.29,61,116.76,109.04
111,112,112,Charlie Wi,95,112.08,8854.65,79,117.34,107.14
112,113,113,Mathias Grönberg,61,112.05,4482.0,40,115.81,108.39
113,114,114,John Merrick,109,112.04,9747.9,87,116.96,106.31
