,Ball_Speed_RANK THIS WEEK,Ball_Speed_RANK LAST WEEK,Ball_Speed_PLAYER NAME,Ball_Speed_ROUNDS,Ball_Speed_AVG.,Ball_Speed_TOTAL BALL SPEED,Ball_Speed_TOTAL ATTEMPTS,Ball_Speed_FASTEST SPEED,Ball_Speed_SLOWEST SPEED
0,1,1,Bubba Watson,77,182.61,12599.77,69,188.19,175.33
1,2,2,J.B. Holmes,100,181.6,13075.32,72,187.5,168.87
2,3,3,Dustin Johnson,83,180.34,11722.16,65,184.66,174.69
3,4,4,Robert Garrigus,71,179.84,7913.1,44,183.63,173.21
4,5,5,Ángel Cabrera,64,178.27,9982.91,56,183.56,168.43
5,6,6,Graham DeLaet,88,177.61,8525.31,48,183.43,170.13
6,7,7,Aaron Baddeley,94,177.01,14338.18,81,184.55,168.24
7,8,8,Chris Couch,66,176.65,8302.34,47,182.5,170.97
8,9,9,Phil Mickelson,76,176.37,8642.28,49,182.39,164.9
9,10,10,Paul Casey,64,176.24,6168.41,35,181.98,167.65
10,11,11,Jimmy Walker,82,176.2,9867.27,56,181.63,169.11
11,12,12,Brett Wetterich,54,175.93,6861.19,39,180.56,163.7
12,13,13,Martin Flores,75,175.53,9654.27,55,180.34,167.98
13,14,14,Nick Watney,91,175.18,12612.75,72,179.34,169.9
14,15,15,Sergio Garcia,58,175.08,6127.82,35,179.27,169.39
15,16,16,James Driscoll,78,175.01,11025.8,63,179.93,166.65
16,17,17,Charley Hoffman,85,174.78,12933.46,74,180.77,165.34
17,18,18,Martin Laird,91,174.77,13282.64,76,182.2,167.71
18,19,19,Adam Scott,70,174.68,10481.01,60,178.91,169.04
19,20,20,John Daly,63,174.47,5233.98,30,178.68,159.64
20,21,21,Jason Day,82,174.26,11326.67,65,178.84,160.08
21,22,22,Charles Howell III,103,174.05,14968.6,86,178.62,169.39
22,23,23,Bill Haas,87,173.77,13554.38,78,182.03,166.01
23,24,24,Davis Love III,79,173.39,10403.61,60,179.13,168.29
24,25,25,Troy Matteson,84,172.89,11929.29,69,178.07,165.88
25,26,26,Alex Prugh,88,172.64,12084.53,70,178.49,166.29
26,27,27,Charles Warren,64,172.52,7418.37,43,177.76,159.47
27,28,28,Marc Leishman,87,172.43,12414.98,72,177.77,166.88
28,T29,T29,Derek Lamely,81,172.18,9986.36,58,179.37,165.77
29,T29,T29,John Senden,103,172.18,14463.05,84,178.39,160.02
30,31,31,George McNeill,79,172.15,10501.45,61,176.53,163.88
31,32,32,Lucas Glover,75,172.06,10323.68,60,176.86,162.95
32,33,33,Rory McIlroy,54,171.93,7220.95,42,180.31,162.42
33,34,34,Andres Romero,73,171.66,10814.65,63,177.3,164.79
34,35,35,Matt Jones,89,171.61,12871.06,75,178.18,164.41
35,36,36,Ricky Barnes,103,171.48,14061.66,82,176.14,164.26
36,37,37,Greg Owen,69,171.41,10284.49,60,178.18,163.86
37,38,38,Jeff Overton,89,171.22,11985.7,70,176.17,159.88
38,39,39,Daniel Chopra,74,171.19,10271.67,60,178.32,159.99
39,40,40,Stewart Cink,84,171.07,11975.15,70,176.67,164.33
40,41,41,Padraig Harrington,57,171.01,8037.28,47,176.31,163.72
41,42,42,Scott Piercy,88,170.89,10937.09,64,177.91,165.13
42,43,43,Retief Goosen,75,170.77,8880.0,52,175.58,162.5
43,44,44,J.J. Henry,92,170.68,12288.67,72,178.33,160.5
44,45,45,Trevor Immelman,55,170.58,6993.75,41,177.22,158.54
45,46,46,D.J. Trahan,92,170.56,13815.34,81,176.42,162.68
46,T47,T47,Blake Adams,84,170.43,11759.64,69,174.32,161.72
47,T47,T47,Jonathan Byrd,85,170.43,12270.92,72,174.51,164.25
48,49,49,Garth Mulroy,53,170.41,6305.19,37,173.62,166.14
49,50,50,Stuart Appleby,101,170.15,14632.58,86,176.42,162.61
50,51,51,Ryan Palmer,84,170.14,12420.1,73,177.34,164.98
51,52,52,Kevin Streelman,90,169.97,12237.89,72,173.82,164.18
52,53,53,Bo Van Pelt,104,169.95,13426.36,79,176.11,164.98
53,54,54,James Nitties,92,169.91,10364.75,61,174.79,162.9
54,55,55,Matt Bettencourt,91,169.89,8664.44,51,175.98,164.14
55,T56,T56,John Rollins,81,169.81,12565.86,74,176.68,159.65
56,T56,T56,Boo Weekley,88,169.81,12735.97,75,176.61,158.2
57,58,58,Camilo Villegas,78,169.66,9331.12,55,175.12,165.15
58,59,59,Mathew Goggin,85,169.6,9497.54,56,173.43,163.44
59,60,60,Steve Marino,81,169.58,11531.2,68,173.42,164.3
60,61,61,David Duval,71,169.47,6609.49,39,174.36,164.23
61,62,62,Rickie Fowler,98,169.38,14566.5,86,174.39,163.81
62,63,63,Cameron Percy,73,168.88,9119.37,54,171.48,164.87
63,64,64,Rory Sabbatini,79,168.85,9455.75,56,175.34,164.98
64,65,65,Andrew McLardy,52,168.81,5908.31,35,174.12,155.45
65,66,66,Matt Every,60,168.79,7595.36,45,172.39,164.52
66,67,67,Ted Purdy,86,168.76,10125.73,60,174.24,161.26
67,68,68,Pat Perez,90,168.69,13494.82,80,174.37,154.34
68,69,69,Josh Teater,101,168.58,13317.77,79,173.92,162.77
69,70,70,Geoff Ogilvy,62,168.5,9267.73,55,172.54,164.16
70,71,71,Vijay Singh,75,168.39,10271.5,61,174.22,163.51
71,72,72,Troy Merritt,86,168.3,11444.09,68,173.31,160.7
72,73,73,Ryan Moore,80,168.29,10602.31,63,174.27,159.81
73,74,74,Ernie Els,72,168.28,9760.1,58,172.87,163.86
74,75,75,Cameron Tringale,55,168.1,6387.73,38,175.94,159.61
75,76,76,Sean O'Hair,84,168.04,11762.95,70,174.41,163.65
76,77,77,Brenden Pappas,66,168.0,7055.97,42,173.73,159.71
77,78,78,Jeev Milkha Singh,59,167.61,5698.81,34,174.38,161.7
78,79,79,Y.E. Yang,72,167.57,8881.19,53,173.12,162.21
79,80,80,Brendon de Jonge,114,167.45,15238.04,91,172.8,160.23
80,81,81,Freddie Jacobson,83,167.37,12385.32,74,171.69,163.18
81,82,82,Chris Tidland,77,167.29,10539.46,63,173.13,161.01
82,83,83,Chris Wilson,65,167.23,7358.07,44,172.27,159.59
83,84,84,Tom Gillis,97,167.2,14212.1,85,172.25,156.14
84,85,85,Jarrod Lyle,54,167.17,6853.89,41,170.58,162.62
85,86,86,Robert Allenby,76,167.14,10362.75,62,171.83,158.07
86,87,87,Michael Letzig,84,166.99,12023.39,72,173.06,155.96
87,88,88,Lee Janzen,77,166.98,9851.75,59,172.04,160.66
88,89,89,Justin Rose,78,166.94,11685.91,70,172.51,161.15
89,90,90,Michael Bradley,77,166.91,8679.16,52,172.29,158.5
90,91,91,Kevin Stadler,86,166.87,10179.12,61,172.52,157.24
91,92,92,Scott McCarron,90,166.84,12179.5,73,173.47,156.59
92,93,93,Brett Quigley,96,166.56,12991.84,78,171.37,161.56
