,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Charles Warren,21,70,9,61
1,2,2,Graham DeLaet,28,84,6,78
2,3,3,Hunter Mahan,25,95,57,38
3,T4,T4,Davis Love III,24,102,17,85
4,T4,T4,Boo Weekley,27,102,55,47
5,6,6,Kenny Perry,20,104,68,36
6,7,7,John Rollins,26,110,30,80
7,T8,T8,Chris Couch,23,111,49,62
8,T8,T8,Ryan Moore,24,111,75,36
9,10,10,John Merrick,31,113,60,53
10,T11,T11,Blake Adams,26,115,63,52
11,T11,T11,Steve Elkington,22,115,80,35
12,T11,T11,Tom Gillis,27,115,86,29
13,T14,T14,Joe Durant,19,118,116,2
14,T14,T14,John Senden,30,118,72,46
15,16,16,J.J. Henry,27,120,46,74
16,17,17,Jarrod Lyle,18,122,23,99
17,T18,T18,Mathias Grönberg,22,123,40,83
18,T18,T18,Will MacKenzie,23,123,66,57
19,T18,T18,Bo Van Pelt,28,123,53,70
20,21,21,Rory McIlroy,16,127,12,115
21,22,22,Bill Haas,25,130,42,88
22,23,23,Scott McCarron,29,131,88,43
23,24,24,Rickie Fowler,28,133,47,86
24,25,25,Kevin Streelman,28,134,70,64
25,T26,T26,Retief Goosen,19,136,60,76
26,T26,T26,Nick Watney,24,136,20,116
27,T28,T28,Lucas Glover,23,138,27,111
28,T28,T28,Paul Stankowski,18,138,70,68
29,30,30,Jay Williamson,24,139,119,20
30,T31,T31,Stewart Cink,23,141,49,92
31,T31,T31,Billy Mayfair,26,141,124,17
32,T31,T31,Josh Teater,31,141,44,97
33,34,34,Sergio Garcia,15,142,47,95
34,T35,T35,Charley Hoffman,24,143,15,128
35,T35,T35,Adam Scott,20,143,33,110
36,T35,T35,D.J. Trahan,27,143,10,133
37,T38,T38,Chad Campbell,28,144,119,25
38,T38,T38,Matt Kuchar,26,144,105,39
39,T40,T40,Ben Crane,24,145,136,9
40,T40,T40,Kevin Sutherland,25,145,96,49
41,42,42,Mathew Goggin,28,147,78,69
42,43,43,David Toms,25,151,144,7
43,44,44,Vijay Singh,24,153,51,102
44,45,45,Vaughn Taylor,26,155,122,33
45,46,46,Cliff Kresge,17,156,128,28
46,47,47,Robert Allenby,22,159,82,77
47,48,48,Kris Blanks,30,161,110,51
48,T49,T49,Jason Dufner,25,164,140,24
49,T49,T49,Zach Johnson,25,164,156,8
50,T49,T49,Martin Laird,26,164,20,144
51,T49,T49,Troy Matteson,28,164,22,142
52,T49,T49,Steve Stricker,19,164,134,30
53,T54,T54,Aron Price,22,166,121,45
54,T54,T54,Brett Wetterich,16,166,4,162
55,T56,T56,Garth Mulroy,19,167,29,138
56,T56,T56,Garrett Willis,24,167,153,14
57,T58,T58,Paul Casey,17,169,35,134
58,T58,T58,Justin Rose,22,169,97,72
59,T58,T58,Heath Slocum,25,169,163,6
60,T61,T61,Brendon de Jonge,32,170,105,65
61,T61,T61,Sean O'Hair,25,170,78,92
62,T61,T61,Y.E. Yang,21,170,88,82
63,T64,T64,Henrik Bjornstad,26,171,93,78
64,T64,T64,Roger Tambellini,26,171,53,118
65,T64,T64,Nicholas Thompson,29,171,80,91
66,67,67,Pat Perez,27,172,102,70
67,T68,T68,Jerry Kelly,29,173,160,13
68,T68,T68,Michael Letzig,27,173,75,98
69,T70,T70,Dustin Johnson,23,175,3,172
70,T70,T70,John Mallinger,29,175,152,23
71,T70,T70,James Nitties,30,175,112,63
72,T73,T73,Robert Garrigus,22,176,1,175
73,T73,T73,Mark Wilson,28,176,150,26
74,T75,T75,Jason Day,24,178,15,163
75,T75,T75,Chris DiMarco,25,178,160,18
76,T75,T75,Skip Kendall,18,178,157,21
77,T75,T75,Bubba Watson,22,178,2,176
78,79,79,Kevin Stadler,28,180,72,108
79,80,80,Dean Wilson,18,183,142,41
80,81,81,Aaron Baddeley,26,184,14,170
81,82,82,Alex Prugh,28,185,27,158
82,83,83,Richard Johnson,27,186,175,11
83,84,84,Matt Every,18,187,64,123
84,85,85,J.B. Holmes,26,188,5,183
85,T86,T86,Alex Cejka,28,189,173,16
86,T86,T86,Jim Furyk,21,189,179,10
87,T86,T86,Cameron Tringale,22,189,32,157
88,T89,T89,Ángel Cabrera,19,190,8,182
89,T89,T89,Marc Leishman,26,190,31,159
90,T89,T89,Greg Owen,27,190,60,130
91,T89,T89,Ryan Palmer,27,190,26,164
92,T89,T89,Omar Uresti,27,190,189,1
93,T94,T94,K.J. Choi,22,191,131,60
94,T94,T94,Steve Wheatcroft,27,191,102,89
95,T96,T96,Tim Clark,24,192,188,4
96,T96,T96,Steve Marino,24,192,68,124
97,T96,T96,Rod Pampling,26,192,126,66
98,T96,T96,Cameron Percy,25,192,36,156
99,T96,T96,Scott Piercy,28,192,19,173
100,T101,T101,Stephen Ames,23,193,138,55
101,T101,T101,Jonathan Byrd,26,193,64,129
102,T103,T103,Brian Davis,32,194,163,31
103,T103,T103,Jeff Gove,22,194,86,108
104,T103,T103,Justin Leonard,27,194,172,22
105,T106,T106,John Daly,20,195,6,189
106,T106,T106,Brian Gay,30,195,192,3
107,T106,T106,Jeff Overton,26,195,18,177
108,T109,T109,Craig Bowden,20,196,191,5
109,T109,T109,Chris Riley,24,196,169,27
110,111,111,Paul Goydos,25,197,185,12
111,T112,T112,Justin Bolli,23,199,141,58
112,T112,T112,Jeff Maggert,28,199,159,40
113,T112,T112,Chris Tidland,24,199,93,106
114,115,115,Trevor Immelman,19,200,110,90
115,T116,T116,Woody Austin,29,201,147,54
116,T116,T116,Matt Bettencourt,32,201,36,165
117,T116,T116,Ben Curtis,24,201,182,19
118,T116,T116,Phil Mickelson,20,201,13,188
119,T116,T116,Jeff Quinney,29,201,186,15
120,T116,T116,Scott Verplank,22,201,167,34
121,T122,T122,Rocco Mediate,25,202,170,32
122,T122,T122,Tom Pernice Jr.,22,202,154,48
123,T122,T122,Andres Romero,21,202,24,178
124,T125,T125,Martin Flores,26,203,11,192
125,T125,T125,Camilo Villegas,20,203,77,126
126,T127,T127,Briny Baird,28,204,138,66
127,T127,T127,Jason Bohn,25,204,155,49
128,T129,T129,Andrew McLardy,21,205,74,131
129,T129,T129,Ted Purdy,30,205,66,139
130,131,131,Tim Petrovic,32,206,165,41
131,T132,T132,James Driscoll,26,207,39,168
132,T132,T132,Chris Wilson,26,207,58,149
133,134,134,Chris Stroud,27,208,101,107
134,135,135,Matt Jones,27,209,42,167
135,136,136,Brian Stuard,28,210,105,105
136,137,137,Cameron Beckman,25,211,115,96
137,138,138,D.A. Points,29,214,133,81
138,139,139,Charles Howell III,28,215,34,181
139,T140,T140,Daniel Chopra,28,216,25,191
140,T140,T140,Derek Lamely,28,216,36,180
