,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Robert Garrigus,71,315.5,41009,130
1,2,2,Bubba Watson,77,309.8,47703,154
2,3,3,Dustin Johnson,83,308.5,50588,164
3,4,4,Brett Wetterich,54,307.3,33187,108
4,5,5,J.B. Holmes,100,307.2,61437,200
5,T6,T6,John Daly,63,305.7,33623,110
6,T6,T6,Graham DeLaet,88,305.7,50142,164
7,8,8,Ángel Cabrera,64,304.5,38362,126
8,9,9,Charles Warren,64,302.5,35089,116
9,10,10,D.J. Trahan,92,301.1,55411,184
10,11,11,Martin Flores,75,300.7,42705,142
11,12,12,Rory McIlroy,54,300.0,31201,104
12,13,13,Phil Mickelson,76,299.1,45459,152
13,14,14,Aaron Baddeley,94,298.9,56202,188
14,T15,T15,Jason Day,82,298.2,48901,164
15,T15,T15,Charley Hoffman,85,298.2,49509,166
16,17,17,Davis Love III,79,297.7,47042,158
17,18,18,Jeff Overton,89,297.3,50543,170
18,19,19,Scott Piercy,88,296.8,52242,176
19,T20,T20,Martin Laird,91,296.5,53669,181
20,T20,T20,Nick Watney,91,296.5,51883,175
21,22,22,Troy Matteson,84,296.3,49774,168
22,23,23,Jarrod Lyle,54,296.2,27253,92
23,24,24,Andres Romero,73,296.0,43223,146
24,25,25,Daniel Chopra,74,295.9,43800,148
25,26,26,Ryan Palmer,84,295.8,49702,168
26,T27,T27,Lucas Glover,75,295.7,43764,148
27,T27,T27,Alex Prugh,88,295.7,50856,172
28,29,29,Garth Mulroy,53,295.6,28967,98
29,30,30,John Rollins,81,295.5,47863,162
30,31,31,Marc Leishman,87,295.0,51331,174
31,32,32,Cameron Tringale,55,294.5,28864,98
32,33,33,Adam Scott,70,294.4,40045,136
33,34,34,Charles Howell III,103,294.3,58274,198
34,35,35,Paul Casey,64,294.2,34125,116
35,T36,T36,Matt Bettencourt,91,294.0,48798,166
36,T36,T36,Derek Lamely,81,294.0,44101,150
37,T36,T36,Cameron Percy,73,294.0,39980,136
38,39,39,James Driscoll,78,293.9,45843,156
39,40,40,Mathias Grönberg,61,293.7,32311,110
40,41,41,George McNeill,79,293.4,46352,158
41,T42,T42,Bill Haas,87,293.3,51026,174
42,T42,T42,Matt Jones,89,293.3,52199,178
43,44,44,Josh Teater,101,293.1,58031,198
44,45,45,Jimmy Walker,82,292.9,45686,156
45,46,46,J.J. Henry,92,292.8,49190,168
46,T47,T47,Rickie Fowler,98,292.7,57363,196
47,T47,T47,Sergio Garcia,58,292.7,30438,104
48,T49,T49,Stewart Cink,84,292.4,46786,160
49,T49,T49,Chris Couch,66,292.4,38592,132
50,51,51,Vijay Singh,75,292.3,43267,148
51,52,52,Padraig Harrington,57,292.1,32715,112
52,T53,T53,Roger Tambellini,77,292.0,40293,138
53,T53,T53,Bo Van Pelt,104,292.0,60731,208
54,T55,T55,David Lutterus,69,291.9,36781,126
55,T55,T55,Boo Weekley,88,291.9,46700,160
56,57,57,Hunter Mahan,85,291.8,49029,168
57,T58,T58,Tim Herron,79,291.7,42591,146
58,T58,T58,Chris Wilson,65,291.7,34421,118
59,T60,T60,Retief Goosen,75,291.4,41383,142
60,T60,T60,John Merrick,109,291.4,58862,202
61,T60,T60,Greg Owen,69,291.4,40218,138
62,63,63,Blake Adams,84,291.3,47781,164
63,T64,T64,Jonathan Byrd,85,290.9,49461,170
64,T64,T64,Matt Every,60,290.9,33750,116
65,T66,T66,Will MacKenzie,72,290.8,41868,144
66,T66,T66,Ted Purdy,86,290.8,47685,164
67,T68,T68,Steve Marino,81,290.6,47079,162
68,T68,T68,Kenny Perry,69,290.6,39522,136
69,T70,T70,Paul Stankowski,62,290.3,31354,108
70,T70,T70,Kevin Streelman,90,290.3,49933,172
71,T72,T72,John Senden,103,290.2,59781,206
72,T72,T72,Kevin Stadler,86,290.2,45264,156
73,74,74,Andrew McLardy,52,289.9,27835,96
74,T75,T75,Michael Letzig,84,289.7,48665,168
75,T75,T75,Ryan Moore,80,289.7,45476,157
76,77,77,Camilo Villegas,78,289.6,41703,144
77,T78,T78,Mathew Goggin,85,289.3,49181,170
78,T78,T78,Sean O'Hair,84,289.3,47162,163
79,T80,T80,Steve Elkington,74,289.2,39333,136
80,T80,T80,Nicholas Thompson,88,289.2,48593,168
81,T82,T82,Robert Allenby,76,289.1,42505,147
82,T82,T82,Rory Sabbatini,79,289.1,43946,152
83,84,84,Stuart Appleby,101,289.0,57221,198
84,85,85,Bill Lunde,79,288.9,43329,150
85,T86,T86,Tom Gillis,97,288.7,56016,194
86,T86,T86,Jeff Gove,57,288.7,29449,102
87,T88,T88,Scott McCarron,90,288.6,51943,180
88,T88,T88,Y.E. Yang,72,288.6,40409,140
89,T90,T90,Ernie Els,72,288.4,40374,140
90,T90,T90,Brenden Pappas,66,288.4,35766,124
91,92,92,Troy Merritt,86,288.2,48417,168
92,T93,T93,Henrik Bjornstad,72,288.1,38024,132
93,T93,T93,Chris Tidland,77,288.1,42060,146
94,95,95,Roland Thatcher,72,288.0,41467,144
95,96,96,Kevin Sutherland,86,287.9,49523,172
96,97,97,Justin Rose,78,287.8,44894,156
97,98,98,Lee Janzen,77,287.7,44302,154
98,99,99,Rich Barcelo,70,287.6,36812,128
99,100,100,Jeev Milkha Singh,59,287.3,29882,104
100,101,101,Chris Stroud,90,287.2,47103,164
101,T102,T102,Pat Perez,90,287.1,51681,180
102,T102,T102,Steve Wheatcroft,74,287.1,37893,132
103,104,104,Geoff Ogilvy,62,287.0,34437,120
104,T105,T105,Brendon de Jonge,114,286.9,60816,212
105,T105,T105,David Duval,71,286.9,39309,137
106,T105,T105,Matt Kuchar,97,286.9,54505,190
107,T105,T105,Brian Stuard,81,286.9,43037,150
108,109,109,Ian Poulter,55,286.8,28104,98
109,T110,T110,Kris Blanks,91,286.4,47543,166
110,T110,T110,Trevor Immelman,55,286.4,31214,109
111,T112,T112,Steve Lowery,67,286.2,36066,126
112,T112,T112,James Nitties,92,286.2,49231,172
113,114,114,Joe Ogilvie,99,285.9,53172,186
114,115,115,Cameron Beckman,68,285.7,36570,128
115,116,116,Joe Durant,67,285.6,34847,122
116,117,117,Ricky Barnes,103,285.5,58818,206
117,118,118,Webb Simpson,98,285.4,55944,196
118,T119,T119,Chad Campbell,94,285.1,53030,186
119,T119,T119,Jay Williamson,76,285.1,38772,136
120,121,121,Aron Price,70,284.6,36433,128
121,122,122,Vaughn Taylor,87,284.4,49484,174
122,123,123,Vance Veazey,58,284.3,29568,104
123,124,124,Billy Mayfair,78,284.0,39753,140
124,125,125,Bob Estes,79,283.9,44858,158
125,126,126,Rod Pampling,77,283.5,43656,154
126,127,127,Michael Sim,64,283.3,35698,126
127,T128,T128,Cliff Kresge,50,283.2,26053,92
128,T128,T128,Shaun Micheel,70,283.2,35118,124
129,T128,T128,Brett Quigley,96,283.2,53808,190
130,T131,T131,K.J. Choi,82,283.1,44169,156
131,T131,T131,Freddie Jacobson,83,283.1,46987,166
132,133,133,D.A. Points,90,283.0,50947,180
133,134,134,Steve Stricker,73,282.9,40735,144
134,135,135,Johnson Wagner,85,282.4,45743,162
135,136,136,Ben Crane,85,282.3,46304,164
136,137,137,Carl Pettersson,99,282.1,51340,182
137,T138,T138,Stephen Ames,75,282.0,41737,148
138,T138,T138,Briny Baird,87,282.0,46805,166
139,140,140,Jason Dufner,87,281.9,49051,174
140,141,141,Justin Bolli,55,281.8,27618,98
141,142,142,Dean Wilson,54,281.6,27032,96
142,143,143,Michael Bradley,77,281.5,41099,146
143,T144,T144,Michael Connell,89,281.3,45569,162
144,T144,T144,David Toms,86,281.3,47819,170
145,146,146,Charlie Wi,95,281.2,53425,190
146,147,147,Woody Austin,93,281.1,50039,178
147,T148,T148,Mark Calcavecchia,50,281.0,23606,84
148,T148,T148,J.P. Hayes,79,281.0,42150,150
149,T150,T150,Spencer Levin,110,280.6,57242,204
150,T150,T150,Mark Wilson,87,280.6,46583,166
151,152,152,John Mallinger,78,280.4,42627,152
152,153,153,Garrett Willis,82,280.2,43714,156
153,154,154,Tom Pernice Jr.,74,280.0,36954,132
154,155,155,Jason Bohn,84,279.8,47008,168
155,156,156,Zach Johnson,93,279.7,50904,182
156,T157,T157,Nathan Green,86,279.5,48073,172
157,T157,T157,Skip Kendall,58,279.5,27950,100
158,159,159,Jeff Maggert,76,279.1,37963,136
159,T160,T160,Chris DiMarco,88,279.0,46870,168
160,T160,T160,Jerry Kelly,99,279.0,53001,190
161,T160,T160,Jerod Turner,54,279.0,25666,92
162,T163,T163,Brian Davis,101,278.9,56341,202
163,T163,T163,Heath Slocum,97,278.9,51877,186
164,T165,T165,Ryuji Imada,90,278.7,50173,180
165,T165,T165,Tim Petrovic,105,278.7,58536,210
166,T167,T167,Kevin Na,94,278.6,51816,186
167,T167,T167,Scott Verplank,74,278.6,40669,146
168,169,169,Chris Riley,73,278.3,37293,134
169,170,170,Rocco Mediate,71,278.1,38372,138
170,171,171,Bryce Molder,84,278.0,44482,160
171,172,172,Justin Leonard,89,277.8,48892,176
172,T173,T173,Alex Cejka,81,277.4,43834,158
173,T173,T173,Steve Flesch,78,277.4,41051,148
174,175,175,Richard Johnson,90,277.3,45474,164
175,176,176,Brandt Snedeker,89,277.1,49315,178
176,177,177,Luke Donald,71,277.0,37676,136
177,178,178,Kevin Johnson,62,276.5,30971,112
178,179,179,Jim Furyk,76,276.0,40853,148
179,180,180,Chad Collins,87,275.8,43575,158
180,181,181,Brent Delahoussaye,57,275.6,28107,102
181,T182,T182,Greg Chalmers,93,275.5,51242,186
182,T182,T182,Ben Curtis,78,275.5,42985,156
183,184,184,Mike Weir,59,273.9,31230,114
184,185,185,Paul Goydos,78,273.6,42682,156
185,186,186,Jeff Quinney,91,273.3,47553,174
186,187,187,Greg Kraft,52,273.2,25130,92
187,188,188,Tim Clark,88,272.2,46282,170
188,189,189,Omar Uresti,74,272.0,36987,136
189,190,190,Brad Faxon,58,271.4,29306,108
190,191,191,Craig Bowden,56,270.0,27545,102
191,192,192,Brian Gay,101,266.4,52220,196
