,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,1,Mark Wilson,87,13.56,935.55,69,10.5,16.89
1,2,2,Alex Cejka,81,13.09,759.0,58,9.27,17.21
2,3,3,Ryan Palmer,84,12.99,896.28,69,8.51,18.89
3,4,4,Greg Kraft,52,12.94,426.99,33,9.94,15.69
4,5,5,Craig Bowden,56,12.82,448.66,35,9.73,15.91
5,6,6,David Toms,86,12.67,823.69,65,10.22,16.31
6,7,7,Joe Ogilvie,99,12.66,1025.41,81,8.68,15.61
7,8,8,John Daly,63,12.65,379.43,30,9.46,17.18
8,9,9,Vaughn Taylor,87,12.64,885.12,70,10.12,16.75
9,10,10,Heath Slocum,97,12.57,942.75,75,8.93,16.63
10,11,11,Ben Crane,85,12.55,903.94,72,8.92,16.38
11,12,12,Jeff Gove,57,12.52,438.04,35,10.2,15.11
12,13,13,Aron Price,70,12.49,612.22,49,9.31,15.21
13,14,14,J.P. Hayes,79,12.46,797.76,64,8.54,15.35
14,T15,T15,John Mallinger,78,12.45,610.07,49,8.65,15.87
15,T15,T15,Paul Stankowski,62,12.45,473.1,38,8.64,17.02
16,17,17,Brandt Snedeker,89,12.39,991.59,80,8.85,16.98
17,18,18,Scott Piercy,88,12.33,789.11,64,7.79,17.25
18,19,19,Kenny Perry,69,12.31,714.07,58,9.69,16.03
19,20,20,Phil Mickelson,76,12.27,588.94,48,3.41,17.42
20,21,21,Roland Thatcher,72,12.24,734.7,60,8.34,16.06
21,22,22,Jeff Maggert,76,12.23,709.59,58,9.4,14.48
22,23,23,Andres Romero,73,12.18,767.57,63,0.57,18.71
23,24,24,Jerod Turner,54,12.17,474.73,39,8.91,16.26
24,T25,T25,Brian Davis,101,12.13,910.1,75,9.02,15.01
25,T25,T25,Vijay Singh,75,12.13,715.64,59,7.89,19.78
26,27,27,Webb Simpson,98,12.09,1064.18,88,8.19,17.15
27,28,28,Mark Calcavecchia,50,12.07,470.72,39,7.54,17.84
28,29,29,Kevin Stadler,86,12.05,735.09,61,8.54,15.44
29,30,30,J.B. Holmes,100,11.99,863.03,72,8.2,15.37
30,31,31,Roger Tambellini,77,11.97,670.29,56,6.73,17.27
31,32,32,Chris DiMarco,88,11.96,753.23,63,7.65,17.12
32,33,33,Kevin Sutherland,86,11.94,883.9,74,9.26,14.32
33,34,34,Carl Pettersson,99,11.86,1055.95,89,7.88,17.26
34,35,35,Davis Love III,79,11.85,711.28,60,7.8,16.33
35,36,36,Ted Purdy,86,11.84,698.39,59,9.01,15.0
36,37,37,Ernie Els,72,11.83,674.55,57,8.81,15.68
37,38,38,Derek Lamely,81,11.81,673.3,57,9.17,15.47
38,T39,T39,Brenden Pappas,66,11.79,495.1,42,8.58,15.28
39,T39,T39,Nicholas Thompson,88,11.79,778.35,66,8.7,16.73
40,41,41,Padraig Harrington,57,11.77,518.07,44,10.08,15.09
41,42,42,Justin Bolli,55,11.75,446.68,38,8.89,15.22
42,T43,T43,Billy Mayfair,78,11.74,634.13,54,6.66,15.16
43,T43,T43,John Merrick,109,11.74,1021.5,87,8.64,14.91
44,45,45,Cliff Kresge,50,11.73,398.79,34,6.44,16.5
45,46,46,Mathias Grönberg,61,11.71,468.5,40,9.56,14.24
46,47,47,Tim Herron,79,11.68,677.19,58,8.52,17.71
47,48,48,Rory McIlroy,54,11.67,490.15,42,6.44,15.24
48,T49,T49,Jeff Overton,89,11.65,815.24,70,8.72,15.72
49,T49,T49,Brian Stuard,81,11.65,792.21,68,7.37,16.03
50,51,51,Tim Clark,88,11.63,767.85,66,9.58,14.05
