,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
147,T147,T147,Johnson Wagner,85,275.9,284497,1031
148,T147,T147,Garrett Willis,82,275.9,272896,989
149,T150,T150,Justin Bolli,55,275.8,161361,585
150,T150,T150,Heath Slocum,97,275.8,281827,1022
151,152,152,Tim Petrovic,105,275.6,361330,1311
152,T153,T153,Jason Bohn,84,275.2,282404,1026
153,T153,T153,Michael Bradley,77,275.2,261963,952
154,T155,T155,Brian Davis,101,274.9,340632,1239
155,T155,T155,Chris DiMarco,88,274.9,297436,1082
156,T155,T155,Dean Wilson,54,274.9,179804,654
157,T158,T158,Briny Baird,87,274.7,301949,1099
158,T158,T158,Michael Connell,89,274.7,295552,1076
159,T160,T160,Shaun Micheel,70,274.5,203671,742
160,T160,T160,Charlie Wi,95,274.5,339854,1238
161,T162,T162,Rocco Mediate,71,274.3,232353,847
162,T162,T162,Brandt Snedeker,89,274.3,285822,1042
163,164,164,Ryuji Imada,90,274.1,321259,1172
164,T165,T165,Justin Leonard,89,273.5,274323,1003
165,T165,T165,Kevin Na,94,273.5,288509,1055
166,T167,T167,Greg Chalmers,93,273.4,330274,1208
167,T167,T167,Nathan Green,86,273.4,308950,1130
168,T167,T167,Skip Kendall,58,273.4,187028,684
169,T167,T167,Scott Verplank,74,273.4,213503,781
170,171,171,Jerry Kelly,99,273.3,313205,1146
171,172,172,Jim Furyk,76,273.0,228209,836
172,173,173,Brent Delahoussaye,57,272.5,178215,654
173,174,174,Bryce Molder,84,272.4,276758,1016
174,175,175,Tom Pernice Jr.,74,272.3,220595,810
175,176,176,Alex Cejka,81,272.2,257242,945
176,177,177,Steve Flesch,78,272.1,245124,901
177,178,178,Trevor Immelman,55,271.9,161765,595
178,179,179,Luke Donald,71,271.8,199499,734
179,T180,T180,Chad Collins,87,271.6,283566,1044
180,T180,T180,Kevin Johnson,62,271.6,185527,683
181,182,182,Ben Curtis,78,271.1,250459,924
182,183,183,Greg Kraft,52,271.0,147162,543
183,184,184,Tim Clark,88,270.8,256185,946
184,185,185,Richard Johnson,90,270.4,275218,1018
185,186,186,Paul Goydos,78,270.1,248529,920
186,187,187,Omar Uresti,74,269.7,228712,848
187,188,188,Jeff Quinney,91,269.2,298818,1110
188,189,189,Craig Bowden,56,267.9,179470,670
189,190,190,Mike Weir,59,266.7,148260,556
190,191,191,Brian Gay,101,264.1,302709,1146
191,192,192,Brad Faxon,58,264.0,176058,667
