,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Justin Rose,78,-.090
1,2,2,Steve Stricker,73,-.080
2,3,3,Phil Mickelson,76,-.063
3,4,4,Brett Wetterich,54,-.060
4,5,5,Retief Goosen,75,-.056
5,6,6,Steve Flesch,78,-.050
6,T7,T7,Bob Estes,79,-.049
7,T7,T7,Cliff Kresge,50,-.049
8,9,9,Trevor Immelman,55,-.048
9,10,10,Ryan Moore,80,-.046
10,T11,T11,Stuart Appleby,101,-.045
11,T11,T11,Dean Wilson,54,-.045
12,T13,T13,Ángel Cabrera,64,-.039
13,T13,T13,Matt Kuchar,97,-.039
14,15,15,Charles Howell III,103,-.031
15,16,16,Bill Haas,87,-.030
16,17,17,Ernie Els,72,-.029
17,18,18,Robert Allenby,76,-.023
18,19,19,Jarrod Lyle,54,-.022
19,20,20,Padraig Harrington,57,-.020
20,21,21,Geoff Ogilvy,62,-.016
21,T22,T22,Rory Sabbatini,79,-.013
22,T22,T22,Jimmy Walker,82,-.013
23,24,24,Nick Watney,91,-.012
24,T25,T25,David Duval,71,-.011
25,T25,T25,D.J. Trahan,92,-.011
26,27,27,Adam Scott,70,-.009
27,T28,T28,Paul Casey,64,E
28,T28,T28,Jim Furyk,76,E
29,T28,T28,Spencer Levin,110,E
30,T28,T28,Billy Mayfair,78,E
31,T28,T28,Kevin Sutherland,86,E
32,33,33,Bubba Watson,77,+.006
33,34,34,Chris Stroud,90,+.007
34,35,35,Y.E. Yang,72,+.009
35,36,36,Michael Sim,64,+.011
36,T37,T37,Rickie Fowler,98,+.012
37,T37,T37,Alex Prugh,88,+.012
38,T39,T39,Sergio Garcia,58,+.014
39,T39,T39,Sean O'Hair,84,+.014
40,T39,T39,Cameron Percy,73,+.014
41,42,42,Andrew McLardy,52,+.015
42,43,43,James Driscoll,78,+.016
43,44,44,John Mallinger,78,+.019
44,45,45,Bryce Molder,84,+.021
45,46,46,Ryan Palmer,84,+.023
46,T47,T47,John Daly,63,+.025
47,T47,T47,Omar Uresti,74,+.025
48,49,49,Camilo Villegas,78,+.026
49,50,50,Ben Crane,85,+.027
50,51,51,Brian Gay,101,+.028
51,52,52,Woody Austin,93,+.029
52,53,53,Luke Donald,71,+.034
53,T54,T54,Stewart Cink,84,+.036
54,T54,T54,Chris DiMarco,88,+.036
55,T54,T54,Paul Stankowski,62,+.036
56,57,57,Ricky Barnes,103,+.038
57,T58,T58,Jason Day,82,+.041
58,T58,T58,George McNeill,79,+.041
59,T58,T58,John Rollins,81,+.041
60,T61,T61,Steve Elkington,74,+.042
61,T61,T61,Brett Quigley,96,+.042
62,T61,T61,Heath Slocum,97,+.042
63,64,64,John Senden,103,+.043
64,T65,T65,K.J. Choi,82,+.044
65,T65,T65,Daniel Chopra,74,+.044
66,T67,T67,Aaron Baddeley,94,+.048
67,T67,T67,J.J. Henry,92,+.048
68,69,69,Chris Tidland,77,+.051
69,T70,T70,Ryuji Imada,90,+.052
70,T70,T70,Martin Laird,91,+.052
71,T70,T70,Webb Simpson,98,+.052
72,73,73,Lucas Glover,75,+.054
73,74,74,Kevin Na,94,+.055
74,T75,T75,Hunter Mahan,85,+.059
75,T75,T75,Shaun Micheel,70,+.059
76,T77,T77,Graham DeLaet,88,+.060
77,T77,T77,Davis Love III,79,+.060
