,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,J.B. Holmes,100,"117' 11""","7899' 8""",67,"163' 0""","73' 11"""
1,2,2,Phil Mickelson,76,"116' 9""","5136' 8""",44,"169' 7""","37' 11"""
2,3,3,John Daly,63,"116' 4""","3257' 0""",28,"154' 2""","83' 11"""
3,4,4,Davis Love III,79,"113' 10""","6714' 7""",59,"163' 1""","77' 11"""
4,5,5,Ted Purdy,86,"113' 2""","6561' 8""",58,"135' 1""","72' 4"""
5,6,6,Marc Leishman,87,"111' 11""","7609' 9""",68,"171' 5""","46' 11"""
6,7,7,Derek Lamely,81,"111' 5""","6239' 2""",56,"154' 11""","72' 1"""
7,8,8,Paul Stankowski,62,"110' 5""","4085' 9""",37,"133' 0""","88' 1"""
8,9,9,Ryan Palmer,84,"110' 1""","7595' 3""",69,"142' 11""","53' 11"""
9,10,10,Charles Warren,64,"109' 7""","4383' 3""",40,"138' 5""","84' 10"""
10,11,11,Graham DeLaet,88,"108' 8""",5107',47,"148' 11""","59' 10"""
11,12,12,Jonathan Byrd,85,"108' 0""","7450' 9""",69,"152' 2""","80' 7"""
12,13,13,Padraig Harrington,57,"107' 7""",5055',47,"146' 10""","76' 4"""
13,14,14,Garth Mulroy,53,"105' 11""","3813' 3""",36,"155' 1""","70' 10"""
14,15,15,Dustin Johnson,83,"105' 10""",6244',59,"135' 7""","72' 10"""
15,16,16,Rickie Fowler,98,"105' 9""",8565',81,"147' 2""","72' 8"""
16,17,17,Andres Romero,73,"105' 0""",6405',61,"129' 7""","49' 0"""
17,18,18,Troy Matteson,84,"104' 10""","7234' 2""",69,"178' 7""","57' 10"""
18,19,19,Vijay Singh,75,"104' 2""",6144',59,"152' 4""","57' 4"""
19,20,20,Chris Couch,66,"103' 10""","4257' 2""",41,"126' 2""","69' 1"""
20,21,21,Scott Piercy,88,"103' 9""","6121' 1""",59,"155' 0""","68' 11"""
21,22,22,Mark Calcavecchia,50,"102' 9""","3905' 2""",38,"140' 1""","67' 7"""
22,23,23,Ben Crane,85,"102' 1""","7045' 6""",69,"128' 2""","70' 11"""
