,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,1,1,Dean Wilson,54,2.8,18,650,+0.111
1,2,2,Jay Williamson,76,3.4,29,845,+0.310
2,3,3,Briny Baird,87,3.5,38,1086,+0.184
3,4,4,Chad Campbell,94,3.7,42,1124,+0.048
4,5,5,Jeff Quinney,91,3.8,42,1104,+0.381
5,T6,T6,Richard Johnson,90,3.9,39,1012,+0.513
6,T6,T6,Omar Uresti,74,3.9,33,846,+0.364
7,T8,T8,Cliff Kresge,50,4.0,25,621,+0.240
8,T8,T8,Justin Leonard,89,4.0,40,1001,+0.325
9,T10,T10,Craig Bowden,56,4.1,27,665,+0.296
10,T10,T10,Paul Stankowski,62,4.1,30,733,+0.333
11,12,12,Joe Durant,67,4.2,33,789,+0.364
12,T13,T13,Jason Bohn,84,4.3,44,1013,+0.273
13,T13,T13,Graham DeLaet,88,4.3,45,1043,+0.267
14,T13,T13,Jim Furyk,76,4.3,36,833,+0.333
15,T13,T13,Mark Wilson,87,4.3,47,1100,+0.128
16,T17,T17,Chris DiMarco,88,4.4,47,1071,+0.170
17,T17,T17,Luke Donald,71,4.4,32,725,+0.281
18,T17,T17,Vaughn Taylor,87,4.4,48,1091,+0.125
19,T20,T20,Brian Gay,101,4.5,51,1144,+0.118
20,T20,T20,Trevor Immelman,55,4.5,26,584,+0.308
21,T20,T20,Chris Riley,73,4.5,39,873,+0.231
22,T23,T23,Aaron Baddeley,94,4.6,55,1196,+0.109
23,T23,T23,Steve Wheatcroft,74,4.6,36,791,+0.222
24,T25,T25,Kevin Na,94,4.7,49,1044,+0.041
25,T25,T25,Roger Tambellini,77,4.7,40,850,+0.175
26,T25,T25,Garrett Willis,82,4.7,46,984,+0.370
27,T28,T28,Ben Crane,85,4.8,44,916,+0.159
28,T28,T28,Steve Elkington,74,4.8,39,810,+0.333
29,T28,T28,John Mallinger,78,4.8,43,896,+0.349
30,T28,T28,Charles Warren,64,4.8,36,757,+0.028
31,T32,T32,Alex Cejka,81,4.9,46,931,+0.152
32,T32,T32,Stewart Cink,84,4.9,44,896,+0.068
33,T32,T32,Retief Goosen,75,4.9,36,730,+0.139
34,T32,T32,Justin Rose,78,4.9,47,963,+0.149
35,T32,T32,Jeev Milkha Singh,59,4.9,35,714,+0.371
36,T37,T37,Ben Curtis,78,5.0,46,916,+0.239
37,T37,T37,Tom Gillis,97,5.0,62,1250,+0.194
38,T37,T37,Matt Kuchar,97,5.0,52,1039,+0.212
39,T37,T37,Steve Stricker,73,5.0,39,779,+0.026
40,T37,T37,Brian Stuard,81,5.0,49,973,+0.184
41,T42,T42,Kevin Johnson,62,5.1,34,671,+0.324
42,T42,T42,Martin Laird,91,5.1,55,1088,+0.327
43,T42,T42,Troy Matteson,84,5.1,55,1086,+0.127
44,T42,T42,James Nitties,92,5.1,57,1114,+0.211
45,T42,T42,Tom Pernice Jr.,74,5.1,41,800,+0.122
46,T47,T47,Woody Austin,93,5.2,59,1144,+0.373
47,T47,T47,Tim Clark,88,5.2,49,945,-0.041
48,T47,T47,Steve Flesch,78,5.2,46,889,+0.152
49,T47,T47,Mathias Grönberg,61,5.2,36,691,+0.278
50,T47,T47,Lee Janzen,77,5.2,50,959,+0.280
51,T47,T47,Billy Mayfair,78,5.2,47,903,+0.128
52,T47,T47,Tim Petrovic,105,5.2,68,1300,+0.059
53,T47,T47,Ian Poulter,55,5.2,24,465,+0.375
54,T47,T47,Camilo Villegas,78,5.2,40,774,+0.350
55,T56,T56,Blake Adams,84,5.3,55,1034,+0.436
56,T56,T56,Robert Allenby,76,5.3,45,845,+0.267
57,T56,T56,Paul Goydos,78,5.3,48,914,+0.292
58,T56,T56,Ryuji Imada,90,5.3,61,1154,+0.213
59,T56,T56,Bill Lunde,79,5.3,49,920,+0.265
60,T56,T56,Jeff Maggert,76,5.3,46,873,+0.065
61,T56,T56,John Rollins,81,5.3,55,1040,+0.218
62,T63,T63,Chris Couch,66,5.4,44,817,E
63,T63,T63,Brian Davis,101,5.4,67,1235,+0.269
64,T63,T63,Brent Delahoussaye,57,5.4,35,647,+0.486
65,T63,T63,Jason Dufner,87,5.4,52,957,+0.212
66,T63,T63,Jerry Kelly,99,5.4,62,1144,+0.194
67,T63,T63,Michael Letzig,84,5.4,60,1102,+0.150
68,T63,T63,Hunter Mahan,85,5.4,50,927,+0.340
69,T63,T63,Sean O'Hair,84,5.4,49,903,+0.204
70,T63,T63,Roland Thatcher,72,5.4,50,931,+0.180
71,T72,T72,Mathew Goggin,85,5.5,58,1047,+0.190
72,T72,T72,Zach Johnson,93,5.5,58,1046,+0.138
73,T72,T72,Spencer Levin,110,5.5,75,1356,+0.373
74,T72,T72,Will MacKenzie,72,5.5,52,942,+0.308
75,T72,T72,Garth Mulroy,53,5.5,32,577,+0.063
76,T72,T72,Heath Slocum,97,5.5,56,1019,+0.286
77,T72,T72,David Toms,86,5.5,53,969,+0.151
78,T72,T72,Jimmy Walker,82,5.5,52,940,+0.154
79,T80,T80,Kris Blanks,91,5.6,57,1024,+0.193
80,T80,T80,Jeff Gove,57,5.6,34,610,+0.324
81,T80,T80,J.J. Henry,92,5.6,61,1085,+0.082
82,T80,T80,Andrew McLardy,52,5.6,34,607,+0.382
83,T80,T80,Aron Price,70,5.6,48,861,+0.417
84,T85,T85,Jonathan Byrd,85,5.7,64,1129,+0.156
85,T85,T85,Shaun Micheel,70,5.7,42,733,+0.357
86,T85,T85,Bryce Molder,84,5.7,57,1004,+0.123
87,T85,T85,Webb Simpson,98,5.7,72,1263,+0.264
88,T85,T85,Kevin Stadler,86,5.7,56,991,+0.232
89,T85,T85,Bo Van Pelt,104,5.7,69,1207,+0.348
