,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Omar Uresti,74,76.08,719,945
1,2,2,Joe Durant,67,75.94,644,848
2,3,3,Brian Gay,101,74.0,1016,1373
3,4,4,Tim Clark,88,73.72,875,1187
4,5,5,Craig Bowden,56,72.86,518,711
5,6,6,Heath Slocum,97,72.42,948,1309
6,7,7,David Toms,86,71.88,851,1184
7,8,8,Zach Johnson,93,71.24,914,1283
8,9,9,Ben Crane,85,71.13,818,1150
9,10,10,Jim Furyk,76,71.01,735,1035
10,11,11,Richard Johnson,90,70.92,817,1152
11,12,12,Paul Goydos,78,70.58,770,1091
12,13,13,Jerry Kelly,99,70.5,939,1332
13,14,14,Garrett Willis,82,70.44,765,1086
14,15,15,Jeff Quinney,91,70.34,849,1207
15,16,16,Alex Cejka,81,70.31,772,1098
16,17,17,Billy Mayfair,78,70.29,686,976
17,18,18,Chris DiMarco,88,70.13,817,1165
18,19,19,Ben Curtis,78,70.07,768,1096
19,20,20,Jay Williamson,76,69.87,661,946
20,21,21,Skip Kendall,58,69.63,486,698
21,22,22,Justin Leonard,89,69.46,855,1231
22,23,23,John Mallinger,78,69.34,735,1060
23,24,24,Jason Dufner,87,69.24,842,1216
24,25,25,Chad Campbell,94,69.01,895,1297
25,26,26,Mark Wilson,87,68.85,798,1159
26,27,27,Chris Riley,73,68.7,641,933
27,28,28,Cliff Kresge,50,68.59,439,640
28,29,29,Tom Gillis,97,68.54,926,1351
29,30,30,Steve Stricker,73,68.5,696,1016
30,31,31,Brian Davis,101,68.35,961,1406
31,32,32,Rocco Mediate,71,68.27,654,958
32,33,33,Vaughn Taylor,87,68.26,828,1213
33,34,34,Scott Verplank,74,68.16,700,1027
34,35,35,Steve Elkington,74,68.01,640,941
35,T36,T36,Ryan Moore,80,67.99,754,1109
36,T36,T36,Kenny Perry,69,67.99,650,956
37,38,38,Hunter Mahan,85,67.94,801,1179
38,39,39,Matt Kuchar,97,67.89,907,1336
39,40,40,Jeff Maggert,76,67.55,639,946
40,T41,T41,Tim Petrovic,105,67.37,989,1468
41,T41,T41,Dean Wilson,54,67.37,450,668
42,43,43,Scott McCarron,90,67.36,842,1250
43,44,44,Brent Delahoussaye,57,67.28,477,709
44,45,45,Aron Price,70,67.23,601,894
45,46,46,John Senden,103,67.22,970,1443
46,47,47,Boo Weekley,88,67.14,750,1117
47,48,48,Tom Pernice Jr.,74,66.95,622,929
48,T49,T49,Jason Bohn,84,66.89,782,1169
49,T49,T49,Kevin Sutherland,86,66.89,798,1193
50,51,51,Kris Blanks,91,66.87,773,1156
51,52,52,Blake Adams,84,66.84,762,1140
52,53,53,John Merrick,109,66.71,942,1412
53,54,54,Woody Austin,93,66.48,823,1238
54,55,55,Stephen Ames,75,66.47,686,1032
55,56,56,Kevin Na,94,66.46,864,1300
56,57,57,Will MacKenzie,72,66.33,666,1004
57,58,58,Justin Bolli,55,66.28,452,682
58,59,59,Steve Flesch,78,66.02,678,1027
59,60,60,K.J. Choi,82,65.99,720,1091
60,61,61,Charles Warren,64,65.93,534,810
61,62,62,Chris Couch,66,65.87,606,920
62,63,63,James Nitties,92,65.69,785,1195
63,64,64,Kevin Streelman,90,65.64,787,1199
64,65,65,Brendon de Jonge,114,65.51,965,1473
65,T66,T66,Briny Baird,87,65.45,756,1155
66,T66,T66,Rod Pampling,77,65.45,701,1071
67,68,68,Paul Stankowski,62,65.38,493,754
68,69,69,Mathew Goggin,85,65.24,775,1188
69,T70,T70,Pat Perez,90,65.23,820,1257
70,T70,T70,Bo Van Pelt,104,65.23,953,1461
71,72,72,Justin Rose,78,65.17,711,1091
72,73,73,Spencer Levin,110,65.12,924,1419
73,74,74,J.J. Henry,92,65.07,760,1168
74,75,75,J.P. Hayes,79,64.91,677,1043
75,76,76,Retief Goosen,75,64.79,646,997
76,77,77,Robert Allenby,76,64.75,676,1044
77,T78,T78,Henrik Bjornstad,72,64.74,595,919
78,T78,T78,Graham DeLaet,88,64.74,740,1143
79,80,80,John Rollins,81,64.58,733,1135
80,81,81,D.A. Points,90,64.52,811,1257
81,82,82,Y.E. Yang,72,64.31,638,992
82,83,83,Mathias Grönberg,61,64.28,493,767
83,84,84,Brandt Snedeker,89,64.27,795,1237
84,85,85,Davis Love III,79,64.2,712,1109
