,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Steve Stricker,73,424,SBS Championship,2,7,656
1,2,2,Bubba Watson,77,416,Sony Open in Hawaii,1,8,6
2,3,3,Boo Weekley,88,415,World Golf Championships-Bridgestone Invitational,4,16,36
3,4,4,Dustin Johnson,83,414,SBS Championship,3,7,656
4,5,5,Paul Casey,64,412,World Golf Championships-Bridgestone Invitational,4,16,36
5,6,5,Paul Casey,64,410,SBS Championship,4,17,656
6,T7,T7,Lucas Glover,75,406,SBS Championship,3,18,656
7,T7,T7,Nick Watney,91,406,SBS Championship,1,17,656
8,T9,T9,Ángel Cabrera,64,405,SBS Championship,2,12,656
9,T9,T9,D.J. Trahan,92,405,The Greenbrier Classic,1,6,771
10,T11,T11,John Daly,63,404,Sony Open in Hawaii,1,8,6
11,T11,T11,Robert Garrigus,71,404,Reno-Tahoe Open,4,17,660
12,T11,T11,Jeff Overton,89,404,World Golf Championships-Bridgestone Invitational,4,16,36
13,14,14,Ryan Palmer,84,402,World Golf Championships-Bridgestone Invitational,4,16,36
14,15,T11,John Daly,63,401,Transitions Championship,1,10,665
15,16,T7,Nick Watney,91,400,SBS Championship,3,7,656
16,T17,T17,Stephen Ames,75,399,SBS Championship,3,7,656
17,T17,T9,Ángel Cabrera,64,399,SBS Championship,2,7,656
18,T17,T17,Bo Van Pelt,104,399,SBS Championship,3,7,656
19,T17,T7,Nick Watney,91,399,SBS Championship,2,7,656
20,T17,T17,Troy Matteson,84,399,SBS Championship,4,6,656
21,T17,T17,J.B. Holmes,100,399,HP Byron Nelson Championship,4,3,19
22,T23,T23,Geoff Ogilvy,62,398,SBS Championship,3,7,656
23,T23,5,Paul Casey,64,398,SBS Championship,3,7,656
24,T23,T7,Lucas Glover,75,398,World Golf Championships-Bridgestone Invitational,4,16,36
25,T26,T26,Peter Hanson,25,397,World Golf Championships-Bridgestone Invitational,4,16,36
26,T26,T26,Sean O'Hair,84,397,SBS Championship,3,7,656
27,T26,4,Dustin Johnson,83,397,SBS Championship,2,1,656
28,T29,T29,John Rollins,81,396,SBS Championship,2,17,656
29,T29,2,Bubba Watson,77,396,Travelers Championship,4,18,503
30,T29,T17,Troy Matteson,84,396,SBS Championship,3,18,656
31,T32,T11,John Daly,63,395,The Greenbrier Classic,3,6,771
32,T32,T32,Kenny Perry,69,395,SBS Championship,3,7,656
33,T32,T32,Ernie Els,72,395,World Golf Championships-Bridgestone Invitational,4,8,36
34,T32,T32,Retief Goosen,75,395,SBS Championship,3,7,656
35,T32,T32,Rory Sabbatini,79,395,SBS Championship,3,18,656
36,T32,T32,Zach Johnson,93,395,SBS Championship,2,17,656
37,T32,T11,Robert Garrigus,71,395,Turning Stone Resort Championship,2,9,730
38,T32,T17,J.B. Holmes,100,395,The Greenbrier Classic,4,4,771
39,T40,T29,John Rollins,81,394,SBS Championship,3,6,656
40,T40,T29,John Rollins,81,394,SBS Championship,3,18,656
41,T40,T32,Rory Sabbatini,79,394,SBS Championship,3,7,656
42,T40,T17,Bo Van Pelt,104,394,SBS Championship,3,18,656
43,T40,T17,Troy Matteson,84,394,SBS Championship,3,7,656
44,T45,T32,Kenny Perry,69,393,SBS Championship,2,12,656
45,T45,T9,Ángel Cabrera,64,393,SBS Championship,1,12,656
46,T45,T9,Ángel Cabrera,64,393,SBS Championship,2,17,656
47,T45,T26,Sean O'Hair,84,393,SBS Championship,2,12,656
48,T45,T45,Pat Perez,90,393,SBS Championship,2,12,656
49,T45,T45,Y.E. Yang,72,393,SBS Championship,4,7,656
50,T45,2,Bubba Watson,77,393,PGA Championship,2,11,706
51,T45,T45,Ryan Moore,80,393,SBS Championship,2,7,656
52,T45,T7,Nick Watney,91,393,World Golf Championships-CA Championship,2,11,8
53,T45,T17,Troy Matteson,84,393,SBS Championship,2,7,656
54,T45,T17,Troy Matteson,84,393,SBS Championship,4,17,656
55,T56,T32,Kenny Perry,69,392,SBS Championship,1,1,656
56,T56,T17,Stephen Ames,75,392,SBS Championship,1,7,656
57,T56,T17,Bo Van Pelt,104,392,Valero Texas Open,2,18,770
58,T56,T45,Ryan Moore,80,392,SBS Championship,3,18,656
59,T60,T32,Retief Goosen,75,391,SBS Championship,2,12,656
60,T60,14,Ryan Palmer,84,391,Reno-Tahoe Open,1,9,660
61,T60,T17,J.B. Holmes,100,391,World Golf Championships-CA Championship,2,17,8
62,T60,T60,Martin Laird,91,391,SBS Championship,3,18,656
63,T64,T64,Sergio Garcia,58,390,World Golf Championships-Bridgestone Invitational,4,16,36
64,T64,T23,Geoff Ogilvy,62,390,SBS Championship,2,12,656
65,T64,T7,Lucas Glover,75,390,SBS Championship,3,7,656
66,T67,T67,Padraig Harrington,57,389,World Golf Championships-Bridgestone Invitational,4,16,36
67,T67,T23,Geoff Ogilvy,62,389,SBS Championship,3,6,656
68,T67,T17,Bo Van Pelt,104,389,SBS Championship,4,17,656
69,T67,T26,Sean O'Hair,84,389,SBS Championship,3,18,656
70,T67,T67,Louis Oosthuizen,14,389,World Golf Championships-Bridgestone Invitational,4,8,36
71,T72,T32,Retief Goosen,75,388,SBS Championship,3,18,656
72,T72,5,Paul Casey,64,388,SBS Championship,3,18,656
73,T72,T7,Nick Watney,91,388,SBS Championship,3,6,656
74,T75,T32,Retief Goosen,75,387,World Golf Championships-Bridgestone Invitational,4,16,36
75,T75,T75,Stewart Cink,84,387,SBS Championship,3,18,656
76,T75,T75,Mark Wilson,87,387,SBS Championship,1,7,656
77,T75,T45,Y.E. Yang,72,387,World Golf Championships-Bridgestone Invitational,4,16,36
78,T75,2,Bubba Watson,77,387,Waste Management Phoenix Open,3,3,510
79,T75,T75,Ross Fisher,29,387,World Golf Championships-Bridgestone Invitational,4,16,36
80,T75,T60,Martin Laird,91,387,SBS Championship,4,17,656
81,T82,T82,Mike Heinen,2,386,Reno-Tahoe Open,2,17,660
82,T82,T9,Ángel Cabrera,64,386,SBS Championship,3,7,656
83,T82,T32,Rory Sabbatini,79,386,SBS Championship,3,6,656
84,T82,T26,Sean O'Hair,84,386,SBS Championship,4,17,656
85,T82,T45,Pat Perez,90,386,SBS Championship,3,18,656
86,T82,T45,Y.E. Yang,72,386,SBS Championship,3,18,656
87,T88,T32,Zach Johnson,93,385,SBS Championship,3,18,656
88,T88,T17,J.B. Holmes,100,385,The Greenbrier Classic,3,4,771
89,T88,T88,Daniel Miernicki,2,385,Reno-Tahoe Open,1,9,660
90,T91,T91,Charles Warren,64,384,Reno-Tahoe Open,4,5,660
91,T91,2,Bubba Watson,77,384,World Golf Championships-Bridgestone Invitational,4,18,36
92,T91,T7,Lucas Glover,75,384,SBS Championship,2,12,656
93,T91,T91,Kevin Streelman,90,384,Zurich Classic of New Orleans,4,7,714
94,T91,T91,Derek Lamely,81,384,The Greenbrier Classic,3,6,771
95,T91,T91,Jason Day,82,384,PGA Championship,2,11,706
96,T97,T97,Robert Karlsson,40,383,World Golf Championships-Bridgestone Invitational,4,16,36
97,T97,T75,Stewart Cink,84,383,SBS Championship,3,7,656
98,T97,T9,Ángel Cabrera,64,383,SBS Championship,3,18,656
99,T97,T97,Matt Kuchar,97,383,SBS Championship,2,7,656
100,T97,2,Bubba Watson,77,383,Quail Hollow Championship,4,9,698
101,T97,T17,Troy Matteson,84,383,SBS Championship,1,1,656
102,T97,T60,Martin Laird,91,383,SBS Championship,4,18,656
103,T104,T9,Ángel Cabrera,64,382,World Golf Championships-Bridgestone Invitational,4,9,36
104,T104,T23,Geoff Ogilvy,62,382,SBS Championship,3,18,656
105,T104,T97,Matt Kuchar,97,382,SBS Championship,3,18,656
106,T104,T104,Adam Scott,70,382,World Golf Championships-Bridgestone Invitational,4,9,36
107,T104,5,Paul Casey,64,382,SBS Championship,1,12,656
108,T104,T7,Nick Watney,91,382,SBS Championship,3,18,656
109,T104,T104,Graham DeLaet,88,382,Reno-Tahoe Open,2,18,660
110,T111,T111,Matt Bettencourt,91,381,Reno-Tahoe Open,4,17,660
111,T111,T111,Matt Bettencourt,91,381,Viking Classic,2,14,609
112,T111,T91,Derek Lamely,81,381,The Greenbrier Classic,2,6,771
113,T111,4,Dustin Johnson,83,381,SBS Championship,3,18,656
114,T115,T115,Harrison Frazar,44,380,Valero Texas Open,3,4,770
115,T115,T26,Sean O'Hair,84,380,SBS Championship,1,1,656
116,T115,T115,Jimmy Walker,82,380,HP Byron Nelson Championship,3,10,19
117,T115,2,Bubba Watson,77,380,THE TOUR Championship presented by Coca-Cola,2,5,688
118,T115,T115,Alvaro Quiros,27,380,Waste Management Phoenix Open,3,13,510
119,T115,T7,Nick Watney,91,380,SBS Championship,4,17,656
120,T115,T104,Graham DeLaet,88,380,Reno-Tahoe Open,4,17,660
121,T115,T60,Martin Laird,91,380,SBS Championship,2,7,656
122,T115,4,Dustin Johnson,83,380,SBS Championship,2,18,656
123,T115,4,Dustin Johnson,83,380,The Open Championship,3,2,668
124,T125,T125,Michael Bradley,77,379,SBS Championship,1,18,656
125,T125,T17,Stephen Ames,75,379,SBS Championship,2,12,656
126,T125,1,Steve Stricker,73,379,SBS Championship,3,7,656
127,T125,T67,Padraig Harrington,57,379,World Golf Championships-CA Championship,3,17,8
128,T125,T125,Ted Purdy,86,379,Transitions Championship,2,10,665
129,T125,T29,John Rollins,81,379,HP Byron Nelson Championship,1,3,19
130,T125,2,Bubba Watson,77,379,World Golf Championships-Bridgestone Invitational,4,16,36
131,T125,T7,Lucas Glover,75,379,SBS Championship,4,18,656
132,T125,4,Dustin Johnson,83,379,World Golf Championships-CA Championship,3,11,8
133,T125,4,Dustin Johnson,83,379,World Golf Championships-Bridgestone Invitational,4,8,36
134,T135,1,Steve Stricker,73,378,SBS Championship,2,12,656
135,T135,T32,Retief Goosen,75,378,World Golf Championships-Bridgestone Invitational,4,8,36
136,T135,T67,Padraig Harrington,57,378,World Golf Championships-Bridgestone Invitational,4,8,36
