,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
0,T1,T1,Padraig Harrington,57,1.482,69.633,47,1.485,1.435
1,T1,T1,Steve Marino,81,1.482,100.76,68,1.485,1.4509999999999998
2,T1,T1,Bo Van Pelt,104,1.482,117.083,79,1.485,1.445
3,T4,T4,Robert Allenby,76,1.4809999999999999,91.803,62,1.5,1.439
4,T4,T4,Alex Cejka,81,1.4809999999999999,87.365,59,1.485,1.435
5,T4,T4,Stewart Cink,84,1.4809999999999999,103.656,70,1.485,1.421
6,T4,T4,Retief Goosen,75,1.4809999999999999,77.003,52,1.5,1.439
7,T4,T4,Mathias Grönberg,61,1.4809999999999999,59.224,40,1.489,1.4409999999999998
8,T4,T4,Jeff Maggert,76,1.4809999999999999,88.86,60,1.485,1.4409999999999998
9,T4,T4,Ryan Palmer,84,1.4809999999999999,108.13600000000001,73,1.514,1.4369999999999998
10,T4,T4,Heath Slocum,97,1.4809999999999999,117.00299999999999,79,1.4909999999999999,1.433
11,T4,T4,Omar Uresti,74,1.4809999999999999,81.477,55,1.4869999999999999,1.439
12,T13,T13,Justin Bolli,55,1.48,56.232,38,1.485,1.4469999999999998
13,T13,T13,Jason Dufner,87,1.48,97.65799999999999,66,1.485,1.4409999999999998
14,T13,T13,Steve Elkington,74,1.48,76.936,52,1.485,1.4409999999999998
15,T13,T13,Brad Faxon,58,1.48,68.058,46,1.4869999999999999,1.443
16,T13,T13,J.P. Hayes,79,1.48,96.209,65,1.485,1.435
17,T13,T13,Tim Herron,79,1.48,85.824,58,1.489,1.445
18,T13,T13,J.B. Holmes,100,1.48,106.525,72,1.5,1.4409999999999998
19,T13,T13,Martin Laird,91,1.48,112.45,76,1.4869999999999999,1.429
